year,tout_DET artisan_NOUN,tout_DET partisan_NOUN
1800,9.432493897065797e-09,6.288328968651058e-09
1801,0.0,0.0
1802,1.7902721083373763e-08,4.0281122437590966e-08
1803,3.900678446910888e-09,2.3404069793286908e-08
1804,1.730295728918918e-08,0.0
1805,5.685755422035754e-09,0.0
1806,1.729001475325731e-08,1.152667650217154e-08
1807,0.0,1.9928686256776018e-08
1808,1.5862518409903714e-08,1.3596443970698147e-08
1809,2.4849335034105025e-08,2.9367397402779716e-08
1810,4.680253518074551e-09,2.106114038724627e-08
1811,1.504245972228091e-08,5.0141535368197765e-09
1812,1.600324850414836e-08,1.3336041604361526e-08
1813,5.751483289628823e-09,2.0130190847567064e-08
1814,0.0,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,0.0,0.0
1817,1.2454987263765815e-08,1.7125607820744904e-08
1818,1.1921177378582115e-09,2.384235475716423e-09
1819,9.315945348475907e-09,1.0351049795076506e-08
1820,8.306536791735653e-09,3.20394981656591e-08
1821,5.9168927535324656e-09,1.972297702934611e-08
1822,1.0025615893027862e-08,1.9048670196752937e-08
1823,1.087095569118901e-08,1.9765373782121287e-09
1824,1.0947446504872005e-08,2.863178316658832e-08
1825,7.044354211060977e-09,7.044354433105582e-09
1826,1.4092774947016551e-08,7.0463874735082754e-09
1827,1.3825909306319772e-08,1.935627302884768e-08
1828,1.9261832129302547e-08,1.834460228167245e-08
1829,8.573175946935407e-09,1.6289033955008136e-08
1830,1.3567886592014133e-08,1.982998831806526e-08
1831,2.182768810143898e-08,1.870944643656003e-08
1832,9.470978779013706e-09,1.352996914505411e-08
1833,2.5483982257767934e-08,1.9692167896323554e-08
1834,2.42697808516823e-08,1.3068343740485489e-08
1835,2.2689263801112247e-09,1.8151411040889798e-08
1836,1.5457725044409898e-08,8.736974865808378e-09
1837,1.1828414692161004e-08,1.9482093938094636e-08
1838,1.325553999897977e-08,1.3886756411451984e-08
1839,2.586845759822154e-08,7.690622805256453e-09
1840,2.038300300766238e-08,1.6561189752906103e-08
1841,1.0914932957462042e-08,4.8154113585496816e-08
1842,2.0124795607756596e-08,1.2074877098200432e-08
1843,2.0674189471492355e-08,4.8436671562512856e-08
1844,3.2931368298960706e-08,4.116420804223253e-08
1845,2.3994980058450466e-08,2.622707073740571e-08
1846,2.6930705665506594e-08,3.629790756853879e-08
1847,1.88762818709165e-08,4.422443566909351e-08
1848,5.63165514222419e-08,3.6203497311149135e-08
1849,2.8490010572923552e-08,4.022118993418644e-08
1850,1.6293590476834652e-08,2.987158254086353e-08
1851,1.6768540778144825e-08,4.127640718110115e-08
1852,1.6927418577949993e-08,3.2552727624590716e-08
1853,1.4929829372789527e-08,2.9262465339741084e-08
1854,1.558699391779328e-08,3.013485372349578e-08
1855,3.237231638308913e-08,2.4411910715116392e-08
1856,1.9155599773057475e-08,1.86378817934596e-08
1857,2.6848300471726816e-08,3.661131842136456e-08
1858,3.425573069648635e-08,2.300027679424943e-08
1859,7.994712447612073e-08,2.5970083639137442e-08
1860,1.1900678109633134e-08,4.8060430302143686e-08
1861,2.5937801462205812e-08,3.159695616261615e-08
1862,1.355395928825942e-08,3.072230736478332e-08
1863,2.0477945117391982e-08,2.3974179086394543e-08
1864,1.8699439330305268e-08,3.596045949905147e-08
1865,2.306353774628178e-08,3.6242703060906933e-08
1866,1.1677471434268227e-08,4.184427027098536e-08
1867,1.164674756637396e-08,2.2808213984149006e-08
1868,1.2843672569928799e-08,4.149494103877771e-08
1869,9.767037956187608e-09,2.783605879130846e-08
1870,2.2936196053535696e-08,2.9243648835830527e-08
1871,1.1683295220166201e-08,2.7615060460561835e-08
1872,2.056095360636334e-08,3.62840353318461e-08
1873,2.334541715498517e-08,5.3874039451784483e-08
1874,1.6728905372076497e-08,2.8080664016272294e-08
1875,2.231395634932909e-08,5.607096653648114e-08
1876,6.650616279912924e-09,3.023007355551499e-08
1877,1.731748500155561e-08,4.143826792812888e-08
1878,3.744234922109513e-08,2.4760264061285397e-08
1879,2.260450426838645e-08,4.276527754143444e-08
1880,3.0805662021293756e-08,1.9895323166707612e-08
1881,1.533951698995395e-08,4.811030107632064e-08
1882,1.7969540078155433e-08,2.1297232866146487e-08
1883,2.274962085380139e-08,2.4013488642005143e-08
1884,1.5183903023796574e-08,2.970763635090634e-08
1885,2.127059817169652e-08,4.1896630609272734e-08
1886,2.0651084842171485e-08,1.097088819790315e-08
1887,3.3297514967500774e-08,2.4809914123125054e-08
1888,2.5362458133670884e-08,3.233713496975099e-08
1889,3.069917120512855e-08,2.3181006225669876e-08
1890,2.4251230357208442e-08,3.211649346468448e-08
1891,1.4660705538460661e-08,3.059625530710264e-08
1892,2.6327752422616868e-08,1.3790727226847821e-08
1893,3.4487133593330555e-08,3.140792526057368e-08
1894,1.1972925095804499e-08,1.3233232509790582e-08
1895,2.6481903336872392e-08,3.972285522735319e-08
1896,2.7716037021008333e-08,2.5946926773823265e-08
1897,3.37949379591862e-08,3.4960280004270317e-08
1898,2.037007762467624e-08,1.4711722506888236e-08
1899,1.713549302451156e-08,1.713549302451156e-08
