year,pouvaient_VERB unir_VERB,pouvaient_VERB punir_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,1.5664880947952042e-08
1803,0.0,0.0
1804,0.0,1.2359254952798437e-08
1805,0.0,8.528632911009026e-09
1806,0.0,2.881669125542885e-09
1807,0.0,5.693910232196231e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.1337665856435706e-08
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,2.1796227045456362e-08
1818,1.7881765401739358e-08,9.536941902865692e-09
1819,3.1053151161586356e-09,2.6912729822470283e-08
1820,9.493184904840746e-09,1.6613073583471305e-08
1821,1.1833785507064931e-08,8.875339574387908e-09
1822,0.0,4.010246357211145e-09
1823,0.0,6.917880934764753e-09
1824,3.3684450784221553e-09,6.736890156844311e-09
1825,3.522177216552791e-09,2.641632912414593e-09
1826,0.0,3.5231937367541377e-09
1827,4.608636583469661e-09,8.295545583791863e-09
1828,6.420610709767516e-09,1.2841221419535032e-08
1829,1.714635211591542e-09,6.858540846366168e-09
1830,7.305785310052215e-09,1.0436835395921662e-08
1831,1.5591206103948707e-09,2.0268567268999504e-08
1832,0.0,1.3529969367098715e-09
1833,2.3167257001688313e-09,1.1583628278799551e-08
1834,9.334530925997342e-10,4.667265685043276e-09
1835,1.5126175867408165e-09,3.781543966852041e-09
1836,2.016224964762614e-09,9.409050427677812e-09
1837,4.174734336004349e-09,2.5048407792382932e-08
1838,8.2058102535143e-09,1.7674054220151447e-08
1839,3.4957374772659477e-09,2.027527834513876e-08
1840,8.280594876453051e-09,2.165694112932215e-08
1841,1.926164561183441e-09,6.420548537278137e-10
1842,6.708265054555795e-10,8.720745015011744e-09
1843,6.497602011990011e-09,1.1813821920725331e-08
1844,6.586273748609983e-09,1.4270259640625227e-08
1845,0.0,2.2320911785556063e-09
1846,2.9272506640865004e-09,1.5807152919933287e-08
1847,3.775256551818984e-09,4.314578916364553e-09
1848,6.43617736884039e-09,3.218088684420195e-09
1849,6.703531951757213e-09,1.8434713311421547e-08
1850,4.073397619208663e-09,6.1100964288129944e-09
1851,9.674158363282004e-09,1.483370937194195e-08
1852,5.859490670445666e-09,4.557382027314816e-09
1853,1.1943863675867306e-09,1.0152284346531815e-08
1854,3.117398783558656e-09,1.558699391779328e-09
1855,8.491099379170919e-09,7.429711956774554e-09
1856,8.28350277259915e-09,7.248064815001953e-09
1857,1.610898081594314e-08,9.274867096564776e-09
1858,4.404308473482388e-09,1.1255455234504552e-08
1859,2.036869339860914e-09,1.9859475841599306e-08
1860,1.0069804545764782e-08,6.408057640072684e-09
1861,1.8863854922557266e-09,3.3011746669586728e-09
1862,4.517986429419807e-09,4.066187830886747e-09
1863,9.989241656072068e-10,2.4973104473247076e-08
1864,4.794727948009836e-10,1.0068928801842958e-08
1865,9.88437331983505e-09,2.3534221238463715e-09
1866,4.865612801552288e-09,7.784980660119345e-09
1867,2.91168689159349e-09,3.396968040192405e-09
1868,4.44588676984381e-09,2.9639244392143382e-09
1869,1.953407657850903e-09,2.441759683335931e-09
1870,8.601073631098188e-09,4.587239033071455e-09
1871,6.37270636261178e-09,3.18635318130589e-09
1872,1.2094678591978436e-09,4.8378714367913744e-09
1873,5.986004469882289e-10,8.380406590902112e-09
1874,5.974609140757536e-10,4.182226565063729e-09
1875,4.005069165202713e-09,2.8607636259891933e-09
1876,7.255217759905008e-09,1.813804439976252e-09
1877,9.895705588292003e-09,1.2369631985365004e-09
1878,2.4156354694326865e-09,1.2078177347163432e-09
1879,1.221865053580018e-09,1.2829582729523281e-08
1880,2.5671385017744797e-09,6.417846254436199e-10
1881,2.7890030285249168e-09,1.1156012114099667e-08
1882,5.989846840748214e-09,4.6587693702804245e-09
1883,6.951272890631799e-09,3.791603475633565e-09
1884,2.6406787867472303e-09,9.902545450302114e-09
1885,0.0,6.445635691854079e-10
1886,4.5174246565693466e-09,6.453463874400711e-10
1887,2.6115698492645834e-09,1.9586774424595887e-09
1888,1.2047167707862627e-08,5.706553452000662e-09
1889,4.385595886446936e-09,3.759081934617825e-09
1890,7.209825181320184e-09,1.2453334363726754e-08
1891,1.9122659011827636e-09,6.374220040683554e-10
1892,6.8953633913793055e-09,0.0
1893,3.695050043717174e-09,4.310891643655168e-09
1894,4.411077725308132e-09,1.2603078580752936e-09
1895,0.0,1.8055843487019274e-09
1896,1.7691086373616827e-09,2.948514543632541e-09
1897,8.740070001067579e-09,8.157399200570126e-09
1898,7.355861253444118e-09,5.092519295146758e-09
1899,4.4220627160029835e-09,4.9748205555033564e-09
1900,9.863001082521805e-09,5.710158568206225e-09
1901,6.706486921359556e-09,3.353243460679778e-09
1902,9.329538919189417e-09,4.910283846193408e-10
1903,5.400220270956879e-09,5.940242076007962e-09
1904,1.2361637935498493e-08,1.0749250378694342e-09
1905,4.64468330463319e-09,1.5482277682110634e-09
1906,2.0576738091193647e-09,3.0865106026567446e-09
1907,8.742834012309686e-09,3.599990305858114e-09
1908,5.893666887857307e-09,3.437972351250096e-09
1909,5.5009836685826485e-09,3.300590023513905e-09
1910,7.481810726517324e-09,1.068830135508847e-09
1911,1.649316061502759e-08,1.0640748282497725e-09
1912,3.125652625612929e-09,0.0
1913,1.2196876397752021e-08,5.30298971401777e-10
1914,2.0090231700464756e-09,0.0
1915,2.3561523843085297e-09,4.712304768617059e-09
1916,6.592477230782379e-09,2.197492410260793e-09
1917,2.1932848870420685e-09,0.0
1918,9.189101035644853e-09,0.0
1919,8.287063479883727e-09,0.0
1920,3.028892692213958e-09,1.514446346106979e-09
1921,5.300923255902035e-09,3.7863738810983705e-09
1922,6.640141769764796e-09,3.6889677978990676e-09
1923,6.369568872344189e-09,2.1231896241147297e-09
1924,5.156649773851996e-09,0.0
1925,4.399271169575059e-09,0.0
1926,1.4489979882625903e-08,3.343841648018042e-09
1927,2.2298449753321847e-09,1.1149224876660924e-09
1928,1.1426041224282812e-09,0.0
1929,7.798284684668033e-09,3.342121912552898e-09
1930,2.100720708497761e-09,5.2518016602221e-09
1931,3.4216069977333063e-09,3.4216069977333063e-09
1932,1.0959536389520963e-08,1.0959536611565568e-09
1933,3.4411986593596566e-09,0.0
1934,1.1981580172459871e-09,2.3963160344919743e-09
1935,4.787313656606784e-09,1.196828414151696e-09
1936,1.091224355320719e-08,0.0
1937,8.813782592653752e-09,1.2591118148108649e-09
1938,1.1668692678767911e-08,0.0
1939,1.070583532936098e-08,4.588215141154706e-09
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,5.9030051957620344e-09,2.9515025978810172e-09
1942,6.068423541449874e-09,6.068423541449874e-09
1943,1.1612940831184915e-08,2.9032352077962287e-09
1944,1.6065930807940276e-08,3.2131861615880553e-09
1945,2.178504043826024e-09,1.5249527862692958e-08
1946,1.3921104269343232e-09,2.7842208538686464e-09
1947,1.1920870957027319e-09,1.1920870957027319e-09
1948,4.348755133776194e-09,2.174377566888097e-09
1949,7.853606653895895e-09,0.0
1950,6.381216888229346e-09,0.0
1951,8.529121409139861e-09,1.0661401761424827e-09
1952,1.0544803918932644e-09,1.0544803918932644e-09
1953,6.464296653518886e-09,4.3095309543161875e-09
1954,3.9090144454689835e-09,9.772536113672459e-10
1955,4.6928039232341234e-09,3.754243138587299e-09
1956,2.616342476002842e-09,2.616342476002842e-09
1957,0.0,4.417518795207798e-09
1958,6.617794756635931e-09,2.4816730892496253e-09
1959,6.200598257066758e-09,7.750747821333448e-10
1960,8.997083078554624e-09,0.0
1961,9.03260666262895e-09,0.0
1962,8.244543714397423e-09,6.341956404476434e-10
1963,1.3578711488548834e-08,1.939815863494232e-09
1964,1.520992043424485e-08,0.0
1965,3.830430195250756e-09,2.73602163147757e-09
1966,2.215629901769489e-09,2.769537488234164e-09
1967,4.930335695263466e-09,1.9721342336964653e-09
1968,6.287982134978165e-09,2.245707841908029e-09
1969,8.629339909305145e-09,1.3625273131978588e-09
1970,6.898087434592526e-09,4.5987250119061684e-10
1971,6.166076982339064e-09,5.138397485282553e-10
1972,6.156176013405457e-09,2.0520587451500205e-09
1973,9.37244681864513e-09,3.3079223804577396e-09
1974,1.012602890426706e-08,2.2502286700643026e-09
1975,4.569184142155791e-09,1.1422960355389478e-09
1976,5.713526984862938e-09,0.0
1977,2.938390863960194e-09,4.11374712072643e-09
1978,5.346532105932056e-09,0.0
1979,7.022368020415115e-09,2.3407893401383717e-09
1980,6.253665585376211e-09,1.1370301367108482e-09
1981,5.69299452024552e-09,1.2651099057237047e-09
1982,9.311253101884631e-09,1.2415004579935385e-09
1983,7.57837881337764e-09,1.89459470334441e-09
1984,1.2177918229383522e-08,1.739702604197646e-09
1985,6.617113967877231e-09,6.015558051686298e-10
1986,4.196139880008332e-09,1.1988970927134801e-09
1987,1.2221633483022742e-08,0.0
1988,9.594486094499644e-09,0.0
1989,9.329808037250586e-09,1.6464366536794728e-09
1990,1.1442167213715493e-08,1.6345953479657283e-09
1991,5.2753188484189195e-09,1.1722930404189924e-09
1992,6.61193322315512e-09,0.0
1993,6.093128224193833e-09,1.661762283333701e-09
1994,9.494868002946077e-09,5.274926606624319e-10
1995,9.760411145975922e-09,1.0844901643380922e-09
1996,1.1209993822092201e-08,2.135236876199542e-09
1997,1.3425704992187093e-08,4.79489448146353e-10
1998,7.629006759657386e-09,4.768129224785866e-10
1999,1.6452723627935484e-08,1.3710603763428253e-09
2000,6.627047355323157e-09,0.0
2001,8.762423675534592e-09,2.6287270138425356e-09
2002,1.3581786362237835e-08,1.3143663935011318e-09
2003,1.0000615446870142e-08,2.9168460979889232e-09
2004,8.80958239690699e-09,1.7619165015858584e-09
2005,4.503749373441224e-09,1.3511248786457486e-09
2006,1.317724773741702e-08,4.1178899179428186e-10
2007,9.586750948642475e-09,2.3966877371606188e-09
2008,8.51487946817997e-09,0.0
2009,5.245011536203492e-09,2.384096253749135e-09
2010,5.196172381261022e-09,4.723792912386671e-09
2011,4.971163480860241e-09,2.2943831279320648e-09
2012,7.148930780687124e-09,3.744677901096338e-09
2013,5.020424964641279e-09,1.6734750252211938e-09
2014,8.012147389990787e-09,2.3819897165822113e-09
2015,7.314698624583116e-09,3.32486305154589e-09
2016,6.006886099640951e-09,6.214020409345267e-10
2017,6.5405894034142875e-09,2.0124890642847504e-09
2018,3.872199894061623e-09,7.744400121190154e-10
2019,4.591778068885333e-09,3.06118530524202e-09
