year,aurait_VERB uni_VERB,aurait_VERB puni_VERB
1800,3.144164484325529e-09,1.8864987794131594e-08
1801,9.524730337773235e-09,4.7623651688866175e-09
1802,1.5664880947952042e-08,6.713520406265161e-09
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,2.842877711017877e-09,2.2743021688143017e-08
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,1.1330369531492579e-08,2.039466551195801e-08
1809,6.7770917766551975e-09,6.7770917766551975e-09
1810,1.1700633351097167e-08,2.3401266702194334e-08
1811,3.5099073869560016e-08,7.521229861140455e-09
1812,2.400487453257938e-08,1.3336041604361526e-08
1813,0.0,5.176335093892703e-08
1814,0.0,3.4613449884091096e-08
1815,1.0788894222457657e-08,2.966945977789237e-08
1816,0.0,6.952811659743929e-09
1817,2.3353100786493997e-08,4.514932783195036e-08
1818,2.384235475716423e-09,4.172412104708201e-08
1819,7.24573512300708e-09,4.6579724966022695e-08
1820,2.3732962262101864e-08,5.102586797534059e-08
1821,6.903041693817613e-09,4.6348993976153e-08
1822,6.015369535816717e-09,2.105379337535851e-08
1823,2.9648061783404955e-09,1.087095569118901e-08
1824,1.3473780313688621e-08,2.947389532437228e-08
1825,1.6730341556581152e-08,2.8177417732422327e-08
1826,1.4092774947016551e-08,2.906634755106552e-08
1827,6.452091305675367e-09,4.608636672287503e-08
1828,8.255071293206129e-09,5.044765671868845e-08
1829,1.0287811491593857e-08,5.486832677092934e-08
1830,3.1310507520032616e-09,2.1917355041978226e-08
1831,0.0,5.76874619184764e-08
1832,4.058990921151917e-09,4.6001897402447867e-08
1833,1.1583628278799551e-08,4.054269808762001e-08
1834,7.467624740797874e-09,3.547121707470069e-08
1835,6.806779140333674e-09,1.5882484660778573e-08
1836,1.4785650037651976e-08,6.115882911217341e-08
1837,5.5663127440652715e-09,6.888311787633938e-08
1838,2.1461350030449466e-08,1.64116205070286e-08
1839,8.38977065598101e-09,4.194885150354821e-08
1840,8.917564464638872e-09,3.567025785855549e-08
1841,1.8619591202195807e-08,2.247191943638427e-08
1842,2.1466448174578545e-08,3.4212153110502186e-08
1843,3.6622846977252266e-08,4.1939067330076796e-08
1844,2.7442807137845193e-08,5.3239045172404076e-08
1845,9.48638767539478e-09,1.562463758375543e-08
1846,2.5759806732139623e-08,1.5807152919933287e-08
1847,5.9325460100012606e-09,5.55502026600152e-08
1848,1.850401076808339e-08,3.700802153616678e-08
1849,2.6814127807028854e-08,1.5920887719289567e-08
1850,2.647708541303473e-08,1.6972489191857676e-08
1851,1.6123596680017727e-08,4.063146263888484e-08
1852,2.148479971708639e-08,2.6042181744401205e-08
1853,2.329053394589664e-08,1.7318601663873778e-08
1854,2.1302223984775992e-08,3.273268589509826e-08
1855,2.653468555990912e-08,2.812676669350367e-08
1856,4.141751386299575e-09,1.1389816201301528e-08
1857,2.8312753030945714e-08,2.0990489346672803e-08
1858,3.9149408159744326e-09,1.8595969208945462e-08
1859,1.6804172275897145e-08,3.106225676674512e-08
1860,7.781213007262977e-09,2.9293977021893625e-08
1861,7.545541969022906e-09,1.5562680033553988e-08
1862,4.517986429419807e-09,9.487771457372673e-09
1863,9.489779628779615e-09,3.845858032036631e-08
1864,1.342523781033833e-08,1.8699438442126848e-08
1865,1.1767110841276462e-08,7.530950973944073e-09
1866,1.897589108068587e-08,2.092213513549268e-08
1867,6.79393608038481e-09,1.844068364675877e-08
1868,7.409810987013543e-09,2.5193358510477992e-08
1869,7.325278605918584e-09,3.564969119906891e-08
1870,9.747882501187632e-09,2.6376625328339287e-08
1871,4.248470908407853e-09,1.3807530230280918e-08
1872,1.4513614310374123e-08,1.814201766592305e-08
1873,1.496501056408306e-08,2.334541804316359e-08
1874,1.8521287614703397e-08,1.2546679251101978e-08
1875,3.432916173551348e-09,5.149374260327022e-09
1876,4.232210137899983e-09,2.8416270225761764e-08
1877,1.1751150275074451e-08,1.2369632429454214e-08
1878,1.7513357875031943e-08,2.113680963589104e-08
1879,1.5273313280772527e-08,2.016077260691418e-08
1880,7.701415505323439e-09,1.4761046607247863e-08
1881,2.091752326904839e-09,2.5101027034679646e-08
1882,1.3310770263785798e-08,1.7304001787010748e-08
1883,2.0221884611260066e-08,5.0554711528150165e-09
1884,7.2618666635548834e-09,2.0465261485469455e-08
1885,1.2891271383708158e-09,1.5469526104539e-08
1886,8.38950331427668e-09,9.034849313138693e-09
1887,1.566941953967671e-08,9.140494583448344e-09
1888,4.4384300679212174e-09,6.974675947901687e-09
1889,1.50363277384713e-08,1.1277245803853475e-08
1890,1.2453334363726754e-08,1.2453334363726754e-08
