year,furent_VERB assez_ADV,furent_VERB passés_ADJ
1800,7.168695219661458e-07,3.458580977167003e-08
1801,8.429386184616305e-07,2.1430643926123594e-08
1802,4.811356575373793e-07,1.7902721083373763e-08
1803,8.405962148572144e-07,1.3652374342143503e-08
1804,7.736893508081266e-07,2.4718509905596875e-08
1805,6.282759841269581e-07,1.1371510844071508e-08
1806,4.870020688940713e-07,2.881669125542885e-09
1807,7.914535444797366e-07,2.2775640928784924e-08
1808,7.79529443661886e-07,4.5321479902327155e-09
1809,8.674677474118653e-07,5.1957702140725814e-08
1810,9.71152644524409e-07,7.020380277111826e-09
1811,1.0630005817802157e-06,2.2563691359778204e-08
1812,6.214594918674266e-07,1.3336041604361526e-08
1813,5.348879312805366e-07,0.0
1814,7.142957088035473e-07,6.293354282149721e-09
1815,7.039753313620167e-07,1.3486118000116676e-08
1816,7.161395956245542e-07,4.6352077731626196e-09
1817,7.504129939661652e-07,6.227493631882908e-09
1818,7.069258458614058e-07,1.3113295338484932e-08
1819,9.326296321887639e-07,9.315945348475907e-09
1820,1.0228907285636524e-06,4.746592452420373e-09
1821,6.321213845694729e-07,1.676452932031225e-08
1822,8.461619813715515e-07,1.804610860745015e-08
1823,9.082189080800163e-07,9.882686669016039e-09
1824,9.044275088854192e-07,1.1789557774477544e-08
1825,9.844485475696274e-07,4.842993561737785e-08
1826,1.3035817119089188e-06,7.310627125889368e-08
1827,7.816247489245143e-07,2.949527377893446e-08
1828,7.181911882980785e-07,1.559291185060374e-08
1829,7.964480346345226e-07,1.800366966620004e-08
1830,8.923494760892936e-07,3.1310507520032616e-09
1831,5.971431846774067e-07,6.236482441579483e-09
1832,6.359085773510742e-07,9.470978667991403e-09
1833,6.150906983748428e-07,2.3167257001688313e-09
1834,6.562175371982448e-07,8.401078055442213e-09
1835,8.100067248051346e-07,2.647080776796429e-08
1836,9.47625778735528e-07,3.2259599436201825e-08
1837,8.460795584142033e-07,1.6003149028165353e-08
1838,8.685534567121067e-07,2.7142295522253335e-08
1839,7.641682486791979e-07,2.516931019158619e-08
1840,8.000329216883983e-07,1.9109066329292546e-08
1841,6.266455443437735e-07,2.3756030032018316e-08
1842,7.828545562915679e-07,1.6770663080478698e-08
1843,7.25368693110795e-07,3.721353891705803e-08
1844,7.305275175895076e-07,1.6465683927435748e-08
1845,6.182892775541404e-07,2.287893430263921e-08
1846,6.01842714331724e-07,3.1614305839866574e-08
1847,6.82242784932896e-07,2.3730184040005042e-08
1848,5.848876298841788e-07,8.84974404868899e-09
1849,6.410252240129921e-07,3.3517659758786067e-09
1850,6.91119794282713e-07,4.073397619208663e-09
1851,6.043123903509695e-07,9.674158363282004e-09
1852,5.533963758352911e-07,1.4323200403509873e-08
