year,étaient_VERB assez_ADV,étaient_VERB passés_ADJ,etaient_VERB assez_ADV
1800,8.677894243191986e-07,4.087413785214267e-08,0.0
1801,6.381569050972757e-07,2.6193008650921e-08,0.0
1802,5.147032311469957e-07,1.3427040812530322e-08,0.0
1803,5.655983841279522e-07,5.851017448321727e-09,0.0
1804,1.035705508911633e-06,4.943701892301533e-09,0.0
1805,6.822906470915768e-07,0.0,0.0
1806,5.907421609663288e-07,8.645007376628655e-09,2.881669125542885e-09
1807,9.992812692871667e-07,3.131650672116848e-08,2.8469551160981155e-09
1808,6.390328621819208e-07,2.039466551195801e-08,1.5862518409903714e-08
1809,5.489443992701126e-07,1.8072244145628247e-08,2.259030518203531e-09
1810,7.020380508038215e-07,0.0,0.0
1811,8.022645943128737e-07,1.0028307073639553e-08,5.0141535368197765e-09
1812,8.401705713367846e-07,1.3336041604361526e-08,0.0
1813,8.425923283539305e-07,8.627225156487839e-09,0.0
1814,1.0730169606176787e-06,6.293354282149721e-09,3.1466771410748606e-09
1815,1.2703923175649834e-06,8.091670444798638e-09,0.0
1816,1.1356258937667008e-06,4.6352077731626196e-09,0.0
1817,8.578372217016295e-07,4.514932783195036e-08,0.0
1818,1.0240291885565966e-06,1.668964877410417e-08,3.5763532135746345e-09
1819,1.0330347777198767e-06,4.140419918030602e-08,1.035105001712111e-09
1820,1.240047254214005e-06,2.610625848831205e-08,0.0
1821,1.1291404007351957e-06,1.3806083387635226e-08,1.97229765852569e-09
1822,1.2471866739360848e-06,1.9048670196752937e-08,3.0076847679083585e-09
1823,1.3460219179250998e-06,2.2730180404550993e-08,4.941343334508019e-09
1824,1.0922183264483465e-06,1.8526447931321854e-08,3.3684450784221553e-09
1825,1.0275952035954106e-06,3.3460683113162304e-08,8.805443041381977e-10
1826,1.1934819212910952e-06,1.2331177856594877e-08,3.5231937367541377e-09
1827,1.404712406838371e-06,5.991227425283796e-08,7.373818444733615e-09
1828,1.304301235904859e-06,3.118582370120748e-08,1.8344602503717056e-09
1829,1.3528472209145548e-06,3.0006116702452346e-08,8.57317605795771e-10
1830,1.5582195374008734e-06,3.757260813586072e-08,0.0
1831,1.334607190983661e-06,1.5591206103948707e-09,1.5591206103948707e-09
1832,1.2542282092908863e-06,1.7588959622116818e-08,1.3529969367098715e-09
1833,1.4410034054890275e-06,6.255159235024621e-08,0.0
1834,1.3357713442019303e-06,1.8669062740173104e-08,9.334530925997342e-10
1835,1.6026183402573224e-06,3.2521278114927554e-08,2.2689263801112247e-09
1836,1.3911952692069463e-06,3.1587525484155776e-08,2.688300027031687e-09
1837,1.55508860189002e-06,4.0355768504696243e-08,0.0
1838,1.5168125173659064e-06,4.418513199766494e-08,2.5248647617104325e-09
1839,1.6073400956884143e-06,4.4046291947097416e-08,1.3982950353153e-09
1840,1.4643914028056315e-06,4.713569623504554e-08,1.2739377330817092e-09
1841,1.4670953305540024e-06,4.494383887276854e-08,1.2841097074556274e-09
1842,1.5180803529801778e-06,4.695785449371215e-08,3.3541325272778977e-09
1843,1.4879509535603574e-06,5.847842032835615e-08,5.31621990873532e-09
1844,1.5949758562783245e-06,6.202074587235984e-08,2.195424508855126e-09
1845,1.5697181652285508e-06,3.1807299905040054e-08,5.580227946389016e-10
1846,1.4548435274264193e-06,2.86870562860031e-08,2.9272506640865004e-09
1847,1.4610243397328304e-06,4.476375536910382e-08,1.6179670936367074e-09
1848,1.4223951438907534e-06,2.091757700384278e-08,8.045221711050488e-10
1849,1.509132630417298e-06,3.1841775438579134e-08,2.513824481908955e-09
1850,1.3068816997474642e-06,4.820187271548093e-08,6.788996032014438e-10
1851,1.515618123448803e-06,2.7087642351375507e-08,6.449438760824933e-10
1852,1.3164323036107817e-06,4.6224872818356744e-08,0.0
1853,1.4673036048407084e-06,2.329053394589664e-08,5.971931837933653e-10
1854,1.2599485899045249e-06,3.585008556683533e-08,5.195664454227256e-10
1855,1.3697205076823593e-06,3.555647865027822e-08,5.306937111981824e-10
1856,1.3082757277516066e-06,2.692138423299184e-08,2.0708756931497874e-09
1857,1.3590121170636849e-06,2.636014961865385e-08,0.0
1858,1.3653356063514366e-06,4.8447393652395476e-08,9.787352039936081e-10
1859,1.4553431810782058e-06,6.517981887554924e-08,1.018434669930457e-09
1860,1.5896559943939792e-06,4.989130530930197e-08,0.0
1861,1.53363146182528e-06,4.1500481273715195e-08,0.0
