year,ait_VERB uni_VERB,ait_VERB puni_VERB
1800,1.2576657937302116e-08,9.432493897065797e-09
1801,1.904946067554647e-08,3.5717739876872656e-08
1802,1.1189200677108602e-08,4.0281122437590966e-08
1803,1.3652374342143503e-08,9.751696339321825e-09
1804,4.943701892301533e-09,9.887403784603066e-09
1805,6.822906328807221e-08,1.7057265822018053e-08
1806,2.881669125542885e-09,2.881669125542885e-09
1807,1.4234775136401367e-08,5.693910232196231e-09
1808,1.3596443970698147e-08,1.8128591960930862e-08
1809,1.3554183553310395e-08,0.0
1810,2.8081521108447305e-08,9.360507036149102e-09
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,2.1337665856435706e-08,1.600324850414836e-08
1813,5.751483289628823e-09,5.176335093892703e-08
1814,6.293354282149721e-09,4.405347908686963e-08
1815,4.045835311217161e-08,4.5852800667489646e-08
1816,3.0128852301913867e-08,1.622322720606917e-08
1817,3.113746771532533e-08,7.940054302935096e-08
1818,1.5497530370112145e-08,3.2187177367859476e-08
1819,2.5877625375869684e-08,5.2790355198339967e-08
1820,1.3053129244156025e-08,6.051905643289501e-08
1821,1.972297702934611e-08,4.930744168518686e-08
1822,1.9048670196752937e-08,2.2056354964661296e-08
1823,1.680056804787e-08,1.2847492847356534e-08
1824,1.0947446504872005e-08,2.947389532437228e-08
1825,1.3208164340028361e-08,5.195211372210906e-08
1826,1.2331177856594877e-08,1.2331177856594877e-08
1827,6.452091305675367e-09,2.488663675137559e-08
1828,6.420610709767516e-09,3.5771975603893225e-08
1829,4.286587973467704e-09,5.829759786024624e-08
1830,1.982998831806526e-08,4.0703660886265425e-08
1831,3.4300654760954785e-08,1.4032085715598441e-08
1832,9.470978667991403e-09,4.464889968858188e-08
1833,1.6217079235048004e-08,9.266902800675325e-09
1834,1.3068342852307069e-08,1.4935249481595747e-08
1835,3.100866052818674e-08,1.8151411040889798e-08
1836,6.048674894287842e-09,1.2769425516978572e-08
1837,1.0436836284100082e-08,1.8090515752078318e-08
1838,1.5149188570262595e-08,8.837027110075724e-09
1839,1.3982949909063791e-08,2.3771015378315496e-08
1840,6.3696887764308485e-09,2.4841785517537573e-08
1841,2.8250413564023802e-08,1.7977535904378783e-08
1842,2.2137275124123335e-08,5.366612043644636e-09
1843,5.31621990873532e-09,1.3585895075607368e-08
1844,1.866110821424627e-08,2.25031016043431e-08
1845,6.138250796539069e-09,8.37034175305007e-09
1846,1.7563504428608212e-08,1.4636253098387897e-08
1847,5.3932236454556914e-09,1.7258315665458213e-08
1848,8.04522137798358e-09,1.6090443422100975e-09
1849,1.9272654583346593e-08,4.1897072478036534e-09
1850,1.5614691761811628e-08,1.425689166723032e-08
1851,1.483370937194195e-08,2.579775504329973e-08
1852,9.114764054629632e-09,7.812654523320361e-09
1853,2.6276499198729653e-08,2.508211416341055e-08
1854,8.832629738719788e-09,1.2989160858012383e-08
1855,1.6451505047143655e-08,1.8574279891936385e-08
1856,1.1389816201301528e-08,1.2942972915652717e-08
1857,5.857811125054013e-09,4.881508974818871e-09
1858,3.9149408159744326e-09,1.9085335978274998e-08
1859,2.0877910955618972e-08,2.036869339860914e-08
1860,9.612086238064421e-09,1.1442959468865865e-08
1861,8.488735048217677e-09,1.5562680033553988e-08
1862,2.2589931703009825e-08,1.9879140111811466e-08
1863,6.99246927027275e-09,1.3485475847119233e-08
1864,1.4384183621984903e-08,1.2466292886870178e-08
1865,9.413688495385486e-09,1.2237795665726026e-08
1866,3.4059290943133647e-09,7.784980660119345e-09
1867,9.7056229719783e-09,1.7955402498159856e-08
1868,5.9278488784286765e-09,1.1855697756857353e-08
1869,2.0510780629479086e-08,2.0999133099053324e-08
1870,9.747882501187632e-09,1.4335121534259088e-08
1871,1.4869648623516696e-08,3.9298356568906456e-08
1872,5.442605477412599e-09,1.9956219787786722e-08
1873,8.380406590902112e-09,7.781805422268917e-09
1874,1.0156835372754358e-08,1.1351757756017378e-08
1875,1.2587359599081083e-08,1.3731664694205392e-08
1876,7.255217759905008e-09,4.836811839936672e-09
1877,1.4843558382438005e-08,2.040989244278535e-08
1878,6.039088784604019e-09,2.4156355138416075e-08
1879,1.0996785704264767e-08,2.077170613290491e-08
1880,2.1178893305773272e-08,1.2835692508872398e-08
1881,8.367009307619355e-09,1.5339516323820135e-08
1882,5.324308105514319e-09,9.317538740560849e-09
1883,1.1374810426900694e-08,1.7062214752172622e-08
1884,2.6406787867472303e-09,7.922036360241691e-09
1885,7.7347630522695e-09,1.2246707647989297e-08
1886,1.0325542199041138e-08,6.4534639854230136e-09
1887,8.48760173255414e-09,1.3710741875172516e-08
1888,1.521747527988282e-08,8.242799331981132e-09
1889,1.3783300722991498e-08,1.628935564212952e-08
