year,grand_ADJ or_NOUN,grand_ADJ port_NOUN
1800,0.0,2.7983062977909867e-07
1801,2.3811825844433088e-09,2.2383116027313577e-07
1802,0.0,5.415573127720563e-07
1803,3.900678446910888e-09,3.7836580624173166e-07
1804,4.943701892301533e-09,3.2628431512193856e-07
1805,0.0,2.6154475207817995e-07
1806,5.76333825108577e-09,3.227469402844463e-07
1807,8.540865348294346e-09,3.672572006507835e-07
1808,9.064295980465431e-09,4.736094751933706e-07
1809,2.259030518203531e-09,5.376492708819569e-07
1810,2.3401267590372754e-09,1.5444837231370911e-07
1811,5.0141535368197765e-09,4.8887998005398e-07
1812,1.0668832928217853e-08,5.92120217302039e-07
1813,1.4378708224072057e-08,2.271835861655802e-07
1814,9.440030979135372e-09,1.5104049566616595e-07
1815,5.394447111228828e-09,1.726223075593225e-07
1816,2.3176038865813098e-09,2.9433569004311266e-07
1817,1.556873407970727e-09,1.9772291826036792e-07
1818,1.1921177378582115e-09,4.4704415813612286e-07
1819,1.035105001712111e-09,4.3784942249658343e-07
1820,2.3732962262101864e-09,3.144617419792439e-07
1821,0.0,3.3134600285755766e-07
1822,1.5038423839541792e-08,3.6092218635985773e-07
1823,6.917880934764753e-09,2.095129648660432e-07
1824,4.463189817727198e-08,2.458965013829584e-07
1825,1.3208164340028361e-08,1.8579485461245326e-07
1826,6.165589039319741e-09,5.19671061738336e-07
1827,5.530363722527909e-09,2.05545185649747e-07
1828,9.172301251858528e-10,1.724392622026727e-07
1829,4.286587973467704e-09,6.352723342928357e-07
1830,9.39315247805439e-09,3.256292870901234e-07
1831,1.5591206103948707e-09,2.899964215430373e-07
1832,2.705993873419743e-09,1.7588959622116818e-07
1833,1.2741991461950875e-08,5.247383683126827e-07
1834,1.8669061851994684e-09,2.660341209548278e-07
1835,2.193295500774184e-08,4.916007299016201e-07
1836,7.392825018825988e-09,3.575438998204561e-07
1837,5.566312855087574e-09,3.618103165958786e-07
1838,8.205810475558906e-09,2.8594093315348346e-07
1839,4.894032512581248e-09,3.516711974960174e-07
1840,1.2102408852854296e-08,6.720021445971724e-07
1841,4.494383976094696e-09,5.072233300040807e-07
1842,1.0062397581833693e-08,4.20608211815221e-07
1843,6.497602234034616e-09,3.5795880570788086e-07
1844,4.939705144924034e-09,3.271182525965699e-07
1845,1.2834524387717039e-08,4.285615133881038e-07
1846,1.1123552079439492e-08,2.529144689233931e-07
1847,1.6179670936367074e-09,3.430090247391604e-07
1848,5.63165514222419e-09,4.0869725737024964e-07
1849,9.217356211621563e-09,2.9244159183150487e-07
1850,1.1541293254424545e-08,3.082204287352397e-07
1851,3.8696632564949596e-09,3.560090107157521e-07
1852,2.6042181744401205e-09,3.183656804850443e-07
1853,2.149895506065036e-08,2.920274615458851e-07
1854,4.676097953293379e-09,2.951137272333426e-07
1855,2.1227748447927297e-09,3.2266179061934963e-07
1856,3.1063135952358323e-09,2.9199347950648047e-07
1857,7.322263739784063e-09,2.333361318052063e-07
1858,1.1255454956948796e-08,3.9638774751438177e-07
1859,5.601390906662118e-09,2.63774591502397e-07
1860,4.577184048448757e-09,2.8973573029666966e-07
1861,6.602349444939648e-09,2.541904358110969e-07
1862,1.8071945051545413e-09,2.972834922676526e-07
1863,7.491931519609807e-09,3.191562782944857e-07
1864,3.835782358407869e-09,3.0014995777705167e-07
1865,7.530951029455224e-09,2.8711750132970337e-07
1866,1.167747110120132e-08,6.417743350084493e-07
1867,1.4073153309368536e-08,3.372704000526028e-07
1868,1.4819622196071691e-09,2.815728343819046e-07
1869,4.88351925564956e-09,3.980068103981438e-07
1870,1.204150246181257e-08,2.064257529355018e-07
1871,1.0621177048975028e-08,1.5719342161268912e-07
1872,4.8378714367913744e-09,2.2556574874599278e-07
1873,5.9860043588599865e-09,3.5856166658021493e-07
1874,1.0754296286830112e-08,2.700523440424263e-07
1875,3.432916173551348e-09,2.963751155604655e-07
1876,3.627608879952504e-09,3.8815413794246467e-07
1877,3.092407996341251e-09,4.3046318864981004e-07
1878,4.22736201599605e-09,4.281713845699642e-07
1879,4.887460214320072e-09,5.864952248302302e-07
1880,4.492492378105339e-09,4.883980833092494e-07
1881,9.064259565150223e-09,4.476349966253679e-07
1882,1.3310770263785798e-09,4.399209601047005e-07
1883,1.2638677882037541e-09,5.238731866086255e-07
1884,1.3203393933736152e-09,4.4165353418890163e-07
1885,3.222817901438191e-09,4.982476156101256e-07
1886,5.808117542471791e-09,5.917826584322938e-07
1887,5.8760321608453125e-09,5.033800931641963e-07
1888,5.072491537916335e-09,5.313435353926366e-07
1889,2.506054641582267e-09,5.250184411664804e-07
1890,3.277193294515257e-09,4.830582938097905e-07
1891,5.736798036615198e-09,4.78066507270114e-07
1892,7.522214851007902e-09,4.7076528719713906e-07
1893,8.621783287310336e-09,5.949030432716995e-07
1894,5.671385361338821e-09,5.293292808516981e-07
1895,5.416753046105782e-09,5.663516091658494e-07
1896,3.538217385745668e-09,5.560898221901311e-07
1897,3.4960281336537946e-09,6.153009461939973e-07
1898,6.2241903853177405e-09,6.427891250382345e-07
1899,5.527578395003729e-09,7.727554702796624e-07
1900,1.038210628578895e-09,7.350531472383182e-07
1901,5.588738916095792e-10,8.299277434176133e-07
1902,9.820567470342212e-09,9.290257132477109e-07
1903,2.1600881083827517e-09,9.137172813922234e-07
1904,4.299700151477737e-09,9.78181773803044e-07
1905,7.741138396966107e-09,9.758995318520647e-07
1906,3.600929110447737e-09,1.0458126986634397e-06
1907,6.171411992550446e-09,8.732547849277239e-07
1908,9.822778146428846e-10,1.0289359835269352e-06
1909,2.2003934230241384e-09,9.81375515962668e-07
1910,3.7409054742809644e-09,9.149185942192162e-07
1911,5.32037403022656e-09,9.27341201162335e-07
1912,4.688479104952847e-09,1.0554287488417913e-06
1913,4.7726907426159926e-09,1.2472632313631493e-06
1914,6.027069177072519e-09,1.3447060993598825e-06
1915,0.0,1.5032252518309974e-06
1916,4.394984820521586e-09,1.581095795621934e-06
1917,4.3865698851064394e-09,1.8039768328037553e-06
1918,1.033773866510046e-08,2.100858214504342e-06
1919,3.6831394045755417e-09,1.6334722845456895e-06
1920,3.786115865267448e-09,1.3910189267107853e-06
1921,1.5145494858259667e-09,1.1699894333361271e-06
1922,2.21338064543275e-09,1.2247372431772874e-06
1923,1.0615948120573648e-09,1.0945042259180582e-06
1924,0.0,9.165945140665599e-07
1925,1.0998177923937646e-09,9.9643492035284e-07
1926,3.343841648018042e-09,9.830893574758193e-07
1927,4.4596899506643695e-09,1.0023153702576337e-06
1928,2.2852082448565625e-09,1.0534809682383184e-06
1929,4.4561625500705304e-09,1.3479891478596073e-06
1930,2.100720708497761e-09,1.1196841125382662e-06
1931,5.7026783295555106e-09,1.118865483817899e-06
1932,4.383814644626227e-09,1.1803420960632138e-06
1933,1.1470662197865522e-09,1.1963901114242503e-06
1934,2.3963160344919743e-09,1.1286648575747904e-06
1935,7.180970484910176e-09,8.940308422467069e-07
1936,2.424942913137329e-09,9.554275166578918e-07
1937,7.55467088886519e-09,1.1520872860160125e-06
1938,3.889564337278273e-09,9.023789075968125e-07
1939,1.3764645423464117e-08,1.1210539483386128e-06
1940,5.0715658339584024e-09,7.734138058879125e-07
1941,2.9515025978810172e-09,1.2278250949293579e-06
1942,6.068423541449874e-09,8.404766731473501e-07
1943,0.0,1.0829067207396292e-06
1944,0.0,1.2017316066703643e-06
1945,2.178504043826024e-09,1.1045015040345163e-06
1946,2.7842208538686464e-09,1.0677486841359496e-06
1947,5.960435478513659e-09,9.882402185468209e-07
1948,2.174377566888097e-09,1.0719681018400706e-06
1949,9.817008317369869e-10,1.037657799685121e-06
1950,2.1270722960764488e-09,1.0507737080445168e-06
1951,2.1322803522849654e-09,1.187680107150868e-06
1952,0.0,1.0101922409688768e-06
1953,2.1547654771580937e-09,9.039241319896973e-07
1954,2.9317608341017376e-09,8.5607417332767e-07
1955,2.815682353940474e-09,9.535777412139623e-07
1956,2.616342476002842e-09,8.372295710046274e-07
1957,8.835037701437898e-10,8.278430563279926e-07
1958,8.272243445794913e-10,8.851300687950925e-07
1959,3.1002992395556817e-09,1.0099224923010297e-06
1960,0.0,8.367287449573269e-07
1961,1.3896318540318475e-09,9.227155501889683e-07
1962,1.9025869213429303e-09,9.93150358397088e-07
1963,7.1126584622049904e-09,7.765729854725123e-07
1964,3.0419841090534305e-09,8.481052020670177e-07
1965,2.7360217424998723e-09,7.075352339569463e-07
1966,5.539074865446025e-09,7.178640899496713e-07
1967,5.916402701089396e-09,6.877817906314476e-07
1968,3.1439910119779313e-09,8.210308273248756e-07
1969,1.8167031212712459e-09,7.884491299847696e-07
1970,4.138852427448825e-09,6.95327200261886e-07
1971,4.624557625731995e-09,7.661350522880639e-07
1972,6.669190699692962e-09,6.68458124408744e-07
1973,4.410563081425067e-09,7.663353471798473e-07
1974,7.313243399753588e-09,7.39762647583575e-07
1975,3.4268881066168433e-09,6.688143265876079e-07
1976,5.7135269293517865e-09,5.982062667442278e-07
1977,3.5260691033656144e-09,6.364554892002161e-07
1978,2.3762365408686037e-09,6.344551550796496e-07
1979,1.7555920051037788e-09,6.407910611017087e-07
1980,2.8425753417771205e-09,5.975093273491439e-07
1981,3.795329717171114e-09,5.806854446177567e-07
1982,1.2415004579935385e-09,6.058522465934857e-07
1983,3.1576580239445207e-09,5.68378421661464e-07
