year,auront_VERB assez_ADV,auront_VERB passé_VERB
1800,9.432493186523061e-08,2.138031902632065e-07
1801,1.9049460320275102e-07,1.3096504858367553e-07
1802,7.161088433349505e-08,6.489736392722989e-08
1803,1.911332390136522e-07,1.4627543976075685e-07
1804,8.898663139689234e-08,3.485309889583732e-07
1805,9.950071699904584e-08,1.3930100806192058e-07
1806,1.2391177506287931e-07,2.737585589329683e-07
1807,1.0249038240317532e-07,2.1067468480850948e-07
1808,6.798222074166915e-08,2.4020383193601447e-07
1809,2.710836710662079e-08,2.5301142159150913e-07
1810,8.190443878675069e-08,2.971960952891095e-07
1811,7.019814773912003e-08,2.131015293116434e-07
1812,1.226915742336132e-07,1.6269970615212515e-07
1813,7.476928232108548e-08,1.8692320225000003e-07
1814,1.604805390797992e-07,9.754699448194515e-08
1815,9.710004889029733e-08,1.780167480092132e-07
1816,5.7940098940889584e-08,1.4369143741532753e-07
1817,9.963989811012652e-08,3.035903262116335e-07
1818,6.795070817133819e-08,2.038521387248693e-07
1819,1.2524770909294602e-07,2.3186352393622656e-07
1820,1.1154492085552192e-07,1.0086508694939766e-07
1821,7.691961201317099e-08,1.8342367980039853e-07
1822,8.622029668003961e-08,1.4236374568099563e-07
1823,5.5343047478118024e-08,1.2847492314449482e-07
1824,7.242157096243318e-08,1.7600125090666552e-07
1825,9.862095851076447e-08,1.1623184548170684e-07
1826,1.0569581121444571e-07,2.0082204343907506e-07
1827,9.493790997794349e-08,1.9909309401100472e-07
1828,7.704733206992387e-08,1.5226019911551703e-07
1829,5.915491385621863e-08,2.417635585061362e-07
1830,1.2106730196137505e-07,1.4820307114860043e-07
1831,9.042899762334855e-08,2.6193225721726776e-07
1832,1.1635773944362882e-07,3.0036531484256557e-07
1833,6.718504863556518e-08,1.8417969727124728e-07
1834,1.166816332442977e-07,1.8855752159652184e-07
1835,8.773182003096736e-08,2.3823727701710595e-07
1836,1.0081124912630912e-07,1.6062593033439043e-07
1837,7.931995327226105e-08,2.0873672212928795e-07
1838,1.009945904684173e-07,2.0703890868389863e-07
1839,9.927894950578775e-08,1.8946897739624546e-07
1840,9.809320289377865e-08,2.0765185126947472e-07
1841,9.052973126699726e-08,1.7977535549107415e-07
1842,8.45241387992246e-08,1.7978150879116583e-07
1843,8.860366307317236e-08,2.0437911985027313e-07
1844,7.190015338665035e-08,1.8551337177541427e-07
1845,8.426144404438674e-08,2.3157946316132438e-07
1846,1.2470087540350505e-07,2.1017659435074165e-07
1847,8.089835290547853e-08,3.0255984029281535e-07
1848,6.838438793010937e-08,1.9147627483562246e-07
1849,9.720121596501485e-08,2.5222038857464213e-07
1850,1.1066063621001376e-07,1.7651389327966172e-07
1851,7.67483214758613e-08,1.7220001780060556e-07
1852,8.398603768000612e-08,2.3242647273491457e-07
1853,1.1585547810000207e-07,1.3496565998138976e-07
1854,1.397633724309344e-07,1.8756348652004817e-07
1855,9.234070574848374e-08,1.4116452007328917e-07
1856,7.714012184578678e-08,2.112293202571891e-07
1857,4.393358210563747e-08,2.0063002637016325e-07
1858,9.444794812907276e-08,1.6491688370479096e-07
1859,5.754155907311542e-08,2.0979754822292307e-07
1860,6.087654469411063e-08,1.8491823539079633e-07
1861,7.687020797675359e-08,2.0325803973264556e-07
1862,9.668490719150213e-08,1.7981585642701248e-07
1863,5.6439215967429845e-08,1.6682034242876398e-07
1864,1.0931979943507031e-07,1.6637706323763268e-07
1865,4.753912818955541e-08,1.4826559890934732e-07
1866,4.330395597662573e-08,1.5326681079841364e-07
1867,5.338092634588065e-08,1.921713419505977e-07
1868,7.558007553143398e-08,1.7734147661485622e-07
1869,1.0353060275747339e-07,1.9827088237889257e-07
1870,5.5620272831902184e-08,1.605533697102146e-07
1871,1.083360103848463e-07,1.5825554555704002e-07
1872,6.954439868422924e-08,2.2254208431604638e-07
1873,6.524744833313889e-08,1.688053288262381e-07
1874,6.392831863877291e-08,1.3801347620301385e-07
1875,4.405575992905142e-08,2.3286615657980292e-07
1876,7.920279188056156e-08,1.3543072441279946e-07
1877,5.00970109840182e-08,1.9915107429824275e-07
1878,5.918306911212312e-08,1.8781565813696943e-07
1879,7.086817532808709e-08,1.7289390541463945e-07
1880,9.305877313181554e-08,1.8611754626363108e-07
1881,6.344981784422998e-08,1.7570718569004384e-07
1882,6.522277118392594e-08,1.3111109353758366e-07
1883,6.5721124542506e-08,2.180171918553242e-07
1884,8.186104594187782e-08,1.6504242239534506e-07
1885,5.994441210077639e-08,2.0174839221454022e-07
1886,3.549405036551434e-08,2.36842126355441e-07
1887,7.834709236931303e-08,2.1937187000276026e-07
1888,7.545331470737437e-08,2.1367871738675603e-07
1889,6.01453109538852e-08,1.8356850262080115e-07
1890,7.144281255477836e-08,2.0384142374041403e-07
1891,4.84440718651058e-08,1.6572971617279109e-07
1892,6.581937839200691e-08,1.8116000433110457e-07
1893,8.498614789687053e-08,1.2809506699795747e-07
1894,6.868678070759415e-08,1.6194955776427378e-07
1895,8.60661870660806e-08,1.6972492744571355e-07
1896,4.717623269812066e-08,1.4034928597084217e-07
1897,4.8944393427063915e-08,1.5557324672954564e-07
1898,6.507108452069588e-08,1.7710651434299507e-07
1899,6.798921248218903e-08,2.0396764455199445e-07
1900,5.2429637520390315e-08,1.5054054358643043e-07
1901,5.47696430430733e-08,1.7213315572917054e-07
1902,5.3031065760933416e-08,1.330686956180216e-07
1903,7.722314876446035e-08,1.7280704867062013e-07
1904,5.5896101969210576e-08,1.4027772010649642e-07
1905,5.934872859825191e-08,1.5637100148069294e-07
1906,6.944649300066885e-08,1.7850319977696927e-07
1907,4.0628464148539933e-08,1.2137110161347664e-07
1908,3.97822503828138e-08,1.3162522805032495e-07
1909,5.3909637642846064e-08,1.3807468235427223e-07
1910,5.9320072409718705e-08,1.5177387524545338e-07
1911,5.69280018680729e-08,1.766364192690162e-07
1912,5.730363383804615e-08,1.6149205350757256e-07
1913,5.409049563809276e-08,1.4583221741304442e-07
1914,6.763711013491047e-08,1.7947273533991392e-07
