year,faut_VERB oser_VERB,faut_VERB poser_VERB
1800,2.829747991484055e-08,1.7292904885835014e-07
1801,9.524730160137551e-08,1.2144030847593967e-07
1802,3.8043282302169246e-08,1.0741632650024258e-07
1803,5.070882025393075e-08,9.166594594489652e-08
1804,1.1617699158250616e-07,6.179627121127851e-08
1805,6.822906328807221e-08,1.1655798459742073e-07
1806,1.2679343797117326e-07,1.3832011802605848e-07
1807,3.701041606518629e-08,8.54086508184082e-08
1808,1.8128591960930862e-08,1.359644414833383e-07
1809,4.51806094758922e-08,9.713831161661801e-08
1810,6.31834211617388e-08,2.223120389999167e-07
1811,7.019814773912003e-08,1.1031137603367824e-07
1812,3.200649700829672e-08,3.253994123042503e-07
1813,2.8757416004054903e-08,1.4378707646756084e-07
1814,5.664018942752591e-08,6.922689976818219e-08
1815,3.236668177919455e-08,9.979726911524267e-08
1816,8.57513455798653e-08,2.503012126453541e-07
1817,6.383181272440197e-08,1.55687345682054e-07
1818,4.768470773797162e-08,1.5020683008515334e-07
1819,6.417651121637391e-08,1.1075623262968293e-07
1820,9.493184904840746e-08,7.238553223487543e-08
1821,7.59334568556369e-08,6.01550809165019e-08
1822,7.017931125119503e-08,6.015369535816717e-08
1823,6.917881023582595e-08,5.731958552246397e-08
1824,5.810567671460376e-08,8.168479581627253e-08
1825,5.6354835464844655e-08,8.365170600654892e-08
1826,3.963592831723872e-08,1.1714619319036501e-07
1827,5.8068820862899884e-08,1.0323346089080587e-07
1828,2.935136400594729e-08,8.6219628769868e-08
1829,8.830371456269859e-08,8.744639501401252e-08
1830,2.2961039292113128e-08,9.080046936560393e-08
1831,7.483778574624012e-08,1.7929886553247343e-07
1832,6.764985016616265e-08,9.065079353831607e-08
1833,5.560141858040879e-08,1.042526562855528e-07
1834,7.934351486937885e-08,1.5962048394158046e-07
1835,5.899208588289184e-08,7.260564416355919e-08
1836,8.736974876910608e-08,2.0296664615671034e-07
1837,5.844628248041772e-08,8.210311364109657e-08
1838,5.996553653631054e-08,1.0667553596022117e-07
1839,6.082583325905944e-08,1.4122780100933596e-07
1840,7.134051571711097e-08,1.738925021754767e-07
1841,7.57624718517036e-08,1.7271275964958477e-07
1842,1.0397810967788246e-07,1.1672381106109242e-07
1843,8.683159080646874e-08,1.9138391849082836e-07
1844,7.135129465041246e-08,1.2074835353814706e-07
1845,1.0156014695894555e-07,1.6740683861371508e-07
1846,6.908311434017378e-08,1.399225766363088e-07
1847,8.737022483273904e-08,1.466956831563948e-07
1848,9.815170187721378e-08,1.4642303369782894e-07
1849,1.340706319297169e-07,2.379753851755595e-07
1850,7.332116069846961e-08,2.0638547937323892e-07
1851,7.28786559989203e-08,1.5414158838211733e-07
1852,3.906327350478023e-08,1.0807505645971105e-07
1853,5.733054564416307e-08,1.540758347573501e-07
1854,5.299577665596189e-08,1.1638288555104737e-07
1855,4.9354515141430966e-08,1.7035267774190288e-07
1856,7.921099864915959e-08,1.1338044458852892e-07
1857,9.372497800086421e-08,1.0641689840440449e-07
1858,5.3830436996804565e-08,1.428953453341819e-07
1859,7.689181558134806e-08,1.1304624791819151e-07
1860,1.0069804545764782e-07,1.3456920555654506e-07
1861,9.85636390282707e-08,1.046943935989475e-07
1862,1.0029929597976661e-07,1.4231656564334116e-07
1863,8.341017121438199e-08,2.01782683006968e-07
1864,7.527722800659831e-08,1.5726708113561472e-07
1865,1.1249358067288995e-07,1.3085026751014084e-07
1866,5.2548617901493344e-08,1.6883676323686814e-07
1867,7.861554252031056e-08,1.921713419505977e-07
1868,5.236266531483125e-08,1.6103989253224427e-07
1869,8.204312251791634e-08,2.0608450768122566e-07
1870,8.25703025952862e-08,1.3475015236963372e-07
1871,1.0090118252037428e-07,1.901190671560471e-07
1872,5.6844989160254045e-08,1.7416337527720316e-07
1873,5.566984029314881e-08,1.520445067626497e-07
1874,5.197910013521323e-08,2.0612401385733392e-07
1875,8.067353007845668e-08,1.52764769723035e-07
1876,4.292670396921494e-08,1.2575711139106716e-07
1877,5.751878973114799e-08,1.4534317926973017e-07
1878,9.119023758330513e-08,1.624514851528147e-07
1879,5.864952257184086e-08,1.2401930860050925e-07
1880,4.813384535395926e-08,1.4183440555370908e-07
1881,3.974329487732575e-08,1.108628708834658e-07
1882,1.0648616211028639e-07,1.317766304964607e-07
1883,6.888079440159345e-08,1.3270611987081793e-07
1884,6.799747609420592e-08,1.1090850904338367e-07
1885,6.445635847285303e-08,1.1086493145739951e-07
1886,4.065682190912412e-08,1.59400556754008e-07
1887,3.9173546184656516e-08,1.8607434526529687e-07
1888,7.418519487600861e-08,1.8007345659043494e-07
1889,4.009687515349469e-08,1.5224281924020033e-07
1890,3.604912635069013e-08,1.625487868750497e-07
1891,5.099376210182527e-08,1.4405736692424398e-07
1892,5.7043461509920235e-08,1.4668319181510014e-07
1893,4.741980674793922e-08,1.5088120619566325e-07
1894,8.507078064212692e-08,1.3296248368988017e-07
1895,4.634333095054899e-08,1.1074250494402804e-07
