year,furent_VERB assez_ADV,furent_VERB passées_ADJ
1800,7.168695219661458e-07,6.288328968651058e-09
1801,8.429386184616305e-07,0.0
1802,4.811356575373793e-07,0.0
1803,8.405962148572144e-07,0.0
1804,7.736893508081266e-07,0.0
1805,6.282759841269581e-07,0.0
1806,4.870020688940713e-07,0.0
1807,7.914535444797366e-07,0.0
1808,7.79529443661886e-07,0.0
1809,8.674677474118653e-07,0.0
1810,9.71152644524409e-07,0.0
1811,1.0630005817802157e-06,0.0
1812,6.214594918674266e-07,0.0
1813,5.348879312805366e-07,8.627225156487839e-09
1814,7.142957088035473e-07,0.0
1815,7.039753313620167e-07,0.0
1816,7.161395956245542e-07,2.3176038865813098e-09
1817,7.504129939661652e-07,0.0
1818,7.069258458614058e-07,0.0
1819,9.326296321887639e-07,0.0
1820,1.0228907285636524e-06,0.0
1821,6.321213845694729e-07,0.0
1822,8.461619813715515e-07,0.0
1823,9.082189080800163e-07,0.0
1824,9.044275088854192e-07,8.421112696055388e-10
1825,9.844485475696274e-07,8.805443041381977e-10
1826,1.3035817119089188e-06,3.963592831723872e-08
1827,7.816247489245143e-07,0.0
1828,7.181911882980785e-07,0.0
1829,7.964480346345226e-07,1.714635211591542e-09
1830,8.923494760892936e-07,3.1310507520032616e-09
1831,5.971431846774067e-07,0.0
1832,6.359085773510742e-07,4.058990921151917e-09
1833,6.150906983748428e-07,1.1583628500844156e-09
1834,6.562175371982448e-07,0.0
1835,8.100067248051346e-07,6.806779140333674e-09
1836,9.47625778735528e-07,1.8146025126952736e-08
1837,8.460795584142033e-07,0.0
1838,8.685534567121067e-07,7.574594285131298e-09
1839,7.641682486791979e-07,6.292327547896548e-09
1840,8.000329216883983e-07,1.0828470564661075e-08
1841,6.266455443437735e-07,5.1364388298225094e-09
1842,7.828545562915679e-07,3.3541325272778977e-09
1843,7.25368693110795e-07,1.1813822142769936e-09
1844,7.305275175895076e-07,5.488561272137815e-10
1845,6.182892775541404e-07,0.0
1846,6.01842714331724e-07,5.854501328173001e-10
1847,6.82242784932896e-07,0.0
1848,5.848876298841788e-07,1.6090443422100975e-09
1849,6.410252240129921e-07,0.0
1850,6.91119794282713e-07,4.073397619208663e-09
1851,6.043123903509695e-07,5.159551008659946e-09
1852,5.533963758352911e-07,3.2552727180501506e-09
1853,6.521349291688239e-07,5.3747388761848924e-09
1854,6.816711675128317e-07,5.7152309551611324e-09
1855,6.824720912845805e-07,4.2455496895854594e-09
1856,6.813181130382873e-07,2.0708756931497874e-09
1857,7.166055411289562e-07,9.763018171682347e-10
1858,6.743485414517636e-07,6.361778659424999e-09
1859,6.833696488683927e-07,5.601390462572908e-09
1860,5.913721565775631e-07,4.577183909670879e-10
1861,5.01306942624069e-07,3.772770984511453e-09
1862,5.033036813983927e-07,7.680577063240435e-09
1863,5.943599035163061e-07,1.9978483312144135e-09
1864,5.552295192501333e-07,4.794727948009836e-10
1865,5.375216005631955e-07,9.41368871743009e-10
1866,6.111209813752794e-07,9.731225825149181e-10
1867,5.794257162961003e-07,3.396968040192405e-09
1868,4.7669783498349716e-07,9.87974813071446e-10
1869,5.606279955827631e-07,1.5627261262807224e-08
1870,5.281058861328347e-07,6.880858549607183e-09
1871,5.023816811444703e-07,6.37270636261178e-09
1872,5.968723826299538e-07,3.0236697590169115e-09
1873,5.650788352795644e-07,4.788803575905831e-09
1874,5.974609393888386e-07,7.169530746864439e-09
1875,6.356616495395429e-07,2.8607636259891933e-09
1876,5.024238021178462e-07,8.464420275799966e-09
1877,5.393159767663747e-07,6.184815992682502e-10
1878,6.238378773559816e-07,7.2469061862534545e-09
1879,5.541157861443935e-07,3.0546627449723474e-09
1880,5.44875149444124e-07,8.984985200299889e-09
1881,4.859837758885988e-07,6.972507571312292e-10
1882,4.9649173661237e-07,3.3276925659464496e-09
1883,5.523102117876988e-07,3.159669414998234e-09
1884,5.400187887971697e-07,4.621187876807653e-09
1885,5.929985036345897e-07,3.2228177904158883e-09
1886,5.950093964202097e-07,3.872078213618124e-09
1887,4.988098680769326e-07,0.0
1888,5.059810632701556e-07,1.521747527988282e-08
1889,4.780299605045002e-07,4.385595886446936e-09
1890,4.856800615016255e-07,0.0
1891,5.156744009582326e-07,6.374220040683554e-10
1892,4.6386992380575975e-07,2.5074049503359674e-09
1893,5.01910960792884e-07,1.2316833108982905e-09
1894,4.392173025280499e-07,2.520615716150587e-09
1895,5.404716034718149e-07,2.4074457982692365e-09
1896,5.289634827931877e-07,4.1279202278587945e-09
1897,4.754598137424182e-07,3.4960281336537946e-09
1898,4.815260012946965e-07,3.3950129374460403e-09
1899,4.6376382556445606e-07,5.527578395003729e-09
1900,4.7394314606208354e-07,5.19105292084987e-09
1901,4.979566483598319e-07,1.676621730339889e-09
1902,4.4978199298384425e-07,9.820567692386817e-10
1903,5.31921671154123e-07,5.400220270956879e-09
1904,4.971528255737212e-07,1.6123875568041512e-09
