year,avait_VERB osé_VERB,avait_VERB posé_VERB
1800,5.69093799640541e-07,1.320549074534938e-07
1801,6.762558655282191e-07,1.976381582835529e-07
1802,3.1329761895904085e-07,1.3427040812530322e-07
1803,7.216254971353919e-07,1.3067273130218382e-07
1804,7.16836780156882e-07,2.4224138428508013e-07
1805,4.889749902758922e-07,2.1605870870189392e-07
1806,5.532804721042339e-07,2.9681191904273874e-07
1807,8.056882734308601e-07,2.590729195617314e-07
1808,5.483898917191254e-07,2.130109493236887e-07
1809,6.573778819074505e-07,1.2650571079575457e-07
1810,6.248138220144028e-07,2.4103306373035593e-07
1811,6.16740862824372e-07,2.0307321335621964e-07
1812,1.0775521559480694e-06,2.720552458868042e-07
1813,1.1617996733548352e-06,2.530652523091703e-07
1814,1.0761635849121376e-06,3.2410775929747615e-07
1815,6.527280902446364e-07,4.288585557787883e-07
1816,6.419762712539523e-07,2.5261883251914696e-07
1817,1.128733174482477e-06,1.8682480629195197e-07
1818,1.0359502766732476e-06,2.0266001854452043e-07
1819,1.245231260327273e-06,3.053559680665785e-07
1820,1.2922597534270608e-06,2.55129350534844e-07
1821,1.256353584722092e-06,3.3923518572009925e-07
1822,1.0386538633611053e-06,3.258325023125508e-07
1823,1.1108139688076335e-06,3.4194096087958314e-07
1824,1.251377398148179e-06,2.8126515871917945e-07
1825,1.0830694918695372e-06,4.385110514704138e-07
1826,1.079858861885441e-06,3.258954279772297e-07
1827,1.1014641358997324e-06,3.5763019923251704e-07
1828,8.034936058720632e-07,3.6505758771454566e-07
1829,1.5354557945101988e-06,3.652172892998351e-07
1830,1.2138040119680227e-06,4.571334102365654e-07
1831,1.0399334087196621e-06,4.6929531549722014e-07
1832,1.166283368547738e-06,4.2890002305284725e-07
1833,1.0344180054744356e-06,4.77245521324221e-07
1834,1.138812763201713e-06,5.955430992798938e-07
1835,1.139757387136342e-06,5.316850888448243e-07
1836,1.1862123301398242e-06,5.699196208297508e-07
1837,1.1278741567366524e-06,5.802880878036376e-07
1838,1.058549514709739e-06,5.64938488878397e-07
1839,9.86497184385371e-07,5.523265258489118e-07
1840,1.2032342056045309e-06,6.427015932786162e-07
1841,1.1370791526132962e-06,6.048156819815631e-07
1842,1.4912473034200957e-06,8.036501526476059e-07
1843,1.1234944850002648e-06,7.306849170163332e-07
1844,1.4418450291486806e-06,8.079161943896906e-07
1845,1.0775420378195122e-06,8.844661465445824e-07
1846,1.162703938462073e-06,8.096775445665116e-07
1847,1.454013045076863e-06,8.440395049547078e-07
1848,7.93258834619337e-07,6.910845513630193e-07
1849,9.074906301975716e-07,9.116803312281263e-07
1850,9.226245651916543e-07,7.467895670743019e-07
1851,8.635798280920426e-07,6.842854531896592e-07
1852,9.577012178851874e-07,7.59129591187957e-07
1853,1.0200059250564664e-06,7.596297564305132e-07
1854,1.003282818601292e-06,6.120492912486952e-07
1855,1.1192330475751078e-06,6.81941401126096e-07
1856,9.800419320526998e-07,6.958142080293328e-07
1857,1.0231642590952106e-06,7.385723392872023e-07
1858,9.684584938440821e-07,7.33562046661973e-07
1859,1.115185909839056e-06,8.468284136142756e-07
1860,1.1694704653564258e-06,8.508985160915472e-07
1861,1.0634498721628916e-06,7.554974104095891e-07
1862,1.0160950978388428e-06,7.694130772506469e-07
1863,9.884354312816868e-07,7.257183938236267e-07
1864,1.0510043466638308e-06,7.35031790100038e-07
1865,9.281897064283839e-07,7.206178906926652e-07
1866,9.72149450717552e-07,6.850783051959297e-07
1867,1.0011350468630553e-06,7.934346513138735e-07
1868,8.802855404610455e-07,7.419690746246488e-07
1869,1.142255086961086e-06,7.67200845075422e-07
1870,1.0682532547434676e-06,7.26503969872283e-07
1871,9.081106782105053e-07,6.245252279768465e-07
1872,9.337092023997684e-07,7.190286623881548e-07
1873,8.06314801593544e-07,8.482168141199509e-07
1874,7.683347575948574e-07,7.181480441431631e-07
1875,7.243453410410439e-07,6.287958171924402e-07
1876,8.168166232280782e-07,6.650616342085414e-07
1877,8.306207632813312e-07,6.481687364612299e-07
1878,9.463252013119927e-07,7.017421239652322e-07
1879,8.388103651668644e-07,7.221222517728165e-07
1880,8.599914167461975e-07,7.213658932414546e-07
1881,8.032328651097487e-07,7.286270147233154e-07
1882,8.385785008613311e-07,7.793456120452902e-07
1883,6.439406661229441e-07,6.578432021342451e-07
