year,ont_VERB eu_VERB,ont_VERB pu_VERB
1800,2.362210761930328e-05,1.0454346920596436e-05
1801,2.500003574823495e-05,9.960486750060227e-06
1802,2.6243151296512224e-05,1.0748346539912745e-05
1803,2.211489663750399e-05,1.105257251765579e-05
1804,2.432795736240223e-05,1.3150247468729503e-05
1805,2.517652501410339e-05,1.1377196642570198e-05
1806,2.4070583094726317e-05,1.1039674063795246e-05
1807,2.3202685042633675e-05,1.2099559171474539e-05
1808,2.398865944996942e-05,1.2710409464489203e-05
1809,2.3173135559773073e-05,1.1374218956916593e-05
1810,2.3927796064526774e-05,1.2917499589093495e-05
1811,2.2247799279284663e-05,9.79013475443935e-06
1812,2.2961996364756487e-05,1.2087787581549492e-05
1813,2.6123236239072867e-05,1.3228411262389272e-05
1814,2.9440310754580423e-05,1.474218242947245e-05
1815,2.6891319066635333e-05,1.500735197623726e-05
1816,2.431166467431467e-05,1.4104937690717634e-05
1817,2.4855484298313968e-05,1.3208514246798586e-05
1818,2.360750841035042e-05,1.205111857416341e-05
1819,2.4495759134879336e-05,1.3468786164594349e-05
1820,2.6039806471089832e-05,1.2672215234488249e-05
1821,2.464583121764008e-05,1.2752876500599086e-05
1822,2.455774665577337e-05,1.2461840924515855e-05
1823,2.2165879272506572e-05,1.0783987818285823e-05
1824,2.2020367396180518e-05,1.1155448191857431e-05
1825,2.2145688490127213e-05,1.1830993571493309e-05
1826,2.1635052689816803e-05,1.2038753084198106e-05
1827,2.305147791048512e-05,1.2320729183556978e-05
1828,2.3053662516758777e-05,1.3549323739425745e-05
1829,2.5049963369383477e-05,1.3560192201111931e-05
1830,2.4454549929942004e-05,1.3601284081232734e-05
1831,2.6826228349818848e-05,1.4189557077770587e-05
1832,2.500744267308619e-05,1.3851982657797635e-05
1833,2.2680744223180227e-05,1.4017348803463392e-05
1834,2.353701893298421e-05,1.3821640095557086e-05
1835,2.190799750678707e-05,1.292985507461708e-05
1836,2.2298105250229128e-05,1.178013098979136e-05
1837,2.35128009080654e-05,1.2838700058637187e-05
1838,2.2556510884896852e-05,1.2330808203842025e-05
1839,2.3313772544497624e-05,1.2931432138429955e-05
1840,2.3734097339911386e-05,1.3321567166713066e-05
1841,2.4334520276170224e-05,1.4324886251415592e-05
1842,2.3593638616148382e-05,1.3245469745015725e-05
1843,2.5166984414681792e-05,1.3991109881317243e-05
1844,2.2509688278660178e-05,1.3333361494005658e-05
1845,2.272268829983659e-05,1.3358508113014977e-05
1846,2.4550265152356587e-05,1.3983476492285263e-05
1847,2.4737099010962993e-05,1.4712174561282154e-05
1848,2.691046211111825e-05,1.493112722528167e-05
1849,2.5341863874928094e-05,1.5517000065301545e-05
1850,2.4255725293187425e-05,1.4440873201237991e-05
1851,2.3928063455969095e-05,1.5107810213521589e-05
1852,2.4230948838521726e-05,1.5498353604925796e-05
1853,2.3973125280463137e-05,1.4166616892907768e-05
1854,2.37540589296259e-05,1.369681103824405e-05
1855,2.324916022189427e-05,1.3625561223307159e-05
1856,2.3106831577024423e-05,1.4002744137542322e-05
1857,2.378808130742982e-05,1.4025551536178682e-05
1858,2.3395687094307505e-05,1.385497580486117e-05
1859,2.339140701224096e-05,1.4230078704713378e-05
1860,2.387092899880372e-05,1.4310565347841475e-05
1861,2.4751263481448404e-05,1.423325011273846e-05
1862,2.408448199275881e-05,1.4643696886196267e-05
1863,2.392023816355504e-05,1.4618256500398275e-05
1864,2.405275336059276e-05,1.6082956790341996e-05
1865,2.3730968678137287e-05,1.467594029236352e-05
1866,2.38439351960551e-05,1.5287756468751468e-05
1867,2.3942800908116624e-05,1.572262408444658e-05
1868,2.420735836494714e-05,1.5960238670231774e-05
1869,2.36699288507225e-05,1.5538380466750823e-05
1870,2.2608781364397146e-05,1.6069670891738497e-05
1871,2.624705302878283e-05,1.9029963368666358e-05
1872,2.4807999579934403e-05,1.7313532225671224e-05
1873,2.361658334848471e-05,1.733307544782292e-05
1874,2.3846458134357817e-05,1.652517130423803e-05
1875,2.4467539333272725e-05,1.645740121603012e-05
1876,2.4525053959223442e-05,1.6478414181619883e-05
1877,2.3651355149922892e-05,1.6670552213327028e-05
1878,2.4172055418603122e-05,1.6560992662562057e-05
1879,2.42271398747107e-05,1.6886786397662945e-05
1880,2.3671584131079726e-05,1.6027286619646475e-05
1881,2.3812508516130038e-05,1.6828844309202395e-05
1882,2.345158100069966e-05,1.6280402633128688e-05
1883,2.35768220591126e-05,1.6612279068795033e-05
1884,2.3578621039632708e-05,1.67326616065111e-05
1885,2.3991944544832222e-05,1.6770900401752442e-05
1886,2.3326045266003348e-05,1.5883910236880183e-05
1887,2.3665392291150056e-05,1.6582162061240524e-05
1888,2.3699316443526186e-05,1.633913052501157e-05
1889,2.449668500048574e-05,1.702801455394365e-05
1890,2.515114647394512e-05,1.684411836322397e-05
1891,2.484415927028749e-05,1.703127782093361e-05
1892,2.444594429107383e-05,1.6791464076959528e-05
1893,2.4098499125102535e-05,1.7617998310015537e-05
1894,2.4139306333381683e-05,1.68269998539472e-05
1895,2.4207469323300757e-05,1.6799156583147123e-05
1896,2.4017419491428882e-05,1.7819053027778864e-05
1897,2.463767486915458e-05,1.7443431715946645e-05
1898,2.407403735560365e-05,1.7544294678373262e-05
1899,2.37591902987333e-05,1.703986526990775e-05
1900,2.379007673880551e-05,1.7199516150867566e-05
1901,2.400083940301556e-05,1.770065318851266e-05
1902,2.0876563212368637e-05,1.5690811778767966e-05
1903,2.2968757548369467e-05,1.7988673789659515e-05
1904,2.2548165361513384e-05,1.8296299458597787e-05
1905,2.2629412342212163e-05,1.8650467609404586e-05
1906,2.2709516997565515e-05,1.8079235815093853e-05
1907,2.2287540559773333e-05,1.835429429775104e-05
1908,2.3174879970611073e-05,1.8421638742438518e-05
1909,2.1558355001616292e-05,1.801352118491195e-05
1910,2.2308087864075787e-05,1.8410599295748398e-05
1911,2.2075297238188796e-05,1.8546823412179947e-05
1912,2.2017098672222346e-05,1.8275170077686198e-05
