year,voudrait_VERB unir_VERB,voudrait_VERB punir_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,5.851017448321727e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,1.1371510844071508e-08
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,0.0,2.2563691359778204e-08
1812,0.0,3.200649700829672e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,8.091670444798638e-09
1816,0.0,1.622322720606917e-08
1817,0.0,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,1.449147024601416e-08
1820,1.1866481131050932e-09,2.4919611263385377e-08
1821,2.9584463767662328e-09,5.9168927535324656e-09
1822,0.0,1.0025615893027862e-09
1823,9.882686669016039e-09,9.882686669016039e-09
1824,0.0,4.210556348027694e-09
1825,0.0,4.4027217427355936e-09
1826,0.0,0.0
1827,9.217273055917019e-10,9.217273055917019e-10
1828,0.0,5.503380862137419e-09
1829,8.57317605795771e-10,2.571952872898464e-09
1830,3.1310507520032616e-09,1.6698937344017395e-08
1831,0.0,9.354723218280014e-09
1832,0.0,1.488296597074168e-08
1833,1.1583628500844156e-09,9.266902800675325e-09
1834,3.733812370398937e-09,2.8003592777992026e-09
1835,3.781543966852041e-09,6.050470346963266e-09
1836,1.3441500135158435e-09,8.064899859050456e-09
1837,2.7831563720326358e-09,1.530736071231331e-08
1838,6.312161904276081e-10,5.049729523420865e-09
1839,6.9914751765765e-10,2.7965900706306e-09
1840,0.0,4.458782232319436e-09
1841,0.0,7.704658244733764e-09
1842,1.341653010911159e-09,1.341653010911159e-08
1843,1.7720733769266417e-09,1.1223130869097986e-08
1844,4.9397050894128824e-09,1.5367971784030487e-08
1845,3.348136878855712e-09,6.696273757711424e-09
1846,1.7563503984519002e-09,4.6836010625384006e-09
1847,5.9325460100012606e-09,2.1572894581822766e-09
1848,4.82713291560799e-09,3.218088684420195e-09
1849,0.0,1.4245005175439474e-08
1850,6.788996032014438e-10,6.788996032014438e-09
1851,0.0,3.8696632564949596e-09
1852,6.510545436100301e-09,4.557382027314816e-09
1853,1.7915795513800958e-09,4.777545470346922e-09
1854,4.676098175337984e-09,4.1565315633818045e-09
1855,3.1841622671890946e-09,1.5920811335945473e-09
1856,4.141751386299575e-09,6.212626857404757e-09
1857,3.4170564155999728e-09,6.8341128311999455e-09
1858,1.468102750479261e-09,9.787352261980686e-09
1859,1.5276520048956854e-09,5.092173349652285e-09
1860,1.373155145145688e-09,1.1900677776566226e-08
1861,1.8863854922557266e-09,0.0
1862,0.0,1.8071945051545413e-09
1863,3.496234635136375e-09,5.494082966350788e-09
1864,4.794727948009836e-10,4.315255264231155e-09
1865,1.4120533631256649e-09,2.3534221238463715e-09
1866,4.865612912574591e-10,3.4059290943133647e-09
1867,1.455843445796745e-09,4.367530337390235e-09
1868,7.409810987013543e-09,1.1361710683388537e-08
1869,4.883519366671862e-09,9.278686263769487e-09
1870,0.0,4.013834153937523e-09
1871,1.0621177271019633e-09,0.0
1872,2.4189357183956872e-09,1.2094678591978436e-09
1873,1.7958012854535355e-09,1.1972008939764578e-09
1874,2.3898436563030145e-09,0.0
1875,3.432916173551348e-09,5.721527140956084e-10
1876,1.209202959984168e-09,2.418405919968336e-09
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,6.039088673581716e-10,6.039088673581716e-10
1879,1.221865053580018e-09,9.163987790827832e-09
1880,1.9253538763308597e-09,3.8507077526617195e-09
1881,0.0,7.669758161910067e-09
1882,1.9966155395678697e-09,4.6587693702804245e-09
1883,1.8958017378167824e-09,3.159669414998234e-09
1884,1.3203393933736152e-09,1.9805090900604227e-09
1885,5.156508553483263e-09,7.7347630522695e-09
1886,1.2906927748801422e-09,3.2267319927115068e-09
1887,4.570247291724172e-09,4.570247291724172e-09
1888,3.804368819970705e-09,0.0
