year,devraient_VERB unir_VERB,devraient_VERB punir_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,1.4234775136401367e-08
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,9.341240669868967e-09,0.0
1818,0.0,1.7881765401739358e-08
1819,7.24573512300708e-09,1.035105001712111e-09
1820,2.0173018810965004e-08,2.3732962262101864e-08
1821,0.0,0.0
1822,1.4035862250239006e-08,5.012807946513931e-09
1823,5.929612356680991e-09,3.9530747564242574e-09
1824,1.9368560089105813e-08,0.0
1825,0.0,2.641632912414593e-09
1826,1.3211976401805714e-08,8.80798456392995e-09
1827,1.1982455028203276e-08,0.0
1828,9.172301140836225e-09,9.172301251858528e-10
1829,6.001223074036943e-09,2.571952872898464e-09
1830,9.39315203396518e-09,4.174734336004349e-09
1831,1.5591206548037917e-08,4.677361609140007e-09
1832,1.2176972319366541e-08,0.0
1833,1.0425265983826648e-08,4.6334514003376626e-09
1834,5.600718555598405e-09,3.733812370398937e-09
1835,3.025235173481633e-09,1.5126175867408165e-09
1836,4.704525213838906e-09,6.72075017860152e-09
1837,6.957890930081589e-10,7.653680356156656e-09
1838,9.468243078458727e-09,2.5248647617104325e-09
1839,8.38977065598101e-09,0.0
1840,7.64362617644565e-09,9.554533164646273e-09
1841,5.1364388298225094e-09,5.778493683550323e-09
1842,1.0733224087289273e-08,6.708265054555795e-10
1843,5.906911071384968e-10,3.5441467538532834e-09
1844,1.2623690537338916e-08,1.1525978393933656e-08
1845,3.348136878855712e-09,7.254296274794569e-09
1846,7.610851504580296e-09,4.0981511517657054e-09
1847,9.707802561820245e-09,0.0
1848,5.63165514222419e-09,1.6090443422100975e-09
1849,3.3517659758786067e-09,0.0
1850,5.431196825611551e-09,0.0
1851,2.579775504329973e-09,6.449438760824933e-10
1852,1.3021090872200602e-09,4.557382027314816e-09
1853,0.0,1.911018188138769e-08
1854,7.79349651480743e-09,2.5978321716024766e-09
1855,2.1227748447927297e-09,1.5920811335945473e-09
1856,1.9155599773057475e-08,8.28350277259915e-09
1857,4.881509085841174e-10,5.369659827891837e-09
1858,9.787352039936081e-10,9.787352039936081e-10
1859,8.147477359443656e-09,2.036869339860914e-09
1860,6.865775947773045e-09,4.577183909670879e-10
1861,1.2733101684148096e-08,8.017138064531082e-09
1862,9.035972525772706e-10,3.162590411776023e-09
1863,5.9935452156878455e-09,4.994620828036034e-10
1864,2.8768367688059016e-09,9.589455896019672e-10
1865,7.530950973944073e-09,2.8241067262513297e-09
1866,7.784980660119345e-09,9.731225825149181e-10
1867,5.338092634588065e-09,4.85281148598915e-10
1868,4.93987406535723e-10,1.4819622196071691e-09
1869,2.9301114867763545e-09,9.767038289254515e-10
1870,1.2614907340946502e-08,5.160643912205387e-09
1871,3.18635318130589e-09,3.18635318130589e-09
1872,1.0280476914203973e-08,9.675742873582749e-09
1873,1.616221290134945e-08,1.1972008939764578e-09
1874,5.974609140757536e-10,1.7923826867161097e-09
1875,5.721527251978387e-09,0.0
1876,5.441413541973361e-09,1.813804439976252e-09
1877,4.9478527941460015e-09,3.710889595609501e-09
1878,4.22736201599605e-09,5.435179861734696e-09
1879,1.221865097988939e-08,0.0
1880,2.5671385017744797e-09,4.492492600149944e-09
1881,7.669758161910067e-09,0.0
1882,0.0,6.655385131892899e-10
1883,7.58320695126713e-09,0.0
1884,7.922036360241691e-09,0.0
1885,8.379326565943757e-09,1.2891271383708158e-09
1886,5.162771099520569e-09,5.162771099520569e-09
1887,6.528924623161458e-10,3.9173548849191775e-09
1888,5.07249175996094e-09,0.0
1889,5.012109394186837e-09,1.2530273485467092e-09
1890,1.3108772956016423e-09,9.831579994568074e-09
1891,8.92390783491237e-09,1.2748440081367107e-09
1892,1.4417578242387208e-08,6.268512375839919e-10
1893,1.539604177480669e-08,6.158416554491453e-10
1894,1.2603078580752936e-09,3.150769645188234e-09
1895,5.416753268150387e-09,0.0
1896,2.948514543632541e-09,0.0
1897,2.9133566670225264e-09,4.661370844871726e-09
1898,5.6583546736987955e-09,1.0185038590293516e-08
1899,1.6582735185011188e-09,3.8693048765026106e-09
1900,4.671947717582725e-09,5.191053142894475e-10
1901,4.470991132876634e-09,5.588738916095792e-10
1902,6.874397495693074e-09,1.4730852093691738e-09
1903,3.2401321625741275e-09,0.0
1904,1.289910045443321e-08,3.2247751136083025e-09
1905,4.1286072338664326e-09,5.676835002077496e-09
1906,6.6874399351490865e-09,2.572092316910357e-09
1907,1.542852956504248e-08,1.028568674676933e-09
1908,7.367083831866239e-09,0.0
1909,3.850688656825696e-09,2.2003934230241384e-09
1910,9.619471441624228e-09,0.0
1911,1.0108711201439746e-08,0.0
1912,9.897900277167082e-09,5.209421227725386e-10
1913,7.954484182448596e-09,0.0
1914,8.705766774141921e-09,6.696743604095445e-09
1915,8.246533234057551e-09,0.0
1916,6.592477230782379e-09,1.0987462051303964e-09
1917,5.483212106582869e-09,0.0
1918,8.040463406189247e-09,2.2972752589112133e-09
1919,8.287063479883727e-09,4.603924352863942e-09
1920,1.0601124422748853e-08,7.572231730534895e-10
1921,5.300923255902035e-09,0.0
1922,5.164555005876537e-09,2.2133805899215986e-09
1923,4.246379248229459e-09,0.0
1924,6.445812328337297e-09,3.867487219366694e-09
1925,9.898360353588487e-09,2.1996355847875293e-09
1926,4.458455382660986e-09,0.0
1927,5.574612327308159e-09,0.0
1928,4.570416489713125e-09,0.0
1929,3.342121912552898e-09,3.342121912552898e-09
1930,1.05036033204442e-08,0.0
1931,6.843213995466613e-09,4.5621426636444085e-09
1932,7.6716757391182e-09,2.1919073223131136e-09
1933,4.588264879146209e-09,0.0
1934,0.0,0.0
1935,8.377798899061872e-09,0.0
1936,3.6374143697059935e-09,2.424942913137329e-09
1937,7.554670666820584e-09,1.2591118148108649e-09
1938,6.482607339819424e-09,0.0
1939,1.5294050470515685e-09,0.0
1940,0.0,0.0
1941,2.3612020783048138e-08,2.9515025978810172e-09
1942,0.0,0.0
1943,0.0,0.0
1944,9.639558484764166e-09,0.0
1945,4.357008087652048e-09,2.178504043826024e-09
1946,2.7842208538686464e-09,1.3921104269343232e-09
1947,2.3841741914054637e-09,2.3841741914054637e-09
1948,9.784699273041042e-09,0.0
1949,8.835307596655184e-09,9.817008317369869e-10
1950,5.317680518146517e-09,1.0635361480382244e-09
1951,7.462981344019681e-09,0.0
1952,1.370824520563474e-08,5.272402070488624e-09
1953,5.386913581872932e-09,0.0
1954,7.818028890937967e-09,0.0
1955,2.815682353940474e-09,0.0
1956,6.104799332717903e-09,0.0
1957,1.5903067307476704e-08,0.0
1958,4.9633461784992505e-09,0.0
1959,5.425523585955716e-09,0.0
1960,5.536666680683311e-09,3.460416619915918e-09
1961,4.16889545107324e-09,2.08444772553662e-09
1962,1.0781326054143392e-08,1.9025869768540815e-09
1963,4.526237162849611e-09,6.466053248388448e-10
1964,1.1559539991878864e-08,1.8251904432275978e-09
1965,7.660860390501512e-09,0.0
1966,1.1078149508847446e-09,0.0
1967,8.381570104631919e-09,0.0
1968,1.7965663401398047e-09,0.0
1969,7.72098829315837e-09,9.083515606356229e-10
1970,8.277704743875347e-09,4.5987250119061684e-10
1971,7.193756701440179e-09,1.541519245584766e-09
1972,7.182205497002769e-09,0.0
1973,4.410563025913916e-09,5.513203782392395e-10
1974,5.06301445213353e-09,2.812785782069227e-09
1975,1.1422960355389478e-08,3.4268881066168433e-09
1976,5.713526984862938e-09,1.142705374768127e-09
1977,8.22749424145286e-09,0.0
1978,1.0693064211864112e-08,0.0
1979,8.777959692451986e-09,2.3407893401383717e-09
1980,7.95921106799824e-09,5.685150683554241e-10
1981,3.1627747087981106e-09,6.325549528618524e-10
1982,4.345251713999687e-09,0.0
1983,1.0736036948344463e-08,0.0
1984,6.958810416790584e-09,0.0
1985,5.414002135495366e-09,6.015558051686298e-10
1986,8.392279760016663e-09,5.994485463567401e-10
1987,3.6664902225425067e-09,1.2221633705067347e-09
1988,2.398621523624911e-09,0.0
1989,6.585746614717891e-09,5.488122178931576e-10
1990,5.993515905799995e-09,1.089730194969718e-09
1991,1.1136783939491579e-08,2.9307325455363298e-09
1992,3.30596661157756e-09,1.65298330578878e-09
1993,2.7696036575264316e-09,0.0
1994,3.164955852952289e-09,4.2199412852994556e-09
1995,1.0844901865425527e-08,5.422450821690461e-10
1996,7.473328622609188e-09,0.0
1997,1.1987236092636522e-08,1.438468344439059e-09
1998,6.675381136744818e-09,4.768129224785866e-10
1999,5.941261704833778e-09,0.0
2000,6.185244316725402e-09,4.4180314962005696e-10
2001,3.066848330846028e-09,8.762423564512289e-10
2002,5.6955880012310445e-09,0.0
2003,5.416999737661854e-09,4.1669229178253886e-10
2004,3.9643119897903034e-09,1.7619165015858584e-09
2005,4.053374524914943e-09,4.053374524914943e-09
2006,4.941467679486777e-09,4.1178899179428186e-10
2007,2.7961355453243186e-09,1.5977917877663117e-09
2008,6.3861596011349775e-09,2.1287198670449925e-09
2009,4.76819250749827e-09,4.76819250749827e-10
2010,3.7790344187271785e-09,4.723793023408973e-10
2011,3.823971805871906e-09,0.0
2012,5.1063788752969685e-09,0.0
2013,2.2313000336282585e-09,5.578250084070646e-10
2014,2.3819897165822113e-09,1.2992671383216248e-09
2015,3.989835573037226e-09,8.866301581811342e-10
2016,4.556948152156792e-09,1.2428040818690533e-09
2017,2.5156112748447867e-09,5.031222660711876e-10
2018,3.0977600484760615e-09,0.0
2019,2.5509878653906526e-09,0.0
