year,tout_DET are_NOUN,tout_DET part_NOUN
1800,0.0,2.3266816917555388e-07
1801,0.0,1.3096504503096185e-07
1802,0.0,1.6112448975036386e-07
1803,0.0,1.8138154445068722e-07
1804,0.0,2.0763547858848597e-07
1805,0.0,2.5585898910662763e-07
1806,0.0,1.7001847929520864e-07
1807,0.0,1.8505208387864513e-07
1808,0.0,1.5862517699360978e-07
1809,0.0,1.0617443280125372e-07
1810,0.0,1.19346462490455e-07
1811,0.0,1.228467656488874e-07
1812,0.0,1.4936366454776362e-07
1813,0.0,1.6679301495514665e-07
1814,0.0,1.1642705377568063e-07
1815,0.0,7.552226044538202e-08
1816,0.0,1.7150268938337376e-07
1817,0.0,1.8993855377402724e-07
1818,1.1921177378582115e-09,1.0729059418679299e-07
1819,0.0,1.2524770909294602e-07
1820,1.1866481131050932e-09,1.2578470176549672e-07
1821,0.0,1.6370070543558768e-07
1822,0.0,1.0627152846609533e-07
1823,0.0,7.609669161467991e-08
1824,0.0,1.490536956083588e-07
1825,8.805443041381977e-10,1.2944001515080572e-07
1826,0.0,9.68878284268726e-08
1827,9.217273055917019e-10,6.72860940298392e-08
1828,0.0,4.769596717579816e-08
1829,0.0,8.916103322320623e-08
1830,0.0,8.558205388808915e-08
1831,0.0,8.731075396006815e-08
1832,1.3529969367098715e-09,1.3394669595712116e-07
1833,0.0,1.18153010930655e-07
1834,9.334530925997342e-10,1.1108092068390363e-07
1835,0.0,7.563087933704082e-08
1836,0.0,8.871389844955502e-08
1837,6.957890930081589e-10,6.679575248469405e-08
1838,0.0,7.132742929627511e-08
1839,0.0,6.991475087758658e-08
1840,0.0,5.414235504375142e-08
1841,0.0,1.0658110483063865e-07
1842,0.0,5.9703559873725e-08
1843,0.0,1.0041748521594229e-07
1844,3.2931368743049916e-09,8.617041169500794e-08
1845,5.580227946389016e-10,7.031087179143469e-08
1846,0.0,8.898842374094329e-08
1847,5.393223645455691e-10,8.359496295184954e-08
1848,1.6090443422100975e-09,5.873011893475777e-08
1849,0.0,4.105913409269135e-08
1850,1.3577992064028876e-09,6.381656447729256e-08
1851,0.0,9.867641481697831e-08
1852,6.510545436100301e-10,8.919447624933241e-08
1853,1.1943863675867306e-09,8.89817830529438e-08
1854,0.0,8.157193409630281e-08
1855,0.0,1.0454665755332826e-07
1856,0.0,7.506924326605713e-08
1857,0.0,1.0592874777337613e-07
1858,0.0,8.025628406294061e-08
1859,0.0,1.0693563767816272e-07
1860,9.154367819341758e-10,8.147387675627726e-08
1861,0.0,1.3440496449135253e-07
1862,4.517986262886353e-10,9.30705204016391e-08
1863,0.0,1.4834024197885043e-07
1864,0.0,1.1363505025840936e-07
1865,0.0,1.0731605137870304e-07
1866,9.731225825149181e-10,1.114225369747146e-07
1867,0.0,1.0627656799044871e-07
1868,0.0,9.731551786629211e-08
1869,0.0,1.1329764149081711e-07
1870,0.0,1.1410757227992008e-07
1871,0.0,6.478918024299674e-08
1872,0.0,7.619647379719652e-08
1873,0.0,1.0116347470834341e-07
1874,5.974609140757536e-10,6.034355326534069e-08
1875,0.0,8.124568751100014e-08
1876,0.0,5.320493090543721e-08
