year,sont_VERB assez_ADV,sont_VERB passées_ADJ
1800,1.1730877304216847e-05,3.144164484325529e-09
1801,1.1734467989299446e-05,5.476719877606229e-08
1802,1.2816110029234551e-05,2.0140561218795483e-08
1803,1.5165837794484105e-05,9.751696339321825e-09
1804,1.0132116585737094e-05,7.415552971679062e-08
1805,1.2309660633036401e-05,3.4114531644036106e-08
1806,8.913002602639608e-06,2.0171682990621775e-08
1807,1.001558848656714e-05,0.0
1808,1.3118302376824431e-05,1.3596443970698147e-08
1809,1.1498465028125793e-05,2.0331274441787173e-08
1810,8.094498298305552e-06,1.1700633351097167e-08
1811,1.0263972399116028e-05,1.504245972228091e-08
1812,9.959355338651221e-06,8.00162425207418e-09
1813,1.0392930562375113e-05,4.3136125782439194e-08
1814,8.67224207468098e-06,3.4613449884091096e-08
1815,1.0060643944598269e-05,2.1577788444915313e-08
1816,1.234355841006618e-05,4.8669683394564345e-08
1817,1.1214158803340979e-05,4.670620334934483e-09
1818,9.53455764829414e-06,2.1458118837358597e-08
1819,9.254873475583736e-06,3.001804671498576e-08
1820,8.736103154660668e-06,2.7292905713238724e-08
1821,8.924646863306407e-06,1.7750679148775816e-08
1822,9.278707693738397e-06,5.213320264374488e-08
1823,8.29849250294501e-06,2.2730180404550993e-08
1824,8.445534149359446e-06,2.5263338088166165e-08
1825,9.41477992455475e-06,3.9624492131906663e-08
1826,9.440397661819588e-06,3.963592831723872e-08
1827,8.892825462680776e-06,3.594736597278825e-08
1828,1.1500231266836636e-05,6.604057034564903e-08
1829,1.095737661671592e-05,3.772197487705853e-08
1830,1.0858483619813342e-05,8.349468672008697e-09
1831,1.2002110452158377e-05,1.7150327380477393e-08
1832,9.870112990029156e-06,1.8941957335982806e-08
1833,1.12164270831272e-05,1.3900354645102198e-08
1834,9.017157026391942e-06,3.080395316601425e-08
1835,9.259488251700532e-06,4.0084366048631637e-08
1836,8.365989742742386e-06,2.8899226123257904e-08
1837,9.631808097765315e-06,4.453050195252217e-08
1838,8.632512617623433e-06,2.4617431648721322e-08
1839,8.973558578873053e-06,3.4957377437194737e-08
1840,7.485657988581806e-06,4.7772665823231364e-08
1841,8.496954251313582e-06,1.926164472365599e-08
1842,7.676268069189973e-06,4.159124245006751e-08
1843,8.507133316015825e-06,2.5990408047960045e-08
1844,8.174114555004053e-06,2.9089374464774664e-08
1845,8.3826180343749e-06,5.245414413934668e-08
1846,9.017688171297777e-06,2.86870562860031e-08
1847,7.693973202549387e-06,1.9954928376364478e-08
1848,8.502190212311689e-06,3.298540818263973e-08
1849,8.536948371329345e-06,2.6814127807028854e-08
1850,7.724519491603132e-06,1.8330290174617403e-08
1851,7.918621122371405e-06,2.3217978650791338e-08
1852,8.586107469454873e-06,1.7578472011337e-08
1853,9.610629604139831e-06,4.240071760364117e-08
1854,8.091727977443952e-06,4.8319680701069956e-08
1855,8.607321433373727e-06,3.237231638308913e-08
1856,8.061401786108036e-06,3.831119954611495e-08
1857,7.854836439946666e-06,3.612316845647001e-08
1858,7.414408628392266e-06,5.431980554249094e-08
1859,7.936660949781071e-06,3.564521477983362e-08
1860,8.16706960904412e-06,2.70053845952134e-08
1861,7.821426152077038e-06,3.065376574795664e-08
1862,7.538259978900896e-06,2.936691068100572e-08
1863,7.015943992882967e-06,2.3474717281146695e-08
1864,7.952536179800518e-06,3.0206784629172034e-08
1865,8.183790669136215e-06,3.247722446531043e-08
1866,8.093947144516278e-06,5.060237384668653e-08
1867,8.694297321198974e-06,1.94112459439566e-08
1868,9.337350093119312e-06,2.420538258718352e-08
1869,8.57350642036181e-06,3.4672986259920435e-08
1870,8.278246241388842e-06,5.447346396181274e-08
1871,8.07315700512845e-06,2.973929724703339e-08
1872,8.399149919569027e-06,3.205089882385437e-08
1873,9.92299919744255e-06,4.42964314117944e-08
1874,9.482899258728139e-06,3.525019565131515e-08
1875,9.267157111025881e-06,2.2886109007913547e-08
1876,9.825378583627753e-06,4.6554312405078235e-08
1877,1.0070117241411936e-05,3.0924081073635534e-08
1878,9.416750799573492e-06,1.5701630218245555e-08
1879,9.606303137843497e-06,4.887460391955756e-08
1880,9.223728739016224e-06,2.2462462112571302e-08
1881,9.25600397749804e-06,2.8587281875047665e-08
1882,9.542491170577705e-06,3.527354053289855e-08
1883,9.628776751924306e-06,3.854796659652493e-08
1884,9.478056199441198e-06,3.4328824227713994e-08
1885,9.812190910452046e-06,4.7053141827291256e-08
1886,9.811201380216517e-06,2.5168509054651622e-08
1887,9.811014933802653e-06,4.7661149693567495e-08
1888,9.354943358630408e-06,4.057993407968752e-08
1889,9.927109203999862e-06,2.7566601445982997e-08
1890,1.0047874638985377e-05,3.0150179242127706e-08
1891,9.572166163707152e-06,4.716922674674606e-08
1892,1.0054067388409749e-05,3.0715710863660206e-08
1893,9.878715900413226e-06,3.202376674948937e-08
1894,1.0098216989717912e-05,5.608369946230596e-08
1895,9.850064088823274e-06,2.9491211250842753e-08
1896,1.017473368847277e-05,3.4792471126365854e-08
1897,1.0110513358085882e-05,2.330685333618021e-08
1898,1.0366105925641023e-05,3.904265000187479e-08
1899,1.0186774488829542e-05,4.5878898902174114e-08
1900,1.0438689059810713e-05,4.2047531678690575e-08
1901,1.0462677892064676e-05,3.63268028991115e-08
1902,1.0259546797897201e-05,4.7629754362787935e-08
1903,1.1378264389350079e-05,3.510143287144274e-08
1904,1.0679917977540754e-05,3.923476299405593e-08
1905,1.0174952876695897e-05,3.1996705729397945e-08
1906,1.0683442269510124e-05,3.0865106026567446e-08
1907,1.0327858035452664e-05,3.445705232252294e-08
1908,1.0056560313387308e-05,4.272908427083166e-08
1909,1.0629550160956569e-05,2.8055016088046614e-08
1910,9.747196600073949e-06,3.634022505139001e-08
1911,1.0402395673736464e-05,2.8197982615552064e-08
1912,9.959371709555853e-06,3.5945006970905524e-08
1913,1.0471283530932851e-05,2.704524781904638e-08
1914,1.0219901014352217e-05,4.018046340092951e-08
1915,8.691846232977696e-06,7.304072369151982e-08
1916,8.57461509440327e-06,4.394984642885902e-08
