year,grand_ADJ appât_NOUN,grand_ADJ papa_NOUN
1800,1.2576657937302116e-08,9.432493897065797e-09
1801,2.3811825844433088e-09,5.000483582762172e-08
1802,4.4756802708434407e-08,1.096541666356643e-07
1803,2.7304748684287006e-08,4.8758479032073865e-08
1804,2.2246657849223084e-08,1.4831105232815389e-08
1805,1.421438877713399e-08,1.9900143755080535e-08
1806,0.0,2.305335300434308e-08
1807,1.4234775136401367e-08,1.7081731584767113e-08
1808,6.798221985349073e-09,1.3596443970698147e-08
1809,2.25903047379461e-08,4.518061036407062e-09
1810,2.3401267590372754e-09,1.4040760554223652e-08
1811,6.016983888912364e-08,4.011322829455821e-08
1812,0.0,2.2671270016871858e-07
1813,2.8757416004054903e-08,2.243078491837025e-07
1814,4.72001566720337e-08,9.754699448194515e-08
1815,2.966945977789237e-08,2.4275012222574333e-08
1816,2.3176038865813098e-09,3.012885052555703e-08
1817,4.670620334934483e-09,1.712560726563339e-08
1818,4.768470773797162e-08,3.2187177367859476e-08
1819,1.8631890696951814e-08,2.070209959015301e-08
1820,2.3732962262101864e-09,1.5426425470366212e-08
1821,1.972297702934611e-08,1.0847637343935901e-08
1822,2.7069162911175226e-08,1.5439448475262907e-07
1823,9.882686669016039e-09,2.3718449093657057e-08
1824,8.421112696055388e-09,5.3895122142932905e-08
1825,1.6730341556581152e-08,2.0252519217223153e-08
1826,2.9947145208097936e-08,1.937756521908085e-08
1827,1.474763688946723e-08,1.659109177820639e-08
1828,3.668920500743411e-09,6.420610709767516e-09
1829,2.8291481157793896e-08,1.4574399298528107e-08
1830,1.6698937344017395e-08,7.201416862834265e-08
1831,1.091384405071949e-08,1.8709447990872263e-08
1832,2.1647950987357945e-08,2.7059938512152826e-08
1833,2.3167257001688313e-09,6.950177322551099e-09
1834,2.5203233278148218e-08,3.2670859129169116e-08
1835,3.7059130875150004e-08,2.571449897459388e-08
1836,1.4113575197427508e-08,8.064900192117364e-09
1837,1.948209416013924e-08,1.1828414581138702e-08
1838,1.2624323808552163e-08,4.039783707554534e-08
1839,3.2859933440931854e-08,2.65676055599684e-08
1840,4.395085184683012e-08,8.280595042986505e-09
1841,2.6966304744746594e-08,1.6693426641012366e-08
1842,1.2074877098200432e-08,1.2745703603656011e-08
