year,ait_VERB eu_VERB,ait_VERB pu_VERB
1800,7.168694992287783e-06,6.888864390930394e-06
1801,6.9173352130746935e-06,7.245938377309358e-06
1802,8.550787242711522e-06,6.805271823395742e-06
1803,7.360580184467835e-06,6.670160018984461e-06
1804,1.0811875654326286e-05,7.5193706834397744e-06
1805,8.804392564343289e-06,6.942307209101273e-06
1806,7.581671525258571e-06,6.169653715915047e-06
1807,1.0436937373015098e-05,8.02841350378003e-06
1808,9.567364031681791e-06,7.5754851422971115e-06
1809,9.293651601183228e-06,7.701035428908654e-06
1810,8.87142050487455e-06,7.064842520776438e-06
1811,8.579217137594242e-06,7.268015451700194e-06
1812,9.951353604265023e-06,7.966950761328917e-06
1813,9.596349627827294e-06,8.739379154576454e-06
1814,8.184507350961212e-06,8.351281394425314e-06
1815,8.304751645482611e-06,8.256200999312568e-06
1816,7.801054380252026e-06,8.141742000589147e-06
1817,8.460049684799742e-06,7.734546670690179e-06
1818,8.406814231420867e-06,7.2886077759903856e-06
1819,9.881112418952398e-06,8.671074283483904e-06
1820,8.422828614129685e-06,8.234151209762786e-06
1821,9.136669177678414e-06,7.881301826273557e-06
1822,8.544832780899014e-06,7.865095540182665e-06
1823,7.736167390248738e-06,6.378286343533546e-06
1824,8.135636562656146e-06,7.116682354535442e-06
1825,8.215478374040686e-06,7.160586392274126e-06
1826,7.460362667188747e-06,7.100996754161315e-06
1827,9.523286280455068e-06,7.352618922595866e-06
1828,9.241093721357174e-06,7.676298992009833e-06
1829,9.407345714862458e-06,8.064786925388034e-06
1830,1.0187395673710853e-05,8.483059900754597e-06
1831,9.518431397737004e-06,7.731679033895489e-06
1832,9.77134368440602e-06,8.063861969276331e-06
1833,7.853700481064152e-06,6.816965196776437e-06
1834,8.939679901232012e-06,7.70472161093494e-06
1835,8.488053936162032e-06,6.965603915887186e-06
1836,8.428492947132327e-06,7.073589586070739e-06
1837,8.50950073072454e-06,7.040689979476156e-06
1838,9.004298590298276e-06,7.091082807164639e-06
1839,8.649153642181773e-06,7.058593382680556e-06
1840,8.313080797961447e-06,7.478014595108107e-06
1841,9.380421033711173e-06,7.981383532751352e-06
1842,8.332335710292682e-06,7.230168193927966e-06
1843,8.844417607178912e-06,8.074747711361852e-06
1844,8.237781912612263e-06,7.5270127126714215e-06
1845,8.42056397232227e-06,7.576275493192952e-06
1846,8.502492164552677e-06,7.51542347643408e-06
1847,8.429608897131402e-06,7.341795480897417e-06
1848,8.62447723193327e-06,7.028305844869465e-06
1849,8.87380065250909e-06,7.40991663406021e-06
1850,8.547345714760013e-06,6.911876880622003e-06
1851,9.307829714089166e-06,7.439427463395987e-06
1852,9.215676982421428e-06,7.554185685876291e-06
1853,8.517169590049889e-06,7.079127954057185e-06
1854,7.781027306918986e-06,6.764235422451748e-06
1855,8.204524419852532e-06,6.885750735818874e-06
1856,8.459009222860914e-06,6.81939354763017e-06
1857,8.300517947645858e-06,7.078187991282903e-06
1858,8.307504685944878e-06,7.460409051418537e-06
1859,8.220804375014268e-06,7.573079983558273e-06
1860,7.855820513213985e-06,6.977916655159788e-06
1861,8.150600478984416e-06,7.416324478981551e-06
1862,8.036142389755696e-06,7.2477537287340965e-06
1863,8.426924068771768e-06,7.336598628171487e-06
1864,8.583042472309899e-06,7.968358659127261e-06
1865,8.312757927342318e-06,7.568605724372901e-06
1866,8.398047611990478e-06,7.49450373405125e-06
1867,8.341982720594388e-06,7.498078957723919e-06
1868,8.068296665442176e-06,7.809447197359987e-06
1869,8.295145562442485e-06,7.788235961925238e-06
1870,8.36655090097338e-06,7.435341103700921e-06
1871,7.494302735722158e-06,7.2871898737503216e-06
1872,8.566660653741565e-06,7.342679509747541e-06
