year,avaient_VERB uni_VERB,avaient_VERB puni_VERB
1800,4.087413785214267e-08,1.5720821977538435e-08
1801,1.904946067554647e-08,7.143547975374531e-09
1802,1.5664880947952042e-08,1.1189200677108602e-08
1803,1.5602713787643552e-08,3.900678446910888e-09
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,3.1271653710973624e-08,1.1371510844071508e-08
1806,6.916005901302924e-08,5.76333825108577e-09
1807,6.547996855843508e-08,2.8469551160981155e-09
1808,6.118399653587403e-08,0.0
1809,4.0662548883574345e-08,9.036122072814123e-09
1810,3.042164697930616e-08,1.1700633351097167e-08
1811,1.1031137603367824e-07,0.0
1812,1.0135391192989118e-07,2.1337665856435706e-08
1813,1.4378708002027452e-08,3.1633157648869314e-08
1814,4.405347908686963e-08,0.0
1815,2.4275012222574333e-08,8.091670444798638e-09
1816,1.1588019432906549e-08,1.3905623319487859e-08
1817,3.7364962679475866e-08,1.401186100480345e-08
1818,1.6689648107970356e-08,9.536941902865692e-09
1819,3.519356894798875e-08,3.1053151161586356e-08
1820,5.22125169766241e-08,1.6613073583471305e-08
1821,6.508582428566001e-08,1.4792232216898071e-08
1822,4.6117833107928163e-08,9.023054303725075e-09
1823,3.261286707356703e-08,1.6800567381736187e-08
1824,4.463189640091514e-08,2.863178316658832e-08
1825,8.981551768982854e-08,2.0252519661312363e-08
1826,8.367585468960215e-08,1.3211976290783412e-08
1827,6.083400155842966e-08,1.8434546333878643e-08
1828,3.944089499441361e-08,1.834460228167245e-08
1829,7.458663342507776e-08,2.0575622650120806e-08
1830,5.0096810699784555e-08,1.7742620928018482e-08
1831,2.0268567268999504e-08,4.2096257146795324e-08
1832,6.629684889958298e-08,2.5706941575442954e-08
1833,5.560141858040879e-08,1.7375443306377747e-08
1834,5.787409307345115e-08,4.853956059314157e-08
1835,6.579886502322552e-08,3.403389570166837e-08
1836,4.838939871021353e-08,2.6210924986003192e-08
1837,4.6617870452791976e-08,1.7394727436226276e-08
1838,2.5248647617104325e-08,1.0730675015224733e-08
1839,8.249941041427178e-08,3.495737610492711e-08
1840,8.025807857192646e-08,3.1211473572323456e-08
1841,5.072233388858649e-08,2.760835826620678e-08
1842,4.695785449371215e-08,1.475818312002275e-08
1843,7.856191897026576e-08,1.2404513027863828e-08
1844,9.38544007511588e-08,3.0187088384536764e-08
1845,4.240973405789106e-08,3.627148004170522e-08
1846,7.727941508939296e-08,1.8734404916287417e-08
1847,4.584240098637338e-08,1.3483059113639229e-08
1848,5.229394162142853e-08,8.04522137798358e-09
1849,8.211826951765033e-08,2.5976186535103807e-08
1850,9.640374631914028e-08,1.765138968323754e-08
1851,4.6435957301582675e-08,1.1608989325395669e-08
1852,3.515694646516465e-08,1.3021091094245207e-08
1853,4.478948767427937e-08,1.911018188138769e-08
1854,5.299577665596189e-08,6.234797567117312e-09
1855,4.2986190607052777e-08,6.368324534378189e-09
1856,6.885661463229553e-08,9.836659486950339e-09
1857,4.246912821415094e-08,1.757343248698362e-08
1858,6.312841804856362e-08,1.5170396494568195e-08
1859,6.263373242276771e-08,2.6988518087023294e-08
1860,9.932489417052714e-08,6.865775947773045e-09
1861,5.2818794671338765e-08,2.4994607272788016e-08
1862,5.783022427596762e-08,2.2589931703009825e-08
1863,5.444136574883629e-08,2.946826249683454e-08
1864,5.801620872603053e-08,6.233146443435089e-09
1865,6.165966226490127e-08,3.106517354467542e-08
1866,6.957826315101556e-08,1.4596838404656864e-08
1867,4.998396008204509e-08,6.308654931785895e-09
1868,6.174842326345242e-08,1.185569808992426e-08
1869,3.613804011592947e-08,1.6603965091732675e-08
1870,4.9312818273250514e-08,6.307453670473251e-09
1871,5.8416475212652585e-08,4.248470908407853e-09
1872,4.777398032729252e-08,1.269941218851045e-08
1873,2.9331422624068182e-08,1.7359413462259e-08
1874,4.719941060216115e-08,2.9873046258899194e-09
1875,7.15190893174622e-08,6.293679799540541e-09
1876,4.292670396921494e-08,3.02300739996042e-09
1877,3.1542562672903784e-08,1.7317484779511005e-08
1878,6.582606459915041e-08,6.039088673581716e-10
1879,6.1704184872724e-08,6.109325489944695e-09
1880,3.465637132826771e-08,1.3477476912271413e-08
