year,fut_VERB assez_ADV
1800,2.8454687708290294e-06
1801,2.7907460662390804e-06
1802,2.5958945570891956e-06
1803,3.087387085543014e-06
1804,2.80555082099454e-06
1805,3.5479113194014644e-06
1806,3.8499101719935425e-06
1807,2.7416176635597367e-06
1808,2.982153318953351e-06
1809,3.0474320737994276e-06
1810,3.585074182410608e-06
1811,3.472301386864274e-06
1812,2.8912536436109804e-06
1813,3.4853987926908303e-06
1814,3.1183569717541104e-06
1815,2.6486734441277804e-06
1816,2.8552879030030454e-06
1817,3.443803961999947e-06
1818,3.5811217458103783e-06
1819,3.712921625265153e-06
1820,3.894579094776418e-06
1821,3.7020026866230182e-06
1822,3.661354867290356e-06
1823,4.066725523443893e-06
1824,4.284662281861529e-06
1825,4.105097559659043e-06
1826,4.280680514057167e-06
1827,3.559710876288591e-06
1828,3.2359878332499648e-06
1829,4.1614198380557355e-06
1830,3.0663422876386903e-06
1831,2.574108066255576e-06
1832,2.911649517045589e-06
1833,2.635275450302288e-06
1834,2.8675679004663834e-06
1835,3.104647703366936e-06
1836,3.051892690564273e-06
1837,2.8054216727468884e-06
1838,3.608663064369466e-06
1839,3.052477950404864e-06
1840,3.042163370992057e-06
1841,2.676726580830291e-06
1842,2.7611220048129326e-06
1843,2.5033489237102913e-06
1844,2.885336698454921e-06
1845,2.6165689632762223e-06
1846,2.5022138743224787e-06
1847,2.3190862066257978e-06
1848,2.2317444745567627e-06
1849,2.111612502631033e-06
1850,2.298753997820313e-06
1851,2.4230541839642683e-06
1852,2.2865035589347826e-06
1853,2.741713842624449e-06
1854,2.7802000204246724e-06
1855,2.634894372022245e-06
1856,2.905438577727182e-06
1857,3.035810550500173e-06
1858,2.951865326394909e-06
1859,2.470722620273591e-06
1860,2.882710532503552e-06
1861,2.2603614979743725e-06
1862,2.4126047719619237e-06
1863,2.279545014971518e-06
1864,2.2118078959465493e-06
1865,2.3327120288740844e-06
1866,2.294136493219412e-06
1867,2.190559143855353e-06
1868,2.2392448499886086e-06
1869,2.150701902792207e-06
1870,2.329744120288524e-06
1871,2.1507883047888754e-06
1872,1.877094064184348e-06
1873,2.054995320577291e-06
1874,2.0785664673894644e-06
1875,2.1129599190317094e-06
1876,2.0495990611379966e-06
1877,2.0917048004776007e-06
1878,2.4524738364561927e-06
1879,2.4473956727888435e-06
1880,2.1358591766329482e-06
1881,1.9125589005852817e-06
1882,2.168990022255457e-06
1883,1.8130183434550418e-06
1884,2.0029549432365457e-06
1885,1.9066189906880027e-06
1886,2.0941490674886154e-06
1887,1.8855533880923758e-06
1888,1.938326022354886e-06
1889,1.9077340311923763e-06
1890,1.7297026033702423e-06
1891,1.7713957731757546e-06
1892,1.7175724451590213e-06
1893,1.8536833295001998e-06
1894,1.923229774547508e-06
1895,1.9674851046147523e-06
1896,2.014425035667955e-06
1897,1.619243676032056e-06
1898,1.7110864973801654e-06
1899,1.6394797057728283e-06
1900,1.7644389345150557e-06
1901,1.7213316141351243e-06
1902,1.502055852142803e-06
1903,1.7291505400862661e-06
1904,1.658071823840146e-06
1905,1.8109103621100076e-06
1906,1.6862636584846769e-06
1907,1.668852632974449e-06
1908,1.83243923856935e-06
1909,1.879686124084401e-06
1910,1.8036508890872938e-06
1911,1.856810627032246e-06
1912,1.962388978427043e-06
1913,1.8576372440293198e-06
1914,1.8215142745248158e-06
1915,1.5326771745094447e-06
1916,1.537145976726606e-06
1917,1.4640177141700406e-06
1918,1.519647639725008e-06
1919,1.521136596238648e-06
1920,1.5833536508580437e-06
1921,1.6584316426815349e-06
1922,1.6039631418607314e-06
1923,1.7749865719451918e-06
1924,1.7261885432162671e-06
1925,1.8498935787647497e-06
1926,1.6685769423929742e-06
1927,1.5709257468188298e-06
1928,1.76532341811253e-06
1929,1.7624122392589925e-06
1930,1.8213248722531716e-06
1931,1.6298254195135087e-06
1932,1.6998241108012735e-06
1933,1.4923331264071749e-06
1934,1.5216606925605447e-06
1935,1.5044132624097983e-06
1936,1.453753270652669e-06
1937,1.4265737036112114e-06
1938,1.431359692105616e-06
1939,1.388699729432119e-06
1940,1.3084639931548736e-06
1941,1.2661946584557882e-06
1942,1.2925742112201988e-06
1943,1.3703270269616041e-06
1944,1.4395074003914488e-06
1945,1.5075247574714012e-06
1946,1.4561475154550862e-06
1947,1.5389844065794023e-06
1948,1.43291481435881e-06
1949,1.3056620673523867e-06
1950,1.404931254000985e-06
1951,1.4510168284687097e-06
1952,1.3550072708312655e-06
1953,1.3564248320108163e-06
1954,1.2489300615925458e-06
1955,1.1384742037989781e-06
1956,1.1459579809525167e-06
1957,1.2033320899718092e-06
1958,1.3318311857801746e-06
1959,1.1765635008487152e-06
1960,1.2637441386686987e-06
1961,1.1422773695812793e-06
1962,1.2360472965156077e-06
1963,1.1871674132635235e-06
1964,1.2021921520499745e-06
1965,1.319309603786678e-06
1966,1.227458938046766e-06
1967,1.3622517371914e-06
1968,1.4570152870874153e-06
1969,1.219461978507752e-06
1970,1.2154430351074552e-06
1971,1.089340230464586e-06
1972,1.164030322797771e-06
1973,1.103743443309213e-06
1974,8.759014917814056e-07
1975,1.021783759824757e-06
1976,8.827399256006174e-07
1977,8.603608421253739e-07
1978,9.66534230428806e-07
1979,9.714275392980198e-07
1980,8.87452017650503e-07
1981,8.027122362364025e-07
1982,7.72834027884528e-07
1983,8.336216978932498e-07
1984,7.962038921505155e-07
1985,7.296872013284883e-07
1986,7.732886047051579e-07
1987,7.369645231847244e-07
1988,7.111912623258831e-07
1989,7.579096745757852e-07
1990,7.927787351036386e-07
1991,6.846191240583721e-07
1992,7.548623557340761e-07
1993,7.993076565071533e-07
1994,6.836305033175449e-07
1995,6.989538974266907e-07
1996,7.179734211604227e-07
1997,6.310081062110839e-07
1998,6.665844693998224e-07
1999,7.079241868268582e-07
2000,6.445907843044552e-07
2001,7.386723268609785e-07
2002,6.729555934725795e-07
2003,6.308721367531689e-07
2004,6.845045845693676e-07
2005,6.904248266437207e-07
2006,7.033356155261572e-07
2007,6.495023399111233e-07
2008,6.799131142543047e-07
2009,7.986722607711272e-07
2010,7.567516604467528e-07
2011,7.953861427267839e-07
2012,9.804248293221463e-07
2013,1.063493414221739e-06
2014,1.1305788802928873e-06
2015,1.2457153388822917e-06
2016,1.4656802704848815e-06
2017,9.501463864580728e-07
2018,1.1456548918431508e-06
2019,1.1844235814351123e-06
