year,ont_VERB osé_VERB,ont_VERB posé_VERB
1800,1.6695513522790861e-06,3.20704771183955e-07
1801,1.4453778476308798e-06,2.0001934331048687e-07
1802,9.622713150747586e-07,4.833734692510916e-07
1803,1.1819055316664162e-06,2.8865019885415677e-07
1804,1.2359254242255702e-06,2.867347177470947e-07
1805,1.199694338538393e-06,2.103729457303416e-07
1806,1.0402825409983052e-06,1.671368039524168e-07
1807,1.0989247130055446e-06,3.672572006507835e-07
1808,7.817955065547721e-07,2.1980918063491117e-07
1809,9.352386314276373e-07,1.9427662323323602e-07
1810,8.307450229949609e-07,2.92515835553786e-07
1811,6.443187317017873e-07,1.4541045345595194e-07
1812,1.117560259444872e-06,1.3869482984318893e-07
1813,1.0180125400438556e-06,1.552900528167811e-07
1814,1.919473106681835e-06,3.429878177030332e-07
1815,1.8961482055601664e-06,2.4275013288388436e-07
1816,1.0475569069967605e-06,2.897004947044479e-07
1817,1.282863649976207e-06,3.3161404644488357e-07
1818,1.4686891063320218e-06,2.3007872584912548e-07
1819,1.3580577160610119e-06,2.2151246525936585e-07
1820,1.6150280544025009e-06,2.681824753381079e-07
1821,1.6093948715933948e-06,2.1793889004584344e-07
1822,1.35847096771613e-06,3.348555708271306e-07
1823,1.3153855888958788e-06,2.480554428530013e-07
1824,1.14358715563867e-06,1.6336959163254505e-07
1825,1.1262161478953203e-06,2.0780845488843624e-07
1826,1.1406340263420134e-06,3.04756269997597e-07
1827,1.0904034297709586e-06,2.239797396441645e-07
1828,1.1291102737231995e-06,1.981217110369471e-07
1829,1.114512883759744e-06,2.3919162117636006e-07
1830,1.2315466619838844e-06,1.9516882332482055e-07
1831,1.1412762432883028e-06,2.9311468097148463e-07
1832,1.07292657958169e-06,3.071303069646092e-07
1833,8.35179605473968e-07,2.7800709290204395e-07
1834,1.1434800626375363e-06,3.6684707538370276e-07
1835,9.453859775021556e-07,2.533634528845141e-07
1836,9.294797109760111e-07,2.822715146066912e-07
1837,8.864353162607586e-07,3.263250789586891e-07
1838,8.464609209113405e-07,2.8089121428820363e-07
1839,7.641682486791979e-07,3.2090869694911817e-07
1840,1.2873140349256573e-06,3.3886743722177926e-07
1841,8.359554044545803e-07,3.428573052133288e-07
1842,1.047160139933112e-06,3.320591304145637e-07
1843,9.911797178574488e-07,3.00071093306542e-07
1844,8.2053992400688e-07,3.68831308605877e-07
1845,7.354740318987751e-07,2.5892256871884456e-07
1846,8.688080015417654e-07,4.0161879155675706e-07
1847,9.821060302783735e-07,3.5433478728919e-07
1848,8.712975159141934e-07,4.0708820847612515e-07
1849,8.446450010524131e-07,3.6618044418901263e-07
1850,9.076887863557204e-07,4.3178013697797724e-07
1851,8.442315220236196e-07,3.50849461483449e-07
1852,7.415511049657653e-07,3.444078515713045e-07
1853,6.521349291688239e-07,3.45177653571227e-07
1854,7.512931006203871e-07,3.8967482396401465e-07
1855,7.594226758556033e-07,3.5927965313931054e-07
1856,7.460329811692645e-07,3.7120446449989686e-07
1857,6.682785738121311e-07,3.5000419984498876e-07
1858,6.944126198504819e-07,3.7094065419296385e-07
1859,8.498837473780441e-07,4.022816995075118e-07
1860,9.003320542433357e-07,3.2864181775948964e-07
1861,9.097093993659655e-07,3.947261575376615e-07
1862,8.493814220855711e-07,3.198734361831157e-07
1863,8.405946800849051e-07,4.445212482551142e-07
1864,6.765361035832029e-07,3.759066657949006e-07
1865,7.055559763102792e-07,3.770182388507237e-07
1866,6.247447004170681e-07,3.347541621678829e-07
1867,6.968637080717599e-07,4.01812798145329e-07
1868,5.868570269740303e-07,4.52986455456994e-07
1869,7.085986339916417e-07,4.2047099668707233e-07
1870,6.920996611370356e-07,4.805132789442723e-07
1871,7.031219411146594e-07,3.3775344832065457e-07
1872,6.488795065706654e-07,3.8340130004144157e-07
1873,6.219458441591996e-07,3.076806365243101e-07
1874,5.962659770375467e-07,2.688574056719517e-07
1875,6.574034614459379e-07,3.2097767643790576e-07
1876,6.070198992347287e-07,3.385768252428534e-07
1877,6.8218520254959e-07,2.8821241926380026e-07
1878,5.827720315210172e-07,2.723629108913883e-07
1879,7.294534611901327e-07,3.5800647424366616e-07
1880,5.551436856876535e-07,3.0035519671400834e-07
1881,5.320023319654865e-07,3.24918858041201e-07
1882,4.472418879686302e-07,3.587252592751611e-07
1883,4.524646612935612e-07,2.748912493188982e-07
1884,5.235145863480284e-07,3.135806139198394e-07
1885,5.04693275615864e-07,3.6353384302856284e-07
1886,4.375448554583272e-07,3.2977200703498966e-07
1887,4.4853712211079255e-07,3.0228920877561904e-07
1888,4.254552550264634e-07,4.6159675548551604e-07
1889,5.306570756147266e-07,3.9219756331476674e-07
1890,3.7687721032853005e-07,3.565586155218625e-07
1891,4.206985124710627e-07,2.9448895588757296e-07
1892,4.3252734371890256e-07,2.914858328040282e-07
1893,4.6126538677526696e-07,3.8182182038326573e-07
1894,4.3165545093870605e-07,3.0751510848858743e-07
1895,5.133878175911377e-07,3.4366289014542417e-07
1896,4.770696477862657e-07,3.272851074598293e-07
1897,3.979645271101617e-07,3.8805913504802447e-07
1898,4.2041577330564905e-07,3.315795993330539e-07
1899,4.283873238364322e-07,2.7306236916047055e-07
1900,4.038639360715024e-07,3.2911276548475143e-07
1901,3.543260334026854e-07,3.593559085857123e-07
