year,tant_ADV eu_VERB,tant_ADV pu_VERB
1800,5.973912209356058e-08,0.0
1801,9.762848662830947e-08,2.3811825844433088e-09
1802,3.3567602031325805e-08,2.2378401354217203e-09
1803,7.606323038089613e-08,1.950339223455444e-09
1804,9.145848167690929e-08,0.0
1805,1.0802935435094696e-07,0.0
1806,9.797675204481493e-08,2.5935023018064385e-08
1807,1.537355700520493e-07,2.8469551160981155e-09
1808,7.024829073998262e-08,0.0
1809,6.777091243748146e-08,2.259030518203531e-09
1810,9.828532654410083e-08,7.020380277111826e-09
1811,6.016983888912364e-08,0.0
1812,4.000812481308458e-08,0.0
1813,1.7254450312975678e-07,0.0
1814,3.1466772298927026e-08,0.0
1815,5.1247248222807684e-08,0.0
1816,8.343373991692715e-08,0.0
1817,8.874178547557676e-08,9.341240669868967e-09
1818,6.914282835168706e-08,0.0
1819,8.384350280721264e-08,0.0
1820,1.2459804565878585e-07,5.933240565525466e-09
1821,1.0255947557880063e-07,9.86148829262845e-10
1822,8.321261191213125e-08,4.010246357211145e-09
1823,8.499110748516614e-08,2.9648061783404955e-09
1824,1.3894836570216285e-07,8.421112696055388e-10
1825,1.0478477463493618e-07,5.283265824829186e-09
1826,9.336463335785083e-08,2.642395191543301e-09
1827,7.92685455053288e-08,2.7651818612639545e-09
1828,1.0181254594954225e-07,0.0
1829,1.2602568233432976e-07,8.57317605795771e-10
1830,4.174734158368665e-08,4.174734336004349e-09
1831,5.3010101197514814e-08,3.1182412207897414e-09
1832,1.1500473817704915e-07,2.705993873419743e-09
1833,5.3284690437749305e-08,0.0
1834,8.214387037241977e-08,9.334530925997342e-10
1835,6.277362984974388e-08,3.025235173481633e-09
1836,1.2702217588866915e-07,6.720750067579218e-10
1837,8.071153700939249e-08,2.7831563720326358e-09
1838,9.531364497661343e-08,1.8936485712828244e-09
1839,9.29866175169991e-08,4.894032512581248e-09
1840,5.286841542329057e-08,4.458782232319436e-09
1841,5.072233477676491e-08,1.926164561183441e-09
1842,6.641182181965632e-08,0.0
1843,5.316219997553162e-08,9.451057714215949e-09
1844,6.586273570974299e-08,6.037417232818143e-09
1845,6.138250796539069e-08,3.348136878855712e-09
1846,1.0245377524142896e-07,6.439951683034906e-09
1847,6.094342808182773e-08,2.6966118227278457e-09
1848,5.229394162142853e-08,1.6090443422100975e-09
1849,6.619738002200393e-08,6.703531951757213e-09
1850,8.825694663983086e-08,3.394498016007219e-09
1851,5.482023013314574e-08,3.8696632564949596e-09
1852,6.901178295493082e-08,1.2370036550635177e-08
1853,6.449686651421871e-08,2.388772735173461e-09
1854,7.741540031247496e-08,9.352196350675968e-09
1855,7.323573214534917e-08,1.751289246954002e-08
1856,9.111852961041222e-08,8.28350277259915e-09
1857,1.2301403273795586e-07,5.857811125054013e-09
1858,8.514996352460003e-08,2.4468380654951716e-09
1859,6.110607841947058e-08,5.601390462572908e-09
1860,7.598125506547149e-08,4.577183909670879e-10
1861,8.630213699234446e-08,4.715963730639317e-10
1862,5.963742211179124e-08,4.517986429419807e-09
1863,5.6439215967429845e-08,4.9946209945694875e-09
1864,6.472883029573495e-08,1.9178911792039344e-09
1865,6.777855787731824e-08,9.41368871743009e-10
1866,8.174230003987759e-08,4.865612912574591e-10
1867,5.046923945428716e-08,1.94112459439566e-09
1868,6.026646559575966e-08,5.9278488784286765e-09
1869,5.567211758261692e-08,9.767038289254515e-10
1870,4.4152177025580386e-08,1.7202146374017957e-09
1871,5.2043770182308435e-08,2.1242354542039266e-09
1872,3.930770375859538e-08,4.8378714367913744e-09
1873,5.6268440573603584e-08,0.0
1874,4.600449088343339e-08,1.1949218281515073e-09
1875,4.63443683429432e-08,2.2886108563824337e-09
1876,4.836811839936672e-08,3.02300739996042e-09
1877,4.7004601100297805e-08,4.329371083855449e-09
1878,3.0799352401800206e-08,2.4156354694326865e-09
1879,6.659164597522249e-08,1.221865053580018e-09
1880,5.455169471701993e-08,1.2835692508872398e-09
1881,4.741305303923582e-08,1.3945015142624584e-09
1882,4.9249848643739824e-08,1.3310770263785798e-09
1883,4.3603439081607576e-08,3.791603475633565e-09
1884,4.8192386969958534e-08,8.582206056928499e-09
1885,5.0920522909336796e-08,2.5782542767416317e-09
1886,5.549978965291302e-08,1.2906927748801422e-09
1887,4.6355363991779086e-08,1.9586774424595887e-09
1888,5.389522428345117e-08,0.0
1889,4.322944491264025e-08,2.506054641582267e-09
1890,4.3258950199742685e-08,0.0
1891,4.52569608455633e-08,1.211101796627645e-08
1892,5.2655504845233736e-08,3.1342561879199593e-09
1893,4.187723234849727e-08,1.2316833108982905e-09
1894,5.608369946230596e-08,1.2603078580752936e-09
1895,4.634333095054899e-08,1.8055843487019274e-09
1896,4.776593343081004e-08,3.5382172747233653e-09
1897,4.836172351474488e-08,1.7480140668268973e-09
1898,4.866185321361627e-08,2.26334195829736e-09
1899,4.753717419703207e-08,1.6582735185011188e-09
1900,3.114631752509922e-08,3.114631885736685e-09
1901,4.191554126009578e-08,4.470991132876634e-09
1902,3.780918689244572e-08,9.820567692386817e-10
1903,4.050165358648883e-08,2.7001101354784396e-09
1904,2.6335662539622717e-08,1.6123875568041512e-09
1905,3.612531429553201e-08,1.0321518084666081e-09
1906,5.452835694086389e-08,2.0576738091193647e-09
1907,4.6285588695127444e-08,5.142843373384665e-10
1908,4.174680867663483e-08,2.9468334439286537e-09
1909,5.721022944271681e-08,4.400786846048277e-09
1910,3.954671612405036e-08,2.67207544979442e-09
1911,3.8838731342139e-08,1.5961122423746588e-09
1912,3.334029585744247e-08,6.251305251225858e-09
1913,3.8711824856818566e-08,3.181793939432964e-09
1914,2.678697441638178e-08,1.3393487430235496e-09
1915,4.7123048574349014e-08,1.1780761921542648e-09
1916,3.625862632361532e-08,3.2962386153911893e-09
1917,4.8252267959014716e-08,1.0966424435210342e-09
1918,5.743188324913717e-08,1.1486376294556067e-09
1919,2.8544329566670967e-08,2.762354567309444e-09
1920,3.180337415642498e-08,7.572231730534895e-10
1921,3.4077363153528495e-08,1.1359120866138994e-08
1922,3.39385017866789e-08,1.1066903560230656e-08
1923,6.051090650771584e-08,0.0
1924,5.9301473953610184e-08,1.289162443462999e-09
1925,6.818870446068104e-08,2.1996355847875293e-09
1926,4.904300965336006e-08,1.1146138456652466e-09
1927,5.351628118432927e-08,2.2298449753321847e-09
1928,4.6846768242403414e-08,1.1426041224282812e-09
1929,5.124586976990031e-08,2.2280812750352652e-09
1930,3.571225093423891e-08,6.302162347537887e-09
1931,3.079446386777818e-08,2.2810713318222042e-09
1932,4.822195975862087e-08,2.1919073223131136e-09
1933,3.326492148403304e-08,4.588264879146209e-09
1934,2.6359476379411717e-08,1.1981580172459871e-09
1935,3.590485420090772e-08,3.590485242455088e-09
1936,3.15242587589637e-08,0.0
1937,2.7700460591972842e-08,0.0
1938,4.019216603978748e-08,1.2965214457594243e-09
1939,3.058810094103137e-08,4.588215141154706e-09
1940,3.550096039361961e-08,2.5357829169792012e-09
1941,6.788455664263893e-08,0.0
1942,7.58552971547033e-08,0.0
1943,4.645176332473966e-08,0.0
1944,4.4984606262232774e-08,0.0
1945,6.099811145077183e-08,0.0
1946,3.201854070766785e-08,2.7842208538686464e-09
1947,3.5762614203349585e-08,1.1920870957027319e-09
1948,3.370285384107774e-08,0.0
1949,2.1597418964347526e-08,5.890204768377316e-09
1950,3.403315673722318e-08,2.1270722960764488e-09
1951,3.5182626589858046e-08,0.0
1952,2.6362009464264702e-08,2.1089607837865287e-09
1953,4.417269394707546e-08,0.0
1954,3.518113089739927e-08,0.0
1955,2.1586897602787758e-08,2.815682353940474e-09
1956,2.9651880950609666e-08,2.616342476002842e-09
1957,2.47381048978923e-08,0.0
1958,2.4816730004317833e-08,0.0
1959,2.5577467255288866e-08,3.100299128533379e-09
1960,3.391208380776334e-08,0.0
