year,tout_DET acte_NOUN,tout_DET pacte_NOUN
1800,1.197926650320369e-06,1.8236153920270226e-07
1801,9.215176817178872e-07,3.5717738544605027e-08
1802,1.6403368761075399e-06,7.608656460433849e-08
1803,1.3710884445572447e-06,1.0531831762250476e-07
1804,1.7649015831011639e-06,2.397695482159179e-07
1805,1.5209395769488765e-06,1.506725197941705e-07
1806,1.5099946040209034e-06,1.0374009207225754e-07
1807,2.8498021720224642e-06,2.5337901377042726e-07
1808,2.288734776811907e-06,2.1527703353285688e-07
1809,1.8546640490058053e-06,8.132509954350553e-08
1810,2.209079639214906e-06,2.0593115124256656e-07
1811,1.8677721982385265e-06,1.8050953087822563e-07
1812,1.7336853375127248e-06,1.4136203319026208e-07
1813,1.573030687040955e-06,1.1215392459185125e-07
1814,1.71179232211216e-06,2.9264097989312177e-07
1815,1.63451751689081e-06,1.6992508733437717e-07
1816,1.5087601354935032e-06,9.733936146005817e-08
1817,1.5895678018296167e-06,2.0239354192597148e-07
1818,1.1325118407512491e-06,7.391130152356595e-08
1819,1.9076985040555883e-06,1.5837106204230622e-07
1820,1.7692923108825198e-06,1.2697134721406655e-07
1821,2.1271230679076325e-06,8.77672450272371e-08
1822,1.4968244812507692e-06,9.724847416237026e-08
1823,1.6128544757521013e-06,1.1266262944786831e-07
1824,1.5099055161726938e-06,1.2294824536240867e-07
1825,1.5629661618277169e-06,1.435287160234111e-07
1826,1.784497669632401e-06,1.0393421590038088e-07
1827,2.368839204791584e-06,1.963279174788113e-07
1828,2.3077510888924735e-06,1.779426384018734e-07
1829,2.186159974826296e-06,1.7660742734904034e-07
1830,2.1197213584400743e-06,1.972561989305177e-07
1831,1.786752164889549e-06,1.6058942264862708e-07
1832,1.9469625840429217e-06,1.352996916725857e-07
1833,2.08157803172071e-06,2.583149125712225e-07
1834,2.1497424995686742e-06,1.8762407094641276e-07
1835,1.9611086656823318e-06,1.8151411040889798e-07
1836,1.8582873337891215e-06,1.276942498407152e-07
1837,1.6316254800585739e-06,1.0297678620929673e-07
1838,1.6967090630259918e-06,1.5022945909493046e-07
1839,1.877910250414061e-06,1.2934228976746454e-07
