year,peut_VERB unir_VERB,peut_VERB punir_VERB
1800,6.288328791015374e-08,1.1004575384276905e-07
1801,8.334139067756041e-08,8.572257570449437e-08
1802,5.818384352096473e-08,1.208433673127729e-07
1803,6.436119548425268e-08,6.631153581793114e-08
1804,1.3842365831351344e-07,1.2112069214254007e-07
1805,1.506725197941705e-07,8.52863308864471e-08
1806,1.4696512096179504e-07,1.7866348400730203e-07
1807,5.97860605466849e-08,7.971474502710407e-08
1808,4.078933102391602e-08,1.1783584596969376e-07
1809,4.969867006821005e-08,6.777091243748146e-08
1810,1.0062544930633521e-07,9.828532654410083e-08
1811,1.9555199060050654e-07,9.777599530025327e-08
1812,1.4669645054254943e-07,3.467370746079723e-08
1813,8.339650747757332e-08,4.888760685162197e-08
1814,1.7621391634747852e-07,1.4474714760126517e-07
1815,5.3944472000466703e-08,1.591361922237411e-07
1816,5.3304887615013286e-08,1.5064425440414198e-07
1817,1.0742426326260102e-07,2.0395042099607963e-07
1818,7.510341504257667e-08,8.583247534943439e-08
1819,5.175525075173937e-08,1.3042323132594902e-07
1820,6.763894333516873e-08,2.183432457059098e-07
1821,6.311352507282209e-08,1.1735171057125626e-07
1822,9.42407893944619e-08,1.0727409005539812e-07
1823,7.313188632451784e-08,1.4132241688002978e-07
1824,1.1200079796935825e-07,7.915846111927749e-08
1825,8.453225319726698e-08,3.610231757988913e-08
1826,9.336463335785083e-08,1.418085417981274e-07
1827,4.055600300034712e-08,1.0507691428074395e-07
1828,5.228211819030548e-08,8.988855171310206e-08
1829,9.687688873327716e-08,7.630126930280312e-08
1830,8.34946831673733e-08,1.4611569554290327e-07
1831,3.897801548191637e-08,1.3096612860863388e-07
1832,2.705993829010822e-08,7.982681893281551e-08
1833,4.9809603552830595e-08,6.834341093053808e-08
1834,6.440826183506942e-08,9.894602470694736e-08
1835,5.672315950278062e-08,1.2025310525132227e-07
1836,4.771732520225669e-08,9.207427353885578e-08
1837,3.6876823372722356e-08,9.601889416899212e-08
1838,5.112851297894849e-08,9.215756335834158e-08
1839,4.264799713382672e-08,6.641901251214222e-08
1840,5.414235459966221e-08,1.3949617994057917e-07
1841,7.062603657459476e-08,5.8426991245141835e-08
1842,5.366612043644636e-08,1.0464893307471357e-07
1843,6.852016554148577e-08,8.978504695278389e-08
1844,5.762989374602512e-08,9.989181393166291e-08
1845,5.412821124650691e-08,9.374782905524626e-08
1846,6.791221807134207e-08,9.250111787650894e-08
1847,2.426950729272903e-08,1.0462854049819725e-07
1848,4.746680914990975e-08,7.079795238951192e-08
1849,1.4245005175439474e-08,8.965974274133259e-08
1850,3.8018377779280854e-08,9.165144376765966e-08
1851,3.676180071465751e-08,8.126292527776968e-08
1852,5.989701890030119e-08,8.528814277042329e-08
1853,4.299791100947914e-08,9.137055911878633e-08
1854,6.130883889454708e-08,9.975676107387699e-08
1855,5.5722839675809155e-08,8.438030363322468e-08
1856,5.2807330064297275e-08,1.0457922172690814e-07
1857,4.149282872845106e-08,5.564920257938866e-08
1858,3.670256987220455e-08,9.151174396038186e-08
1859,6.467060131853941e-08,8.809460183556439e-08
1860,5.813023662426531e-08,9.29168351149201e-08
1861,3.159695793897299e-08,6.932466334319543e-08
1862,4.382446761042047e-08,7.590217165898139e-08
1863,4.545104914654985e-08,9.839403247724476e-08
1864,6.472883029573495e-08,9.781245324802512e-08
1865,3.435996376310868e-08,9.178346260796388e-08
1866,4.184427027098536e-08,8.174230003987759e-08
1867,5.629261323747414e-08,5.338092634588065e-08
1868,3.507310708528166e-08,9.237564313480107e-08
1869,4.737013625799591e-08,7.66712489053134e-08
1870,4.4152177025580386e-08,6.135432073506308e-08
