year,auraient_VERB été_VERB,auraient_VERB eté_VERB,auraient_VERB pété_VERB
1800,4.3200820982747246e-06,6.288328968651058e-09,0.0
1801,3.9384758565574884e-06,4.7623651688866175e-09,0.0
1802,3.7864256228203885e-06,0.0,0.0
1803,4.509184236667352e-06,1.950339223455444e-09,0.0
1804,6.790174666093662e-06,7.4155526164076946e-09,0.0
1805,5.156980023457436e-06,1.421438877713399e-08,0.0
1806,6.230168764886912e-06,5.76333825108577e-09,0.0
1807,1.0251885214529466e-05,1.7081731584767113e-08,0.0
1808,6.456044957303675e-06,3.172503681980743e-08,0.0
1809,6.8832659962936305e-06,5.1957702140725814e-08,0.0
1810,8.066416739893612e-06,2.3401267590372754e-09,0.0
1811,8.52656830829801e-06,7.521229861140455e-09,0.0
1812,8.500393050780986e-06,2.6672082320544632e-09,0.0
1813,6.706229669362074e-06,2.300593315851529e-08,0.0
1814,6.77164916851325e-06,3.1466771410748606e-09,0.0
1815,7.2636230470379815e-06,8.091670444798638e-09,0.0
1816,6.6468878685554955e-06,2.3176038865813098e-09,0.0
1817,7.949395694595296e-06,7.784366928831332e-09,0.0
1818,8.442577382083982e-06,8.344824387052086e-09,0.0
1819,7.53659969632281e-06,5.175524897538253e-09,0.0
1820,7.926809303171467e-06,1.898636980968149e-08,0.0
1821,7.746199116809294e-06,5.9168927535324656e-09,0.0
1822,7.949311111588031e-06,7.017931125119503e-09,0.0
1823,7.962480594869703e-06,4.941343334508019e-09,0.0
1824,7.938582712085918e-06,4.210556348027694e-09,0.0
1825,8.01119222160196e-06,2.4655239627691117e-08,0.0
1826,8.49794287205441e-06,3.435113882233054e-08,0.0
1827,1.1160273970745038e-05,2.488663675137559e-08,0.0
1828,1.051787785399938e-05,5.319934714975716e-08,0.0
1829,1.0689035661926027e-05,1.5431716349212365e-08,0.0
1830,1.0239579751214478e-05,1.0436835395921662e-08,0.0
1831,1.123814126913203e-05,1.7150327380477393e-08,0.0
1832,1.0202949852100573e-05,2.705993873419743e-09,0.0
1833,1.1657763934636023e-05,8.108539617524002e-09,0.0
1834,1.1430132872192189e-05,8.401078055442213e-09,0.0
1835,1.0273698535456788e-05,9.832014313815307e-09,0.0
1836,1.0127498171641491e-05,5.376600054063374e-09,0.0
1837,9.242862688552123e-06,2.0873671680021744e-09,0.0
1838,9.733354090712965e-06,6.312161904276081e-09,0.0
1839,1.0066325558000244e-05,9.088918062616358e-09,0.0
1840,9.901680641632993e-06,8.917564464638872e-09,0.0
1841,1.0502090844966006e-05,6.420548537278137e-09,0.0
1842,9.496219718130305e-06,4.695785538189057e-09,0.0
1843,9.753491212904919e-06,5.31621990873532e-09,0.0
1844,9.792691344046034e-06,6.586273748609983e-09,0.0
1845,1.009853895084234e-05,1.1160455670733427e-08,0.0
1846,1.0369492883910425e-05,8.781752214304106e-09,0.0
1847,1.1499431820993777e-05,1.0247124926365814e-08,0.0
1848,1.2338956366875209e-05,1.930853166243196e-08,0.0
1849,1.2670513569901232e-05,2.011059585527164e-08,0.0
1850,1.0512081644264981e-05,1.2899092460827433e-08,0.0
1851,1.1263299711572472e-05,1.7413483988093503e-08,0.0
1852,1.0530807230679784e-05,1.3021090872200602e-08,0.0
1853,9.079128176381346e-06,7.763511611358354e-09,5.971931837933653e-10
1854,9.364145626022946e-06,1.558699302961486e-08,0.0
1855,8.909286407288164e-06,7.960405667972736e-09,0.0
1856,9.188993317366112e-06,1.8120163147727908e-08,0.0
1857,9.390559171151835e-06,4.881508974818871e-09,0.0
1858,8.71906286192825e-06,5.872411001917044e-09,0.0
1859,9.018239325087052e-06,9.675129142294736e-09,0.0
1860,8.66827122081304e-06,1.0527522853465143e-08,0.0
1861,9.459751709073316e-06,4.2443675241088386e-09,0.0
1862,9.219403182214592e-06,6.776979422085105e-09,0.0
1863,8.973835065262392e-06,4.495158911765884e-09,0.0
1864,8.846752280078363e-06,4.794728170054441e-09,0.0
1865,8.966067980509251e-06,8.943004559114343e-09,0.0
1866,9.313755981565919e-06,7.784980660119345e-09,0.0
1867,8.723899554752279e-06,2.91168689159349e-09,0.0
1868,8.535608685633633e-06,2.9639244392143382e-09,0.0
1869,8.807915037323255e-06,7.813630631403612e-09,0.0
1870,9.386064448335674e-06,1.7202146374017957e-09,0.0
1871,1.0568071047600824e-05,4.248470908407853e-09,0.0
1872,9.87893326964695e-06,7.861540751719076e-09,0.0
1873,9.176545063382946e-06,8.380406590902112e-09,0.0
1874,8.7193448052858e-06,7.766991494406739e-09,0.0
1875,9.181334462482482e-06,5.721527251978387e-09,0.0
1876,9.006143955048174e-06,2.418405919968336e-09,0.0
1877,8.40825759951258e-06,3.0924081073635534e-09,0.0
1878,9.36058768274961e-06,1.8117265465633636e-09,0.0
1879,9.202476576319896e-06,1.221865053580018e-09,0.0
1880,9.300742931372952e-06,6.417846254436199e-09,0.0
1881,9.293655239162035e-06,4.183504653809678e-09,0.0
1882,8.737854841456283e-06,3.3276925659464496e-09,0.0
1883,9.035390576173086e-06,6.319338829996468e-09,0.0
1884,8.714900104678236e-06,5.281357573494461e-09,0.0
1885,9.428031262359582e-06,8.379326565943757e-09,0.0
1886,8.622472705610562e-06,1.2906927748801422e-09,0.0
1887,9.529618182568811e-06,6.528924512139156e-09,0.0
1888,9.310558198194485e-06,5.07249175996094e-09,0.0
1889,8.788733794062864e-06,6.265136853755848e-09,0.0
1890,9.295430572819896e-06,9.831579994568074e-09,0.0
1891,9.270665941585321e-06,1.2748440081367107e-09,0.0
1892,8.921347216528375e-06,3.1342561879199593e-09,0.0
1893,9.517832950223237e-06,4.926733243593162e-09,0.0
1894,8.906595212465618e-06,5.041231432301174e-09,0.0
1895,9.061625860340428e-06,7.824199066419624e-09,0.0
1896,9.004173989524134e-06,4.717623180994224e-09,0.0
1897,8.909045391192194e-06,5.826713334045053e-09,0.0
1898,9.01772000361234e-06,2.8291773368493978e-09,0.0
1899,8.87121041159844e-06,6.080336234504102e-09,0.0
1900,8.180581062333658e-06,5.19105292084987e-09,0.0
1901,8.767613508098293e-06,3.912117296778206e-09,0.0
1902,8.107369467325043e-06,4.419255628107521e-09,0.0
1903,8.783998055150732e-06,8.100330184390714e-09,0.0
1904,8.723016435396858e-06,6.449550227216605e-09,0.0
1905,8.874957529769745e-06,6.192911072844254e-09,0.0
