year,tout_DET or_NOUN,tout_DET port_NOUN
1800,9.432493452976587e-09,5.659496205012715e-08
1801,4.286128785224719e-08,8.334139245391725e-08
1802,2.4616241489638924e-08,6.042168365638645e-08
1803,4.290746380419819e-08,3.705644502360883e-08
1804,1.9774807569206132e-08,2.7190360185613827e-08
1805,2.842877755426798e-08,7.675769619908124e-08
1806,4.3225035994964855e-08,1.0950342854698647e-07
1807,1.9928686256776018e-08,8.256170014320219e-08
1808,2.4926814390369145e-08,7.704651494577774e-08
1809,8.35841271751292e-08,2.2590305404079913e-08
1810,1.8721014516387413e-08,8.424456510169875e-08
1811,4.512738271955641e-08,1.7549536490690798e-08
1812,1.8670456736202823e-08,2.6672082320544632e-08
1813,5.7514832008109806e-08,4.601186631703058e-08
1814,2.2026739543434815e-08,2.4229413098098007e-07
1815,2.6972236000233352e-08,1.1867783467067738e-07
1816,3.476405829871965e-08,2.3176038865813098e-08
1817,3.89218364205135e-08,3.5808089049460534e-08
1818,3.21871784780825e-08,8.940883233776731e-08
1819,3.415846616672269e-08,2.4842520152112968e-08
1820,2.0173017922786585e-08,5.6959109429044474e-08
1821,1.6764530097468366e-08,4.536284592404627e-08
1822,2.4061478143266868e-08,4.411270992932259e-08
1823,6.819054299000982e-08,4.5460361697280405e-08
1824,1.7684337549894735e-08,4.54740085586991e-08
1825,7.132408930132783e-08,5.1071568973881654e-08
1826,2.6423953580767545e-08,3.875512943896098e-08
1827,1.4747637222534138e-08,4.516463913972757e-08
1828,2.5682442839070063e-08,3.393751352165353e-08
1829,9.430493719264632e-09,3.429270423183084e-08
1830,2.5048406016026092e-08,2.7135773628117477e-08
1831,7.951515157422762e-08,4.2096256258616904e-08
1832,1.0823975493678972e-08,2.4353945082822293e-08
1833,4.865124036967927e-08,3.3592523096537263e-08
1834,4.013848342587778e-08,3.9205029445099626e-08
1835,2.7227116561334697e-08,4.764745398233572e-08
1836,2.0834324654384062e-08,3.6964124372484974e-08
1837,4.3834712526447106e-08,1.6003149472254563e-08
1838,4.418513199766494e-08,4.1660268124132926e-08
1839,1.1466019300687691e-07,5.5931801523634306e-08
1840,3.7581163736533085e-08,2.6115722917552375e-08
1841,3.467096254539115e-08,8.98876786337155e-08
1842,5.2324466537356784e-08,6.305768973646764e-08
1843,3.3078700778510495e-08,1.0041748477185308e-07
1844,2.1405388628270572e-08,9.824524793700107e-08
1845,3.459741143574391e-08,2.2934737131663496e-07
1846,2.868705673009231e-08,1.9436943987649613e-07
1847,3.289866423727972e-08,1.5154957999641283e-07
1848,1.850401076808339e-08,1.118285806178676e-07
1849,1.5920888163378777e-08,6.284561182567927e-08
1850,2.5798185809833285e-08,1.6972489547129044e-07
1851,2.257303544084266e-08,2.2895506956999157e-07
1852,3.711010876372711e-08,1.8424844228093207e-07
1853,3.1054045557254994e-08,1.6363093591209577e-07
1854,3.1693553004252806e-08,1.1066765193135097e-07
1855,2.812676669350367e-08,9.552486801567284e-08
1856,2.174419438949471e-08,1.123450057427533e-07
1857,2.4407545762272775e-08,1.1813251798997726e-07
1858,8.808616835942473e-09,6.068158153738068e-08
1859,1.9859475397510096e-08,8.86038185043958e-08
1860,3.249800462068464e-08,4.0279218849192944e-08
1861,4.527325092595902e-08,1.589279741698313e-07
1862,3.433669720775967e-08,7.545037128409149e-08
1863,5.494082988555249e-08,8.740586193711763e-08
1864,1.726102105692462e-08,1.1171715819102701e-07
1865,4.0008176604988677e-08,3.224188347417112e-07
1866,4.4763639239775443e-08,1.1288222090399813e-07
1867,2.7661025470138156e-08,7.764498555218324e-08
1868,2.2723420589620957e-08,8.842374754625126e-08
1869,3.5161337064160136e-08,3.662639347368213e-08
1870,2.5803219116937726e-08,2.8670243956696595e-08
1871,4.991953339583688e-08,3.611200316555596e-08
1872,2.9027229508926666e-08,1.0038583364568865e-07
1873,2.7535620672480832e-08,1.1074108030584284e-07
1874,3.405527093658378e-08,1.0814042816775782e-07
1875,2.059749715233039e-08,3.3184858139190254e-08
1876,1.8138044177717916e-08,4.897271876913578e-08
1877,4.329371305900054e-08,7.483627406656979e-08
1878,2.596808079680102e-08,6.642997701922226e-08
1879,5.437299632760073e-08,3.1157559199357365e-08
1880,1.8611755026043397e-08,3.16399809463519e-07
1881,2.8587281097891548e-08,4.8807551777940716e-08
1882,5.257754431831074e-08,7.720246619769e-08
1883,2.0853819060473455e-08,6.824886256140417e-08
1884,2.77271263726675e-08,5.743476272357384e-08
1885,2.7716233141905633e-08,6.445635764018576e-08
1886,6.51799884066051e-08,8.970314968603788e-08
1887,2.415702088365279e-08,1.0576858144872858e-07
1888,2.4728396885720372e-08,6.530833185358631e-08
1889,2.8193114509633688e-08,6.390439510894907e-08
1890,3.9981758626073116e-08,8.520702765579813e-08
1891,1.8485237118781583e-08,1.1154884926867226e-07
1892,3.949162885596991e-08,1.0092305235964716e-07
1893,2.2786141251618375e-08,6.158416399060229e-08
1894,3.465846609707057e-08,5.3563083968199976e-08
1895,3.4306102847381226e-08,5.777869915846168e-08
1896,1.6511681522057842e-08,6.014969455847563e-08
1897,1.8062812245922544e-08,7.399925872064728e-08
1898,2.2067583871354657e-08,1.142987695601505e-07
1899,1.4371703827009696e-08,4.864268987603282e-08
1900,2.1283317441778138e-08,5.865889973755145e-08
1901,2.2913829722526202e-08,6.985923706182007e-08
1902,3.338992993207057e-08,6.236060379194441e-08
1903,2.8621168546294484e-08,7.884321573392583e-08
1904,8.599400302955473e-09,1.0050548748807842e-07
1905,2.8384175565498992e-08,9.23775880234956e-08
1906,2.1605575106775632e-08,8.796555661660932e-08
1907,2.674278520853335e-08,2.2217083239794988e-07
1908,3.3397447030125704e-08,9.921005794666371e-08
1909,1.9253442284927758e-08,6.65618995476791e-08
1910,1.8704527149360217e-08,9.779795817621562e-08
1911,2.6601871261355825e-08,7.767746001974274e-08
1912,2.7088990162127402e-08,8.43926257765304e-08
1913,3.6590627860988434e-08,5.992378415697885e-08
1914,1.9420556107707654e-08,1.3058650472075328e-07
1915,9.424609426211816e-09,1.0013647511186718e-07
1916,1.7579939504130948e-08,1.3954076494293588e-07
1917,1.5352993543160665e-08,7.895825415715763e-08
1918,1.1486376294556067e-08,1.0337738398646934e-07
1919,1.2890987610703064e-08,9.20784855029666e-08
1920,2.1202248845497706e-08,8.480899582608004e-08
1921,2.9533714807072897e-08,5.67956056629626e-08
1922,3.09873291470808e-08,7.820611847009218e-08
1923,3.1847843917631735e-08,8.917396776553232e-08
1924,1.160246199116699e-08,1.366512192291225e-07
1925,4.069325765243548e-08,5.82903416646019e-08
1926,1.4489979549558996e-08,6.799144181002248e-08
1927,4.5711820995109065e-08,6.020581588828122e-08
1928,1.8281665736807895e-08,5.827280968873083e-08
1929,1.7824650200282122e-08,1.3702699952489183e-07
1930,2.520864939015155e-08,9.663315081454016e-08
1931,2.737285598186645e-08,4.676196230235519e-08
1932,1.0959536833610173e-08,1.1836299673717576e-07
1933,1.9500125736371388e-08,1.1470662042434299e-07
1934,2.6359476379411717e-08,4.7926322466196325e-08
1935,2.5133397585364037e-08,4.906996675657638e-08
1936,1.9399543305098632e-08,4.364897243647192e-08
1937,1.3850229851897211e-08,4.4068915072692505e-08
1938,3.630259959308546e-08,9.075650342360575e-08
1939,1.6823455517567254e-08,1.0858775745248295e-07
1940,2.7893612308815818e-08,1.343964957101207e-07
1941,3.246652813260198e-08,5.312704676185831e-08
1942,1.2136847082899749e-08,5.4615811206915055e-08
1943,8.709705623388686e-09,2.9032352522051497e-08
1944,3.855823393905666e-08,6.426372500811794e-08
1945,1.9606535950345005e-08,2.3963544482086263e-08
1946,3.062642850437669e-08,4.872386405452289e-08
1947,3.337843845763189e-08,2.3841742136099242e-08
1948,3.37028520647209e-08,2.609253013652335e-08
1949,1.3743811755340118e-08,4.417653753918671e-08
1950,1.5953042220573366e-08,5.3176808068045034e-08
1951,4.0513328247726577e-08,5.330700902916874e-08
1952,2.10896083929768e-08,4.6397135911036e-08
1953,1.7238123595220145e-08,4.0940542511691547e-08
1954,1.5636057337786724e-08,5.277169434769746e-08
1955,2.627970330237872e-08,4.786659912880964e-08
1956,2.703553958482985e-08,4.360570837746991e-08
1957,1.855357939506419e-08,3.7990661838627204e-08
1958,1.4062814079895958e-08,5.956015103336654e-08
1959,1.8601794327111065e-08,3.720358821013292e-08
1960,1.7994166823243063e-08,4.152499988308023e-08
1961,2.0844478365589225e-08,3.752005939272607e-08
1962,2.5367825173816527e-08,3.8051737427657883e-08
1963,1.9398158968009227e-08,2.5864212771509187e-08
1964,2.8594651091395917e-08,4.137098530421213e-08
1965,2.188817349590977e-08,4.651236784614099e-08
1966,1.9940669560014612e-08,3.101881840272824e-08
1967,4.240088674611897e-08,2.5637745149076352e-08
1968,2.470278670507753e-08,1.931308790670272e-08
1969,1.4533625192214572e-08,1.4215701438224926e-07
