year,tout_ADV assez_ADV,tout_ADV passés_ADJ
1800,1.7921738049153646e-07,3.144164484325529e-09
1801,8.810375362600098e-08,0.0
1802,1.4545960880241182e-07,0.0
1803,1.677291692203653e-07,1.950339223455444e-09
1804,2.3235398316501232e-07,0.0
1805,1.0802935435094696e-07,0.0
1806,7.492339904047185e-08,0.0
1807,5.97860605466849e-08,0.0
1808,7.024829073998262e-08,0.0
1809,6.09938268780752e-08,0.0
1810,6.084329839950442e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,9.335229123053068e-08,2.6672082320544632e-09
1813,8.91479885467561e-08,0.0
1814,7.552024783308298e-08,0.0
1815,4.045835311217161e-08,0.0
1816,6.257530316133852e-08,0.0
1817,9.341240314597599e-08,0.0
1818,5.126106117359086e-08,0.0
1819,3.9333990287104825e-08,0.0
1820,7.357218123615894e-08,0.0
1821,3.550135829755163e-08,0.0
1822,4.8122956286533736e-08,0.0
1823,5.929612001409623e-08,2.3718449426723964e-08
1824,4.8000341479337294e-08,0.0
1825,6.60408261410339e-08,0.0
1826,5.372870504061211e-08,8.807984341885344e-10
1827,3.6869092667757286e-08,0.0
1828,3.944089499441361e-08,0.0
1829,3.0006116702452346e-08,0.0
1830,2.922314124020886e-08,0.0
1831,3.4300654760954785e-08,0.0
1832,9.606278439378002e-08,0.0
1833,4.51761508202253e-08,0.0
1834,4.85395617033646e-08,0.0
1835,7.487457054367042e-08,0.0
1836,7.392824841190304e-08,0.0
1837,4.800944708449606e-08,0.0
1838,4.9234863297442644e-08,5.680945491803868e-09
1839,8.599514700335931e-08,0.0
1840,2.93005673057678e-08,0.0
1841,3.723918240439161e-08,0.0
1842,3.8237111255057243e-08,0.0
1843,5.847842032835615e-08,5.906911071384968e-10
1844,5.43367555394525e-08,0.0
1845,6.249855033502172e-08,2.2320911785556063e-09
1846,7.20103656703941e-08,0.0
1847,2.6966118227278457e-08,2.6966118227278457e-09
1848,3.459445352405055e-08,0.0
1849,4.776266493422554e-08,0.0
1850,5.974316508172706e-08,6.788996032014438e-10
1851,5.159551008659946e-08,6.449438760824933e-10
1852,5.599068941819496e-08,0.0
1853,6.151089593231518e-08,0.0
1854,4.9878380536938494e-08,5.195664454227256e-10
1855,4.988520885262915e-08,0.0
1856,6.833889898416601e-08,0.0
1857,7.859229356199648e-08,9.763018171682347e-10
1858,3.9149409047922745e-08,6.361778659424999e-09
1859,9.318677030023537e-08,0.0
1860,8.010071894659632e-08,0.0
1861,5.0932406736592384e-08,4.715963730639317e-10
1862,6.822159548391937e-08,0.0
1863,5.394190338847693e-08,0.0
1864,8.055143041474366e-08,0.0
1865,7.295609094626343e-08,3.294791106611683e-09
1866,6.179328693178832e-08,4.865612912574591e-10
1867,6.017486242626546e-08,4.85281148598915e-10
1868,6.174842326345242e-08,4.93987406535723e-10
1869,6.006728625607138e-08,0.0
1870,7.167560767129544e-08,0.0
1871,6.478918379571041e-08,0.0
1872,7.01491345012073e-08,6.047339295989218e-10
1873,1.2391029713398893e-07,0.0
1874,5.197910013521323e-08,5.974609140757536e-10
1875,1.0584825105297568e-07,5.721527140956084e-10
1876,8.524880712457161e-08,0.0
1877,9.153527713579024e-08,1.2369631985365004e-09
1878,7.0657335982105e-08,6.039088673581716e-10
1879,7.453376582589044e-08,6.10932526790009e-10
1880,6.610381575455904e-08,0.0
1881,6.414706632540401e-08,0.0
1882,4.791877472598571e-08,0.0
1883,8.02556030521373e-08,0.0
1884,7.261866841190567e-08,1.3203393933736152e-09
1885,8.314869859304963e-08,0.0
1886,5.6145136539953455e-08,0.0
1887,6.398346386049525e-08,2.6115698492645834e-09
1888,6.467426771905593e-08,6.340614699951175e-10
1889,7.392861078869828e-08,0.0
1890,7.930807299771914e-08,0.0
1891,6.374219907456791e-08,0.0
1892,6.581937839200691e-08,0.0
1893,8.067525669730458e-08,0.0
1894,6.364554394622246e-08,0.0
1895,6.319545065025522e-08,6.018614495673091e-10
1896,6.191880430606034e-08,0.0
1897,7.691262027265111e-08,0.0
1898,7.412445057752848e-08,5.6583548957434e-10
1899,5.5828543565894506e-08,0.0
1900,7.319385275650347e-08,5.191053142894475e-10
1901,8.10367168924131e-08,0.0
1902,5.646826295446772e-08,4.910283846193408e-10
1903,7.074288532749051e-08,0.0
1904,1.0426772689697827e-07,0.0
1905,6.760594573052003e-08,0.0
1906,8.693671560422445e-08,0.0
1907,6.634267890603951e-08,1.028568674676933e-09
1908,7.51442499336008e-08,0.0
1909,7.591357586989034e-08,0.0
1910,5.344150721953156e-08,0.0
