year,aient_VERB uni_VERB,aient_VERB puni_VERB
1800,0.0,0.0
1801,0.0,1.6668277424969347e-08
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,2.842877711017877e-09
1806,5.76333825108577e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,2.400487453257938e-08,0.0
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,5.960588467246453e-09,8.344824387052086e-09
1819,1.449147024601416e-08,2.070210003424222e-09
1820,1.1866481131050932e-09,0.0
1821,0.0,0.0
1822,3.0076847679083585e-09,0.0
1823,4.941343334508019e-09,1.9765373782121287e-09
1824,8.421112696055388e-10,8.421112696055388e-10
1825,0.0,5.283265824829186e-09
1826,5.284790383086602e-09,2.642395191543301e-09
1827,0.0,0.0
1828,6.420610709767516e-09,1.0089530988466322e-08
1829,4.286587973467704e-09,8.57317605795771e-10
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,0.0,0.0
1832,0.0,2.705993873419743e-09
1833,0.0,0.0
1834,4.667265685043276e-09,9.334530925997342e-10
1835,5.294161553592858e-09,7.563087933704082e-10
1836,1.4113575197427508e-08,0.0
1837,3.478945576063097e-09,6.957890930081589e-10
1838,4.418513555037862e-09,0.0
1839,6.9914751765765e-10,0.0
1840,1.0828470564661075e-08,1.2739377330817092e-09
1841,5.778493683550323e-09,6.420548537278137e-10
1842,4.024959032733477e-09,2.0124795163667386e-09
1843,7.088293507706567e-09,0.0
1844,3.2931368743049916e-09,1.097712254427563e-09
1845,2.7901139176833567e-09,3.348136878855712e-09
1846,5.854501328173001e-10,1.1709002656346001e-09
1847,1.0786447290911383e-09,3.775256551818984e-09
1848,0.0,0.0
1849,0.0,0.0
1850,6.788996032014438e-10,2.7155984128057753e-09
1851,7.739326512989919e-09,3.2247193804124663e-09
1852,8.463708844885787e-09,0.0
1853,5.971931837933653e-09,4.777545470346922e-09
1854,6.234797567117312e-09,0.0
1855,2.1227748447927297e-09,5.306937111981824e-10
1856,3.6240324075009767e-09,0.0
1857,3.905207268672939e-09,9.763018171682347e-10
1858,1.468102750479261e-09,3.9149408159744326e-09
1859,3.5645213447565993e-09,1.018434669930457e-09
1860,7.323494255473406e-09,9.154367819341758e-10
1861,1.1789909493131745e-08,9.431927461278633e-10
1862,1.355395884417021e-08,2.2589932147099034e-09
1863,0.0,9.989241656072068e-10
1864,3.835782358407869e-09,4.794727948009836e-10
1865,4.706844358715045e-10,6.589582213223366e-09
1866,4.865612912574591e-10,4.865612912574591e-10
1867,1.164674756637396e-08,1.455843445796745e-09
1868,4.44588676984381e-09,2.9639244392143382e-09
1869,5.860222973552709e-09,4.883519144627257e-10
1870,1.7202146374017957e-09,2.8670243956696595e-09
1871,8.496941816815706e-09,4.248470908407853e-09
1872,3.0236697590169115e-09,1.2094678591978436e-09
1873,5.387403856360606e-09,1.1972009161809183e-08
1874,1.7923826867161097e-09,1.7923826867161097e-09
1875,1.716458086775674e-09,2.2886108563824337e-09
1876,5.441413541973361e-09,0.0
1877,5.566334504436554e-09,6.184815992682502e-10
1878,4.831270938865373e-09,1.2078177347163432e-09
1879,2.443730107160036e-09,2.443730107160036e-09
1880,3.8507077526617195e-09,0.0
1881,1.3945015142624584e-09,0.0
1882,0.0,3.9932310791357395e-09
1883,3.791603475633565e-09,3.791603475633565e-09
1884,1.4523733327109767e-08,6.601696966868076e-10
1885,5.80107206715752e-09,6.445635691854079e-10
1886,1.936039106809062e-09,1.2906927748801422e-09
1887,5.876032105334161e-09,0.0
1888,1.9021844099853524e-09,0.0
1889,3.132568426877924e-09,3.759081934617825e-09
1890,6.554386478008212e-10,0.0
1891,8.286486163910922e-09,0.0
1892,1.8805537127519756e-09,2.5074049503359674e-09
1893,1.0469308087124318e-08,0.0
1894,2.520615716150587e-09,6.301539290376468e-10
1895,6.018614495673091e-10,0.0
1896,1.3563166589847242e-08,0.0
1897,4.078699600285063e-09,0.0
1898,3.3950129374460403e-09,1.13167097914868e-09
1899,1.6582735185011188e-09,5.527578395003729e-10
1900,5.19105292084987e-09,0.0
1901,1.1177477832191585e-09,0.0
1902,9.820567692386817e-10,2.455141867585553e-09
1903,9.720396931811592e-09,6.480264325148255e-09
1904,6.987012746151322e-09,0.0
1905,1.5482277682110634e-09,0.0
1906,5.658602919567102e-09,0.0
1907,1.028568674676933e-09,0.0
1908,6.384805573134145e-09,0.0
1909,5.5009836685826485e-09,1.6502950117569526e-09
1910,5.344150677544235e-10,0.0
1911,7.448523575703803e-09,0.0
1912,4.688478938419394e-09,5.209421227725386e-10
