year,devaient_VERB oser_VERB,devaient_VERB poser_VERB
1800,3.144164484325529e-09,1.5720821977538435e-08
1801,3.095537337571841e-08,4.7623651688866175e-09
1802,0.0,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,1.4831105232815389e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,2.259030518203531e-09
1810,4.680253518074551e-09,4.680253518074551e-09
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,1.0788894222457657e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,1.556873407970727e-09
1818,0.0,8.344824387052086e-09
1819,0.0,3.1053151161586356e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,5.9168927535324656e-09
1822,0.0,9.023054303725075e-09
1823,0.0,1.087095569118901e-08
1824,0.0,4.210556348027694e-09
1825,0.0,1.7610886082763955e-09
1826,0.0,1.3211976401805714e-08
1827,0.0,1.3825909306319772e-08
1828,0.0,2.7516904310687096e-09
1829,0.0,8.57317605795771e-10
1830,0.0,9.39315203396518e-09
1831,0.0,1.870944643656003e-08
1832,0.0,9.470978667991403e-09
1833,0.0,9.266902800675325e-09
1834,0.0,1.6802156110884425e-08
1835,0.0,7.563087933704082e-09
1836,0.0,6.048674894287842e-09
1837,0.0,6.262101948095733e-09
1838,3.1560809521380406e-09,1.4517972601879592e-08
1839,1.3982950353153e-09,4.894032734625853e-09
1840,0.0,1.46502836528839e-08
1841,4.494383976094696e-09,7.704658244733764e-09
1842,6.037438549100216e-09,1.7441490030023488e-08
1843,4.7255288571079745e-09,1.2404512972352677e-08
1844,0.0,1.3721403568922597e-08
1845,0.0,9.48638767539478e-09
1846,0.0,9.367202125076801e-09
1847,1.0786447290911383e-09,9.168480197274675e-09
1848,8.84974404868899e-09,8.045221711050488e-10
1849,8.379414939696517e-10,1.6758829879393033e-09
1850,0.0,1.0183494048021657e-08
1851,0.0,2.579775504329973e-09
1852,0.0,3.906327261660181e-09
1853,0.0,5.3747388761848924e-09
1854,3.117398783558656e-09,2.0782657372819813e-08
1855,2.1227748447927297e-09,1.6982198758341838e-08
1856,0.0,8.28350277259915e-09
1857,0.0,8.298565390418844e-09
1858,4.893676130990343e-09,3.9149408159744326e-09
1859,0.0,1.018434669930457e-08
1860,4.577183909670879e-10,1.2816115280145368e-08
1861,7.545541969022906e-09,4.715963619617014e-09
1862,4.517986262886353e-10,8.584174260306554e-09
1863,4.994620828036034e-10,6.493007020935693e-09
1864,0.0,7.1920918109924514e-09
1865,0.0,1.3649848362717876e-08
1866,4.379051787850585e-09,1.1190909532388105e-08
1867,0.0,5.338092634588065e-09
1868,1.975949626142892e-09,1.1855697756857353e-08
1869,1.4650557433881772e-09,1.0255390314739543e-08
1870,5.734048791339319e-10,1.9495765002375265e-08
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,3.628403577593531e-09,1.2094679036067646e-08
1873,5.986004469882289e-10,6.584604861359367e-09
1874,0.0,7.766991494406739e-09
1875,0.0,1.2015206607429718e-08
1876,6.04601479992084e-10,1.6928840551599933e-08
1877,6.184815992682502e-10,1.4225077116236662e-08
1878,0.0,6.039088784604019e-09
1879,0.0,6.720257683667796e-09
1880,0.0,7.059631101924424e-09
1881,6.972507571312292e-10,6.972507571312292e-10
1882,6.655385131892899e-10,2.3959387362992857e-08
1883,0.0,1.579834751908038e-08
1884,0.0,1.386356363042296e-08
1885,0.0,5.80107206715752e-09
1886,0.0,3.2267319927115068e-09
1887,0.0,5.876032105334161e-09
1888,0.0,1.2047167707862627e-08
1889,0.0,3.132568426877924e-09
