year,ont_VERB uni_VERB,ont_VERB puni_VERB
1800,1.3834323731032327e-07,1.0061326349841693e-07
1801,1.833510598903132e-07,1.0715321963061797e-07
1802,8.727576528144709e-08,4.4756802708434407e-08
1803,1.4042441875972145e-07,1.0726865440346955e-07
1804,1.038177401824214e-07,8.157108055684148e-08
1805,9.950072232811635e-08,9.097208675257207e-08
1806,7.780506461330106e-08,6.051504897186533e-08
1807,1.5373558293063638e-07,1.1672516109229036e-07
1808,1.0650548043500407e-07,1.0650547466184435e-07
1809,7.228897791478062e-08,1.197286110254936e-07
1810,1.521082388933337e-07,9.126494404654295e-08
1811,1.5543875298007492e-07,7.521230349638586e-08
1812,1.8137015844743587e-07,9.868670503010435e-08
1813,1.437870835729882e-07,8.627225156487839e-08
1814,1.1957373313720154e-07,1.1642705288750221e-07
1815,1.5643896444927918e-07,7.552225866902518e-08
1816,1.2515060632267705e-07,1.251506080990339e-07
1817,1.1053801074467628e-07,1.0742426592713628e-07
1818,1.108669511751259e-07,7.510341970551337e-08
1819,1.0454560261941026e-07,1.3145833688277264e-07
1820,5.577246042776096e-08,1.329045957731978e-07
1821,9.467028561083168e-08,8.382265059836413e-08
1822,9.825103575167304e-08,7.21844344298006e-08
1823,1.344045479356737e-07,8.400284201570685e-08
1824,7.663212286956878e-08,7.242157096243318e-08
1825,1.1447076220250096e-07,6.60408261410339e-08
1826,9.688782665051576e-08,1.1274219602341873e-07
1827,9.401618772386655e-08,9.032927417162995e-08
1828,9.814362533777654e-08,6.512334005392972e-08
1829,9.259030131492096e-08,3.60073402205785e-08
1830,8.766942172222514e-08,5.635891398014792e-08
1831,1.5435293732046773e-07,7.327866824446971e-08
1832,1.352996960024555e-07,1.0823975449270051e-07
1833,1.0541101969074873e-07,4.40177885252524e-08
1834,1.1854854431447848e-07,1.120143711119681e-07
1835,9.529490796467144e-08,9.756383434478266e-08
1836,8.804182483057588e-08,7.191202761047677e-08
1837,7.723258632630348e-08,4.3834711638268686e-08
1838,8.963269881867575e-08,5.491580767902349e-08
1839,1.153593426339583e-07,4.4046294167543465e-08
1840,7.771020160696196e-08,8.153201624949702e-08
1841,8.089890934925847e-08,5.393260860131477e-08
1842,1.0599058519744631e-07,4.8299508392801727e-08
1843,1.0100818248481858e-07,5.2571509923105e-08
1844,5.982531731119067e-08,3.67733621886579e-08
1845,6.473064556589136e-08,7.254296652270398e-08
1846,1.0655192461683782e-07,5.4446863240187326e-08
1847,8.737022128002536e-08,5.9325461876369445e-08
1848,1.3113712071799455e-07,5.631655092264154e-08
1849,1.0055298260702727e-07,4.1897074254393374e-08
1850,1.1541293165606703e-07,4.54862716381399e-08
1851,7.029888227094716e-08,7.158876913493373e-08
1852,7.812654323480217e-08,4.882909210301989e-08
1853,6.38996713320239e-08,5.792773860591183e-08
1854,8.157193498448123e-08,5.299577632289498e-08
1855,1.2205955712829564e-07,4.9354515141430966e-08
1856,1.2321710690654797e-07,4.607698289582629e-08
1857,5.369660027731982e-08,5.07676941596813e-08
1858,9.444794407675872e-08,4.8447392320127847e-08
1859,6.365216753678737e-08,4.9903298160458576e-08
1860,7.918528249772905e-08,4.531412239883181e-08
1861,1.6600191737881076e-07,5.0932406736592384e-08
1862,9.307051929141608e-08,5.602302982632423e-08
1863,9.389887312138967e-08,5.0445671029297756e-08
1864,1.241834561849231e-07,3.8837296045812764e-08
1865,8.378183280477458e-08,5.2245972881337366e-08
1866,1.2066719934367143e-07,3.84383413987166e-08
1867,8.492419745209645e-08,2.91168689159349e-08
1868,1.022553899332479e-07,3.408512938563035e-08
1869,7.227608078697045e-08,4.199826453277211e-08
1870,9.403840106614325e-08,1.777555080906268e-08
1871,6.054071066685651e-08,4.248470730772169e-08
1872,8.042961086029976e-08,3.9912439575573444e-08
1873,6.045864359149888e-08,2.7535620006347017e-08
1874,5.914863088207767e-08,3.0470506118263074e-08
1875,5.3210202022313524e-08,4.5200063025774284e-08
1876,8.887642111155003e-08,3.0230073333470386e-08
1877,9.648312593313335e-08,4.576763856789512e-08
1878,7.186515371682134e-08,3.44228039406147e-08
1879,8.247589189380733e-08,2.871382953628654e-08
1880,1.110287428662815e-07,3.658172520459857e-08
1881,7.878933389049436e-08,3.5559789779426865e-08
1882,6.92160029291955e-08,3.1945848633085916e-08
1883,5.245051382107846e-08,3.159669503816076e-08
1884,7.988053418728214e-08,1.1222884843675729e-08
1885,1.0828668139950537e-07,2.6427105837001363e-08
1886,7.93776037677496e-08,3.1621972595985426e-08
1887,1.0119832993815692e-07,3.7867764035581786e-08
1888,8.87686082418071e-08,1.5851536971922542e-08
1889,1.0274824280287476e-07,2.4434033463194282e-08
1890,1.2846597563509476e-07,1.8352281472289178e-08
1891,1.2174760333216739e-07,3.1871099537283953e-08
1892,9.402768763600022e-08,1.9432388143059143e-08
1893,8.067525719690494e-08,2.6481190573690583e-08
1894,9.137231993250339e-08,1.3863386882917439e-08
1895,9.870527728494949e-08,1.3240952112525406e-08
1896,1.0260830074493299e-07,8.845543852942228e-09
1897,9.264474520875865e-08,2.7385553380554484e-08
1898,9.506036047213229e-08,1.6975064909274806e-08
1899,1.0391847027335643e-07,1.1055156790007459e-08
1900,9.499626907327752e-08,1.86877908703309e-08
1901,8.215446500869916e-08,1.0059729937950124e-08
1902,7.807351010136188e-08,1.0802624572647801e-08
1903,1.0476427636518792e-07,2.808114629715419e-08
1904,8.223176806154697e-08,2.956043765323102e-08
1905,1.1869745747405958e-07,1.3934049469810361e-08
