year,tout_DET air_NOUN,tout_DET pair_NOUN
1888,2.346027505595316e-08,6.34061447790657e-09
1889,4.51089832154139e-08,2.4434032575015863e-08
1890,4.0637195386494795e-08,8.520702476921826e-09
1891,2.1672347472190268e-08,1.0198752065093686e-08
1892,2.1312942521944933e-08,1.1283322720601063e-08
1893,1.4780199342201428e-08,2.155445821827584e-08
1894,3.7179083589578e-08,6.301539290376468e-10
1895,1.5648397910794642e-08,6.6204761672850054e-09
1896,2.2998413173880294e-08,2.889544153950041e-08
1897,1.5732126934508983e-08,2.330685422435863e-09
1898,1.69750646872302e-08,2.26334195829736e-09
1899,9.949641111006713e-09,6.080336234504102e-09
1900,1.1939422339679595e-08,1.038210628578895e-08
1901,2.2913829500481597e-08,3.5767929729146886e-08
1902,3.83002145554201e-08,1.5712908529863512e-08
1903,2.7001100910695186e-08,1.1340462569009446e-08
1904,2.20359632763234e-08,1.7736263124845664e-08
1905,1.341797323251015e-08,6.708986755032953e-09
1906,1.3374879426208963e-08,2.5720922058880547e-09
1907,1.337139288182243e-08,5.65712765521198e-09
1908,2.062783477363439e-08,3.437972351250096e-09
1909,1.3752459171456621e-08,2.8605114721358404e-08
1910,3.046165797382372e-08,1.6032452032632705e-09
1911,9.576673454247953e-09,5.852411555373749e-09
1912,1.7712032729377825e-08,1.5628263128064646e-09
1913,2.8636144122629048e-08,1.007568084521182e-08
1914,1.674185973188358e-08,2.678697486047099e-09
1915,2.1205371680821372e-08,1.1780761921542648e-09
1916,3.2962386153911893e-09,0.0
1917,1.0966424213165737e-08,2.1932848870420685e-09
1918,1.9526840588923733e-08,8.040463406189247e-09
1919,3.867296449744373e-08,0.0
1920,4.240449769099541e-08,1.514446346106979e-09
1921,1.741731914250977e-08,2.2718242842501013e-09
1922,1.0329110011753073e-08,3.6889677423879164e-09
1923,2.44166811214086e-08,2.866305992554885e-08
1924,1.5469949654622894e-08,2.578324886925998e-09
1925,2.3096174084358267e-08,1.0998177923937646e-09
1926,1.5604593173179637e-08,2.229227691330493e-09
1927,3.34476758512281e-08,8.919380123373344e-09
1928,1.7139061725401916e-08,1.1426041224282812e-09
1929,3.342121956961819e-08,1.1140406375176326e-09
1930,2.520864939015155e-08,0.0
1931,7.983749661377715e-09,2.2810713318222042e-09
1932,2.301502632917618e-08,3.287861094491973e-09
1933,9.176529758292418e-09,1.032359597807897e-08
1934,1.9170528275935794e-08,4.7926320689839486e-09
1935,1.795242710045386e-08,1.196828414151696e-09
1936,1.2124715009775855e-08,1.2124714565686645e-09
1937,2.2664012888640173e-08,7.554670777842887e-09
1938,7.779128452511941e-09,2.5930428915188486e-09
1939,1.8352860564618823e-08,3.058810094103137e-09
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,3.541802984230458e-08,2.9515025978810172e-09
1942,3.034211770724937e-09,3.034211770724937e-09
1943,2.322588166236983e-08,0.0
1944,9.639558484764166e-09,0.0
1945,3.0499055725385915e-08,2.178504043826024e-09
1946,4.1763311919851276e-08,0.0
1947,2.6225916327504706e-08,8.344609669919123e-09
1948,1.195907639583993e-08,2.174377566888097e-09
1949,1.5707213085747185e-08,7.853606653895895e-09
1950,2.0207187478860078e-08,9.571825110299415e-09
1951,3.1984203729962246e-08,1.0661401761424827e-09
1952,1.4762725264461096e-08,4.2179215675730575e-09
1953,1.508335856215126e-08,2.1547654771580937e-09
1954,1.8567819282111486e-08,1.9545072227344917e-09
1955,2.3464020060259827e-08,9.385607846468247e-09
1956,1.0465370126055973e-08,4.36057079333807e-09
1957,1.8553580005686854e-08,7.068030161150318e-09
1958,4.9633461784992505e-09,8.272243445794913e-10
1959,2.8677767716089875e-08,0.0
1960,7.61291657491725e-09,1.3841666701708277e-09
1961,3.265634918037108e-08,1.3896318540318475e-09
1962,1.5220695481765745e-08,3.170978202238217e-09
1963,2.0691370394843034e-08,1.2932106496776896e-09
1964,1.0342745992986124e-08,6.083968329129164e-10
