year,ont_VERB assez_ADV,ont_VERB passé_VERB
1800,2.4052858407230815e-06,4.791706487594638e-06
1801,1.9382825939828763e-06,4.212311978335492e-06
1802,1.962585884029977e-06,4.079582595295506e-06
1803,1.928885467350483e-06,4.119116510992171e-06
1804,1.5226602272377932e-06,4.565508788800798e-06
1805,1.7085694707930088e-06,4.355288638180355e-06
1806,1.6973031051747967e-06,5.14666089657112e-06
1807,1.5715191921117366e-06,4.501036073634168e-06
1808,1.611178618077247e-06,4.613726559909992e-06
1809,1.7123451243605814e-06,4.80495782539947e-06
1810,1.394715582136996e-06,4.642811290977988e-06
1811,1.3463002233038424e-06,3.981238023698097e-06
1812,1.6483346598761273e-06,4.352883934188867e-06
1813,1.4580010656572995e-06,4.207210167805897e-06
1814,1.645712131903565e-06,4.47772163170157e-06
1815,1.3216395018389449e-06,5.103147032059496e-06
1816,1.9143408280797303e-06,3.981643658335088e-06
1817,1.5226221421471564e-06,4.2642764128686395e-06
1818,1.6761175629653735e-06,4.025781436212128e-06
1819,1.5599032394675305e-06,4.09798076361767e-06
1820,1.7538659449201077e-06,4.1141088331642095e-06
1821,1.4555556617779075e-06,4.5372707973001525e-06
1822,1.5078526303113904e-06,4.019269454147434e-06
1823,1.3074794651402044e-06,3.6783360428671585e-06
1824,1.4383260804606834e-06,3.8063428746681893e-06
1825,1.2715059938273043e-06,4.13855832448462e-06
1826,1.3247208698885515e-06,3.5575449146563187e-06
1827,1.1917934443772538e-06,4.248241111781681e-06
1828,1.1740545460270368e-06,3.882635155605385e-06
1829,1.2739739077005652e-06,4.158847787039122e-06
1830,1.346351837128168e-06,3.923206804756774e-06
1831,1.2020819895042223e-06,3.885328624164686e-06
1832,1.263699118680961e-06,4.3755921979027335e-06
1833,1.2151226655987557e-06,4.24655809183605e-06
1834,1.1266778301433078e-06,4.199605427857023e-06
1835,1.2872375236838707e-06,4.524239102465799e-06
1836,1.3024813370066113e-06,3.8429247979365755e-06
1837,1.2503329571700306e-06,4.3939080569543876e-06
1838,1.2580138673001784e-06,4.131310106458841e-06
1839,1.189949102808896e-06,4.301854460209142e-06
1840,1.059279270521074e-06,4.344127773947548e-06
1841,1.1813809805971687e-06,4.450082087714691e-06
1842,1.247066506948613e-06,4.17656565332436e-06
1843,1.2304095662329928e-06,4.440224984136876e-06
1844,1.1509513342389255e-06,4.0780009840091225e-06
1845,1.105443175219989e-06,4.036736754642334e-06
1846,1.2130526556575205e-06,4.338185590313515e-06
1847,9.200839485856704e-07,4.046535650559235e-06
1848,1.1335716862959089e-06,4.173056368017569e-06
1849,9.560912985762116e-07,4.266797986929305e-06
1850,1.1120375802420313e-06,4.105984771740623e-06
1851,1.0744764722403488e-06,3.987688160123071e-06
1852,1.130230657508946e-06,4.1576345211069565e-06
1853,1.2069274362147553e-06,4.632427589967847e-06
1854,1.2085115486115683e-06,4.468790848477511e-06
1855,1.0534270131756784e-06,4.516203262028284e-06
1856,1.069607264980732e-06,4.48241053163656e-06
1857,1.125676021729305e-06,4.9923191909329034e-06
1858,1.0359912039348274e-06,4.533501396508655e-06
1859,1.006722641250235e-06,4.581428584060632e-06
1860,1.1113402251794469e-06,4.79688878840534e-06
1861,1.062035039467446e-06,4.590990556607721e-06
1862,1.0653411663952284e-06,4.34088133260957e-06
1863,1.106807985706837e-06,4.980136509402655e-06
1864,1.0505249292691587e-06,4.68588768853806e-06
1865,1.0246800457025529e-06,4.44420265921508e-06
1866,1.0057221970782848e-06,4.48074297310086e-06
1867,9.59886165219359e-07,4.733917648991337e-06
1868,8.629959893369232e-07,4.348077254689997e-06
1869,1.0387245765741682e-06,4.411770987644559e-06
1870,1.0011649465013761e-06,4.318885657994542e-06
1871,1.096105506803724e-06,4.807144705409883e-06
1872,1.075821614904271e-06,4.906811227556318e-06
1873,9.541690815240145e-07,4.475136847759131e-06
1874,8.75877674388903e-07,4.437342340679606e-06
1875,1.0327356676498312e-06,4.5331657929637e-06
1876,9.619209322409006e-07,4.829556473850971e-06
1877,9.747269587023766e-07,4.664588232117239e-06
1878,8.762717698118649e-07,4.438126325112535e-06
1879,8.956270676208078e-07,4.608874860423384e-06
1880,8.721852964299615e-07,4.480298684939044e-06
1881,9.796373205972486e-07,4.660424110625172e-06
1882,8.911560485103109e-07,4.968910616298672e-06
1883,9.447411457585986e-07,4.690213245339692e-06
1884,8.681231520313304e-07,4.6000623115105554e-06
1885,8.534021844752715e-07,4.765258381667081e-06
1886,8.944500677898759e-07,4.476122740015853e-06
1887,8.872808621163131e-07,4.561106834444217e-06
1888,7.92576827279845e-07,4.410531801113393e-06
1889,8.13841268154647e-07,4.898083716398105e-06
1890,8.776323738857172e-07,4.685075509769376e-06
1891,7.955026717354485e-07,4.772378360939911e-06
1892,8.349658742190513e-07,4.660012109525269e-06
1893,7.08217896772112e-07,4.4784005694964435e-06
1894,9.036407391249668e-07,4.838321729039308e-06
1895,8.257538866018876e-07,4.962347702530678e-06
1896,8.727602676117385e-07,4.839691882807529e-06
1897,7.434886697410548e-07,4.9060927267419174e-06
1898,7.865113502703025e-07,4.6562604438804556e-06
1899,7.793885288265301e-07,4.726079623651458e-06
1900,7.547791369688639e-07,5.104362571728416e-06
1901,7.583918772979814e-07,4.898529823549325e-06
1902,7.134642601158703e-07,4.1982925722550135e-06
1903,7.749316068839107e-07,4.740313215734204e-06
1904,7.669590331715881e-07,4.680223810282769e-06
1905,6.992828502916382e-07,4.5043107093079016e-06
1906,8.559923116990831e-07,4.532540970103582e-06
1907,7.385123126368853e-07,4.653758878703229e-06
1908,8.555639965379669e-07,4.717389401776018e-06
1909,7.761887559354363e-07,4.7814551180636045e-06
1910,7.610070724695106e-07,4.873865236731945e-06
1911,7.895435487625946e-07,4.607444225257495e-06
1912,7.959995400597109e-07,4.573872047330951e-06
1913,7.98630253484589e-07,5.068597602075897e-06
1914,7.754829312034417e-07,5.246898581390269e-06
1915,8.175848620339821e-07,6.883499281684635e-06
1916,8.800956834420504e-07,6.5737986005842686e-06
1917,9.014401030071895e-07,6.41645510768285e-06
1918,9.614096825316665e-07,5.962578143225983e-06
1919,9.336758353128971e-07,5.602054898190545e-06
1920,8.397605029131228e-07,5.4875963542144746e-06
1921,7.444010634571896e-07,4.589842319546733e-06
1922,6.890991812724678e-07,4.615636498783715e-06
1923,7.409931868096464e-07,4.357846592029091e-06
1924,7.696299917370197e-07,4.22587436332833e-06
1925,7.236801025101158e-07,4.668726433010306e-06
1926,7.668543275940465e-07,5.160662112757564e-06
