year,dut_VERB poser_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,3.0076847679083585e-09
1823,1.7788837070042973e-08
1824,6.736890156844311e-09
1825,0.0
1826,0.0
1827,6.452091305675367e-09
1828,2.7516904310687096e-09
1829,2.571952872898464e-09
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,0.0
1833,1.7375443306377747e-08
1834,4.667265685043276e-09
1835,9.832014313815307e-09
1836,2.016224964762614e-09
1837,6.957891152126194e-09
1838,4.418513555037862e-09
1839,4.194885327990505e-09
1840,1.9109065441114126e-09
1841,6.420548537278137e-10
1842,6.708265054555795e-09
1843,8.860366662588604e-09
1844,1.6465683927435748e-08
1845,1.674068439427856e-09
1846,1.1709002656346001e-09
1847,1.0247124926365814e-08
1848,1.045878850192139e-08
1849,1.6758829879393033e-09
1850,0.0
1851,3.8696632564949596e-09
1852,6.510545436100301e-10
1853,6.569124799682413e-09
1854,3.117398783558656e-09
1855,4.2455496895854594e-09
1856,1.5531567143511893e-09
1857,9.274867096564776e-09
1858,2.936205500958522e-09
1859,1.018434669930457e-09
1860,9.612086238064421e-09
1861,1.4147891747029462e-09
1862,3.6143890103090826e-09
1863,1.4983863039219614e-08
1864,4.315255264231155e-09
1865,1.882737743486018e-09
1866,4.865612801552288e-09
1867,6.79393608038481e-09
1868,2.4699371437009177e-09
1869,6.348574999037737e-09
1870,5.160643912205387e-09
1871,0.0
1872,5.442605477412599e-09
1873,4.788803575905831e-09
1874,4.182226565063729e-09
1875,3.432916173551348e-09
1876,1.0882827083946722e-08
1877,1.8554447978047506e-09
1878,6.6429977074733415e-09
1879,1.3440515367335593e-08
1880,4.492492600149944e-09
1881,7.669758161910067e-09
1882,0.0
1883,1.8958017378167824e-09
1884,1.3203393933736152e-09
1885,5.80107206715752e-09
1886,9.034849313138693e-09
1887,1.9586774424595887e-09
1888,0.0
1889,5.6386229019267375e-09
1890,3.2771931834929546e-09
1891,0.0
1892,1.0656471260972467e-08
1893,3.695050043717174e-09
1894,3.780923574225881e-09
1895,5.416753268150387e-09
1896,5.897029087265082e-09
1897,1.3401440845939305e-08
1898,1.4711722506888236e-08
1899,7.185851913504848e-09
1900,1.5573159428683425e-09
1901,3.912117296778206e-09
1902,4.910283735171106e-09
1903,1.1880484152015924e-08
1904,8.061937784020756e-09
1905,1.5482277682110634e-09
1906,7.201858220895474e-09
1907,3.599990305858114e-09
1908,3.929111258571538e-09
1909,6.0510818578052294e-09
1910,9.085056262847502e-09
1911,7.448523575703803e-09
1912,8.856016364688912e-09
1913,8.484783542428431e-09
1914,1.0045115850232378e-08
1915,8.246533234057551e-09
