year,devait_VERB oser_VERB,devait_VERB poser_VERB
1800,0.0,1.8864987794131594e-08
1801,0.0,1.6668277424969347e-08
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,1.950339223455444e-09,9.751696339321825e-09
1804,9.887403784603066e-09,2.9662210465630778e-08
1805,2.2743021688143017e-08,2.2743021688143017e-08
1806,4.3225035994964855e-08,1.729001475325731e-08
1807,0.0,1.1387820464392462e-08
1808,1.3596443970698147e-08,1.1330369531492579e-08
1809,2.259030518203531e-09,1.3554183553310395e-08
1810,2.3401267590372754e-09,4.44624070894406e-08
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,0.0,1.3336041604361526e-08
1813,2.8757416448144113e-09,2.0130190847567064e-08
1814,0.0,1.5733386149463513e-08
1815,0.0,1.8880564667256294e-08
1816,0.0,1.3905623319487859e-08
1817,3.113746815941454e-09,1.5568733857662664e-08
1818,3.5763532135746345e-09,5.960588467246453e-09
1819,0.0,7.24573512300708e-09
1820,1.6613073583471305e-08,3.085285271708926e-08
1821,0.0,2.465372084259343e-08
1822,0.0,2.0051231786055723e-08
1823,3.9530747564242574e-09,1.3835761869529506e-08
1824,8.421112696055388e-10,1.8526447931321854e-08
1825,2.641632912414593e-09,1.4969252504215547e-08
1826,8.807984341885344e-10,2.2019960965735663e-08
1827,2.7651818612639545e-09,5.1616730445402936e-08
1828,0.0,1.4675682002973645e-08
1829,1.1145129263923081e-08,4.115124596637543e-08
1830,0.0,1.7742621594152297e-08
1831,0.0,2.494592976631793e-08
1832,0.0,1.8941957335982806e-08
1833,0.0,2.548398292390175e-08
1834,9.334530925997342e-10,2.333632664885954e-08
1835,5.294161553592858e-09,4.235329242874286e-08
1836,1.3441500135158435e-09,1.9490174807401672e-08
1837,0.0,2.0177884252348122e-08
1838,5.049729523420865e-09,2.019891809368346e-08
1839,0.0,4.1249702320556025e-08
1840,3.821813088222825e-09,2.7389662093924017e-08
1841,3.852329122366882e-09,4.1091510638580075e-08
1842,1.1404051036834062e-08,3.7566284305512454e-08
1843,8.860366662588604e-09,3.307870244384503e-08
1844,7.1351298203126134e-09,6.75093048130293e-08
1845,1.1160455892778032e-09,2.9575208060350633e-08
1846,1.7563503984519002e-09,4.625055893825447e-08
1847,2.1572894581822766e-09,4.530307862182781e-08
1848,5.63165514222419e-09,4.022610866627474e-08
1849,6.703531951757213e-09,5.362825561405771e-08
1850,1.3577992064028876e-09,7.332116069846961e-08
1851,4.514607354622058e-09,3.805168802273329e-08
1852,0.0,4.948014620254071e-08
1853,4.180352064508952e-09,4.896984151514516e-08
1854,2.0782657816909023e-09,4.052618152172727e-08
1855,2.653468555990912e-09,3.6087172361476405e-08
1856,6.73034605824796e-09,2.3815070804289462e-08
1857,4.393358121745905e-09,2.636014961865385e-08
1858,8.31924928945682e-09,3.425573069648635e-08
1859,9.675129142294736e-09,4.4811123700583266e-08
1860,2.746310290291376e-09,3.9363783344015246e-08
1861,0.0,6.177912581506462e-08
1862,6.776979422085105e-09,2.710791768834042e-08
1863,2.9967726078439227e-09,2.7470415275843152e-08
1864,5.753673537611803e-09,2.4932585773740357e-08
1865,2.8241067262513297e-09,2.8241066374334878e-08
1866,8.271541673821048e-09,3.308616669528419e-08
1867,4.85281148598915e-09,3.494024269912188e-08
1868,2.9639244392143382e-09,2.9639243948054173e-08
1869,0.0,4.395167252368992e-08
1870,5.160643912205387e-09,5.676708170199163e-08
1871,8.496941816815706e-09,5.416800519242315e-08
1872,7.256807155187062e-09,3.930770375859538e-08
1873,6.584604861359367e-09,2.3944018323618366e-08
1874,7.169530746864439e-09,3.823749850084823e-08
1875,1.1443054281912168e-09,4.176714796244596e-08
1876,4.836811839936672e-09,3.627608791134662e-08
1877,6.184815992682502e-10,3.277952487223956e-08
1878,1.8117265465633636e-09,1.7513357875031943e-08
1879,4.27652757650776e-09,3.848874996492668e-08
1880,6.417846254436199e-09,3.529815373326528e-08
1881,3.4862537301449947e-09,1.9523021421719022e-08
1882,3.9932310791357395e-09,3.926677294430192e-08
1883,1.2638677882037541e-09,3.917990198942789e-08
1884,6.601696966868076e-10,4.027035060971684e-08
1885,2.5782542767416317e-09,3.674012205578947e-08
1886,3.872078213618124e-09,3.743009102663564e-08
1887,5.876032105334161e-09,3.3297514079322355e-08
1888,2.53624587998047e-09,3.61415040117663e-08
1889,4.385595886446936e-09,3.3205225236088154e-08
1890,4.5880703680722945e-09,4.5880703680722945e-08
1891,6.374220040683554e-10,3.4420789774003424e-08
1892,0.0,2.4447198043731078e-08
1893,1.2316833108982905e-09,3.387129154930335e-08
1894,1.0082462864602348e-08,3.7179081147087345e-08
1895,1.8055843487019274e-09,2.9491211250842753e-08
1896,5.89702897624278e-10,2.4767521367152767e-08
1897,0.0,3.6708296846654775e-08
1898,3.3950129374460403e-09,1.640922953072277e-08
1899,1.6582735185011188e-09,2.984892333302014e-08
1900,5.191053142894475e-10,3.114631752509922e-08
1901,5.588738916095792e-10,3.912117207960364e-08
1902,0.0,2.5042448115186744e-08
1903,0.0,2.970121215639665e-08
1904,0.0,3.3860139581065596e-08
1905,1.0321518084666081e-09,2.9932401446330914e-08
1906,2.0576738091193647e-09,3.600929332492342e-08
1907,0.0,2.982849167665336e-08
1908,9.822778146428846e-10,2.0627833663411366e-08
1909,0.0,5.225934529562437e-08
1910,2.137660271017694e-09,2.1911017000775246e-08
1911,2.128149656499545e-09,4.149891807969652e-08
1912,4.688478938419394e-09,3.80287765722187e-08
1913,1.060597942803554e-09,3.818152549683873e-08
1914,1.0714789944188396e-08,2.209925398233281e-08
1915,2.3561523843085297e-09,3.180805663305364e-08
1916,5.493730803607377e-09,3.5159878564172686e-08
1917,1.315970976634162e-08,2.4126133979507358e-08
1918,0.0,4.5945505178224266e-08
1919,1.2890987832747669e-08,2.8544329566670967e-08
1920,3.786115865267448e-09,2.8774479687854182e-08
1921,7.572747429129834e-10,4.0892835784234194e-08
1922,5.164555005876537e-09,4.721878710256533e-08
1923,0.0,4.140219900250486e-08
1924,3.867487219366694e-09,3.351822286390416e-08
1925,5.499089184013428e-09,3.409435223034052e-08
1926,1.1146138456652466e-09,1.89484357093761e-08
1927,0.0,3.2332753363562006e-08
1928,6.8556245125250825e-09,3.427812345080383e-08
1929,5.570202965543558e-09,2.8965056131369238e-08
1930,6.302162347537887e-09,3.2561171536826805e-08
1931,1.1405356659111021e-09,3.9918749195066994e-08
1932,0.0,2.4110979879310435e-08
1933,0.0,3.9000251916831985e-08
1934,4.7926320689839486e-09,3.714289675826876e-08
1935,4.787313656606784e-09,4.547948151412129e-08
1936,6.0623572828433225e-09,6.062357016389797e-08
1937,1.2591118148108649e-09,3.777335422228134e-08
1938,5.186085783037697e-09,3.5006078036303734e-08
1939,1.5294050470515685e-09,6.117620188206274e-08
1940,0.0,5.0715659227762444e-08
1941,0.0,1.7709016475464523e-08
1942,0.0,6.068423630267716e-08
1943,8.709705845433291e-09,5.516146828199453e-08
1944,0.0,2.2492303131116387e-08
1945,0.0,5.010559434026618e-08
1946,2.7842208538686464e-09,3.201854070766785e-08
1947,0.0,4.649139739854036e-08
1948,1.0871887834440486e-09,5.3272248834446145e-08
