year,pourrait_VERB oser_VERB,pourrait_VERB poser_VERB
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,2.3811825844433088e-09,1.904946067554647e-08
1802,1.1189200677108602e-08,6.713520406265161e-09
1803,3.900678446910888e-09,3.900678446910888e-09
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,5.685755422035754e-09,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,0.0,0.0
1811,7.521229861140455e-09,1.504245972228091e-08
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,1.1502966579257645e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,0.0,0.0
1817,3.113746815941454e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,4.768470951432846e-09
1819,1.035105001712111e-09,2.2772310259711048e-08
1820,7.119888678630559e-09,1.3053129244156025e-08
1821,8.875339574387908e-09,2.3667571014129862e-08
1822,8.02049271442229e-09,1.7043547018147365e-08
1823,4.941343334508019e-09,1.7788837070042973e-08
1824,2.105278085196005e-08,7.57900142644985e-09
1825,8.805443041381977e-10,1.4969252504215547e-08
1826,0.0,4.403992281964975e-09
1827,8.295545583791863e-09,9.217273055917019e-10
1828,2.7516904310687096e-09,8.255071293206129e-09
1829,6.001223074036943e-09,9.430493719264632e-09
1830,1.0436835840010872e-09,3.235419043789989e-08
1831,0.0,3.1182412207897414e-09
1832,5.411987746839486e-09,3.6530916958099624e-08
1833,1.2741991461950875e-08,1.2741991461950875e-08
1834,2.333632664885954e-08,1.6802156110884425e-08
1835,3.781543966852041e-09,1.1344631900556124e-08
1836,4.032449929525228e-09,2.688300071440608e-08
1837,1.0436836284100082e-08,3.5485243188304594e-08
1838,6.943378316748294e-09,1.9567702125300457e-08
1839,2.027527834513876e-08,3.355908262392404e-08
1840,4.458782232319436e-09,3.184844388215424e-08
1841,1.1556987367100646e-08,2.1829865914924085e-08
1842,4.695785538189057e-09,1.9453969102301016e-08
1843,2.953455480181333e-09,2.126487963494128e-08
1844,1.4270259640625227e-08,2.4149668931272572e-08
1845,5.580227835366713e-09,2.7901139176833567e-08
1846,1.4050803187615202e-08,2.2832555401919308e-08
1847,4.314578916364553e-09,1.941560512364049e-08
1848,8.04522137798358e-09,5.63165514222419e-08
1849,2.513824481908955e-09,1.8434713311421547e-08
1850,8.82569484161877e-09,3.869727649430388e-08
1851,5.8044946626978344e-09,4.321124080775007e-08
1852,2.148479971708639e-08,2.6042181744401205e-08
1853,1.0749477752369785e-08,2.8068079416243563e-08
1854,9.871762074453727e-09,3.273268589509826e-08
1855,1.326734277995456e-08,2.388121700391821e-08
1856,1.5531567143511893e-09,3.158085348786699e-08
