year,serait_VERB à_ADP,serait_VERB a_ADP,serait_VERB pas_ADV
1800,4.549605819192948e-06,3.772997558826319e-08,1.071531278284965e-05
1801,4.512341092777206e-06,3.095537337571841e-08,1.1301092854409944e-05
1802,4.786740191775607e-06,5.818384352096473e-08,9.573480383551214e-06
1803,3.941635441151448e-06,1.0726865795618323e-07,1.032509590004338e-05
1804,5.522114861378213e-06,4.69651695311768e-08,1.6764093743404374e-05
1805,3.42851058121596e-06,4.8328920865259306e-08,1.1146923498017713e-05
1806,3.4464762848074315e-06,9.797675115663651e-08,9.953285371011589e-06
1807,4.034135599795263e-06,3.4163461837266595e-08,1.790734677342698e-05
1808,3.7299578252714127e-06,3.172503637571822e-08,1.4632039892603643e-05
1809,4.10014035878703e-06,4.292158006791169e-08,1.3895296433474869e-05
1810,4.481342784856679e-06,7.254392997424475e-08,1.6958898413577117e-05
1811,4.595471637003357e-06,4.763445726752025e-08,1.4779217963223346e-05
1812,5.5211212384165265e-06,5.3344164641089264e-08,2.162038981623482e-05
1813,6.01030023972271e-06,5.176335093892703e-08,1.9888630049536005e-05
1814,4.50918832939351e-06,2.8320093825584536e-08,1.538725155114662e-05
1815,4.391079983179225e-06,5.66416948899473e-08,1.5204249393718783e-05
1816,3.895891950378427e-06,6.952811837379613e-08,1.4962451132305432e-05
1817,5.0364856178930495e-06,8.407116713904372e-08,1.6977704945020378e-05
1818,6.078608294046717e-06,5.8413767822784735e-08,1.7949716493603773e-05
1819,5.196226993575692e-06,7.142224289768961e-08,1.7350430425722152e-05
1820,6.120731086411979e-06,8.187872069242985e-08,1.9116901967208833e-05
1821,7.126897799025755e-06,1.0453177790026302e-07,2.0538522221613675e-05
1822,6.198838491400238e-06,9.524335098376469e-08,2.07490138564026e-05
1823,5.492797299666563e-06,9.388552379974158e-08,1.8356102373218164e-05
1824,5.762567525380291e-06,6.400045471366411e-08,1.9687719031935558e-05
1825,5.9824178606504574e-06,7.924899136924068e-08,1.9713625079020858e-05
1826,5.953316758677829e-06,8.54374507808231e-08,2.00742779270513e-05
1827,7.699188245169353e-06,8.295545939063231e-08,2.6341122065787204e-05
1828,6.4646378632460255e-06,9.080577934028611e-08,2.4779888917692006e-05
1829,7.961050869198516e-06,6.429881826974793e-08,2.7981988750980236e-05
1830,7.147144970076624e-06,1.262857118877747e-07,2.69917454716051e-05
1831,7.348135568463476e-06,9.978371995345015e-08,2.9047976568108425e-05
1832,7.664727490919176e-06,8.794480221840928e-08,2.7245299861533567e-05
1833,6.927009962964803e-06,5.791814139399776e-08,2.6569368856144138e-05
1834,7.311738045245875e-06,1.0174638620519261e-07,2.7764628612203524e-05
1835,6.572323400177993e-06,7.487457054367042e-08,2.4257091354229487e-05
1836,6.684458185191033e-06,9.140219769943059e-08,2.380758451181464e-05
1837,7.0671298999513965e-06,8.627784886527934e-08,2.310089439561125e-05
1838,6.741388915543212e-06,7.890202535776325e-08,2.3454731490346603e-05
1839,6.811794264649507e-06,7.341049279574463e-08,2.3805274395272136e-05
1840,7.063347766234074e-06,8.662776718182386e-08,2.6025274564744905e-05
1841,7.179457497841213e-06,7.512041477752973e-08,2.829792538250331e-05
1842,7.249621830851538e-06,8.586579536284944e-08,2.8319611374172382e-05
1843,7.230649771372555e-06,8.328744405261546e-08,2.7757756470236927e-05
1844,7.092318810464349e-06,9.604982320610134e-08,3.004109203175176e-05
1845,7.097492016328033e-06,1.0435025982191704e-07,2.8643309633480385e-05
1846,7.156542324082693e-06,1.0889372581424084e-07,2.818883876898326e-05
1847,7.260896836669417e-06,1.1433633950730382e-07,2.936394594144076e-05
1848,7.462747817044146e-06,8.849743893257767e-08,2.9702958272537217e-05
1849,7.053791705402546e-06,1.1814975309221154e-07,3.0811108445050195e-05
1850,6.337527793220943e-06,1.1269733324326126e-07,2.8352884328342043e-05
1851,6.584231869055657e-06,1.0641573955361139e-07,2.7716463591787033e-05
1852,6.3861939452181105e-06,1.3216407390714835e-07,2.7192594643565826e-05
1853,6.115855285315774e-06,9.85368719952362e-08,2.5648252631071955e-05
1854,6.181282060424564e-06,8.105236215527611e-08,2.586089976830408e-05
1855,6.206462785485201e-06,9.60555652795847e-08,2.5335848476970568e-05
1856,6.089927865104983e-06,8.801221662579906e-08,2.6301673642592505e-05
1857,6.059905444999458e-06,1.0007093376174225e-07,2.4384602511418052e-05
