year,seront_VERB heureux_ADJ
1800,1.2891074163690064e-07
1801,1.5953922627431893e-07
1802,1.5217312920867698e-07
1803,1.170203560718619e-07
1804,1.2606439270257397e-07
1805,1.0802935435094696e-07
1806,1.440834580535011e-07
1807,9.964342950752325e-08
1808,1.8808414381510374e-07
1809,7.228897658251299e-08
1810,9.360506680877734e-08
1811,5.515568801683912e-08
1812,4.267533171287141e-08
1813,1.1502966401621961e-07
1814,1.4789382873914292e-07
1815,1.2407228666688752e-07
1816,8.57513455798653e-08
1817,1.2299300067297736e-07
1818,1.287487094714379e-07
1819,1.1489665752151268e-07
1820,1.281579926626364e-07
1821,2.3470342114251252e-07
1822,1.3634837614517892e-07
1823,1.1562743651438723e-07
1824,1.1031657720650401e-07
1825,9.509878395874694e-08
1826,1.0569581121444571e-07
1827,9.309445658800541e-08
1828,9.906085551847355e-08
1829,1.7660742912539718e-07
1830,8.453837097022188e-08
1831,9.822459645647541e-08
1832,1.244757186213974e-07
1833,1.1467792404573629e-07
1834,1.0921401383257034e-07
1835,1.104210838320796e-07
1836,1.3508707752407645e-07
1837,1.0088941593267009e-07
1838,8.142689011947368e-08
1839,9.019002789045771e-08
1840,1.254828703167732e-07
1841,1.6308193551139993e-07
1842,1.636816620020909e-07
1843,1.3231480977538013e-07
1844,1.470934449798733e-07
1845,1.0044410458931452e-07
1846,1.2528633419606194e-07
1847,1.7258315665458213e-07
1848,1.6251347290108242e-07
1849,1.4747770649137237e-07
1850,1.3849552260580822e-07
1851,1.2834382800974709e-07
1852,1.438830565803073e-07
1853,1.3496565998138976e-07
1854,1.1586331538637751e-07
1855,1.427566047595974e-07
1856,1.625637366942101e-07
1857,1.723172715628607e-07
1858,1.512145928472819e-07
1859,1.843366703724314e-07
1860,2.2336656968491297e-07
1861,1.7920662287451705e-07
1862,1.5948491238759743e-07
1863,1.6682034242876398e-07
1864,1.706923171695962e-07
1865,1.9345129942394124e-07
1866,2.4425375499959046e-07
1867,2.0139167133947922e-07
1868,1.817873709342166e-07
1869,1.8166690551879583e-07
1870,1.5596612001900212e-07
1871,2.8570966037477774e-07
1872,1.7295390364324703e-07
1873,1.8317173555715272e-07
1874,2.0492909413860616e-07
1875,1.785116410246701e-07
1876,1.6445160611056053e-07
1877,1.873999195822762e-07
1878,2.765902706869383e-07
1879,2.541479204865027e-07
1880,2.2205747995940328e-07
1881,2.3218450451167882e-07
1882,2.236209439843151e-07
1883,2.110659238496737e-07
1884,2.8783398420273443e-07
1885,2.5266891157116333e-07
1886,3.0008607154741185e-07
1887,3.0490076596834115e-07
1888,2.599651907075895e-07
1889,2.4308729962285724e-07
1890,2.9494739806068537e-07
1891,2.8174051180940296e-07
1892,2.8521731110231485e-07
1893,2.925247883922566e-07
1894,3.2326897780876607e-07
1895,3.117642393135611e-07
1896,3.2787480108709133e-07
1897,3.222172608730034e-07
1898,3.236579004806117e-07
1899,2.957254423563427e-07
1900,2.808359624850709e-07
1901,3.2917671433096984e-07
1902,2.656463493622141e-07
1903,3.337336238473654e-07
1904,3.2516481951461174e-07
1905,3.2925643722592213e-07
1906,3.0093480063442257e-07
1907,3.40970501611082e-07
1908,3.0597954037148156e-07
1909,2.998036165990925e-07
1910,3.93329486314542e-07
1911,4.320143887071026e-07
1912,3.156909258450469e-07
1913,3.1977029379959276e-07
1914,3.214437072074361e-07
1915,3.5577900803218654e-07
1916,4.131285606945312e-07
1917,3.893080702255247e-07
1918,3.687126763907145e-07
1919,3.517397999530658e-07
1920,3.6346710885482025e-07
1921,3.066962790398975e-07
1922,3.969329327446758e-07
1923,3.23786423450656e-07
1924,3.197122850906453e-07
1925,2.6505608730076347e-07
1926,2.953726720988925e-07
1927,3.1217828677654325e-07
1928,2.845084168257017e-07
1929,2.1946600270439376e-07
1930,2.920001804795902e-07
1931,3.011014086951036e-07
1932,2.4220577188316383e-07
1933,2.408839065992652e-07
1934,2.3603712406838895e-07
1935,2.585149445621937e-07
1936,2.86143261973848e-07
1937,2.89595703861778e-07
1938,2.51525165140265e-07
1939,2.3858717668190366e-07
1940,1.8511215671423997e-07
1941,2.6858674573304597e-07
1942,3.155580259317503e-07
1943,2.438717672248458e-07
1944,2.8276036800889415e-07
1945,2.5924197188942344e-07
1946,2.3109032554202713e-07
1947,3.0875057177581766e-07
1948,1.9786835991908447e-07
1949,2.0812058210140094e-07
1950,2.3397795700930146e-07
1951,2.8039485755471105e-07
1952,2.6889250648309826e-07
1953,1.9823842478672304e-07
1954,2.3063185494720528e-07
1955,2.139918535704055e-07
1956,2.3808716775874927e-07
1957,2.0232236863648723e-07
1958,2.0763330610407138e-07
1959,1.9996929268017993e-07
1960,2.1039333830685791e-07
1961,2.126136706692705e-07
1962,1.7503799654150498e-07
1963,2.0303407666233397e-07
1964,1.9529538519691414e-07
1965,1.980879744678532e-07
1966,1.622948957447079e-07
1967,1.765060204661495e-07
1968,1.5944526410294202e-07
1969,1.689533917215158e-07
1970,1.6509422096078197e-07
1971,1.7470551938458811e-07
1972,1.456961769008558e-07
1973,1.7146064124062832e-07
1974,1.4570230177923804e-07
1975,1.3364864059894899e-07
1976,1.176986543782732e-07
1977,1.4868257380840078e-07
1978,1.544553782650837e-07
1979,1.5390689611649577e-07
1980,1.4042322504792537e-07
1981,1.6256662149771728e-07
1982,1.0676903627881984e-07
1983,1.1430721968963553e-07
1984,1.3627669659399544e-07
1985,1.425687230494077e-07
1986,1.0969908714741905e-07
1987,1.3199364445881656e-07
1988,1.4151866878364672e-07
1989,1.6025316540435597e-07
1990,1.1823572521052483e-07
1991,1.1195398741392637e-07
1992,1.1405584388057832e-07
1993,1.1964688440002647e-07
1994,1.0497103630768834e-07
1995,1.1116024012380876e-07
1996,1.0035613229320006e-07
1997,1.1268001998132604e-07
1998,8.916401839087484e-08
1999,1.0328654553859451e-07
2000,9.145325208237409e-08
2001,7.798556822535829e-08
2002,8.806254925275425e-08
2003,9.875607531739661e-08
2004,1.1144121714323774e-07
2005,1.0088399449159624e-07
2006,9.800577771557073e-08
2007,1.2143217986704258e-07
2008,1.3921827246576868e-07
2009,1.2397300963584712e-07
2010,1.5068900438564015e-07
2011,2.1223044655016565e-07
2012,2.3455301345620683e-07
2013,1.8212986674370768e-07
2014,1.896929973099759e-07
2015,2.0082173080027133e-07
2016,2.0920533927437646e-07
2017,1.7735059998358338e-07
2018,2.005799615290016e-07
2019,1.8494661446766258e-07
