year,seraient_VERB à_ADP,seraient_VERB a_ADP,seraient_VERB pas_ADV
1800,3.584347609830729e-07,0.0,2.9114962671883404e-06
1801,5.857709197698568e-07,0.0,2.81693905890279e-06
1802,5.124653625898645e-07,4.475680270843441e-09,2.8219164960319176e-06
1803,5.655983841279522e-07,3.900678446910888e-09,3.128344133074279e-06
1804,6.624560455747996e-07,2.4718509461507665e-09,4.488881131692324e-06
1805,4.3211741740378784e-07,2.842877711017877e-09,3.2948953503364464e-06
1806,4.725937401417468e-07,2.881669125542885e-09,3.5329262573213782e-06
1807,6.576466375918244e-07,5.693910232196231e-09,5.580031938734464e-06
1808,6.526292963826563e-07,0.0,4.1922367017832585e-06
1809,5.873479267393122e-07,1.3554183553310395e-08,3.3343289942422416e-06
1810,6.271539518820646e-07,4.680253518074551e-09,4.446240836841753e-06
1811,7.345735184571822e-07,2.0056613703189896e-08,4.768459803017322e-06
1812,7.228134109027451e-07,8.00162469616339e-09,5.209057690080954e-06
1813,8.05207662324392e-07,5.751483289628823e-09,4.949151389155304e-06
1814,8.338694215126452e-07,0.0,4.553241979010636e-06
1815,4.5043634600006044e-07,1.3486117778072071e-08,4.315557816880755e-06
1816,6.605171165574575e-07,2.3176038865813098e-09,3.863445726892678e-06
1817,7.472992251678079e-07,7.784366928831332e-09,4.272060778021114e-06
1818,7.784528861520812e-07,5.9605886892910576e-09,5.164254162082216e-06
1819,7.473458367712738e-07,2.0702100145264524e-08,5.0637336244108155e-06
1820,8.615065212325135e-07,5.933240565525466e-09,5.49418064110796e-06
1821,8.579494874538796e-07,4.930744257336528e-09,5.447486273624236e-06
1822,9.474206876802782e-07,1.0025615893027862e-09,5.308563686412526e-06
1823,7.115534685908642e-07,7.90614973489312e-09,4.795079803443514e-06
1824,7.899003549027839e-07,8.421112696055388e-09,5.186563157622004e-06
1825,7.6783464919572e-07,2.641632912414593e-09,5.259490990283666e-06
1826,1.0322958132746862e-06,2.642395191543301e-09,5.483851055032574e-06
1827,1.2295841997911339e-06,4.608636472447358e-09,6.894520083733369e-06
1828,8.906304742595239e-07,2.7516904310687096e-09,6.4600517362123355e-06
1829,1.0116348221345106e-06,5.143905745796928e-09,6.919410225236788e-06
1830,1.0989988368237391e-06,8.349468672008697e-09,6.342464985209517e-06
1831,1.0898253322011442e-06,4.677361609140007e-09,6.86168959873612e-06
1832,1.166283368547738e-06,1.4882966192786284e-08,6.917873179190792e-06
1833,1.1595211617532186e-06,1.2741991461950875e-08,7.129723144316813e-06
1834,1.3348379752642359e-06,1.0267983796552471e-08,7.5077632573083974e-06
1835,1.2153882380516734e-06,8.31939672707449e-09,6.1359332903521135e-06
1836,1.1418554777264944e-06,4.032449929525228e-09,6.218710041139275e-06
1837,1.0513373354115174e-06,1.6003149028165353e-08,5.928819064138224e-06
1838,1.1393452723496011e-06,4.418513555037862e-09,6.202330496307695e-06
1839,1.2437834584488883e-06,1.3283802613450746e-08,6.261564976739464e-06
1840,1.142085125138692e-06,5.095750821304534e-09,6.934043085493613e-06
1841,1.0696634262785665e-06,7.0626033910059505e-09,7.266776719916379e-06
1842,1.1108886610600166e-06,1.0733223643200063e-08,6.906829639774514e-06
1843,1.1246759186178679e-06,8.860366773610906e-09,6.941211267985636e-06
1844,1.3337204336494324e-06,8.781698035420504e-09,7.074755558278412e-06
1845,1.2287662229937268e-06,1.562463758375543e-08,7.4920139923051465e-06
1846,1.1117698477391968e-06,1.0538102612756006e-08,6.951049272174714e-06
1847,1.1536105830600718e-06,2.1033572217277197e-08,7.818556696292944e-06
1848,1.1440305343057844e-06,1.4481399079890878e-08,7.75398439145647e-06
1849,1.4094175639911555e-06,1.256912263158938e-08,8.22942365630297e-06
1850,1.3197808357290342e-06,1.0183494048021657e-08,6.999454853939824e-06
1851,1.1041439620385063e-06,1.6123596680017727e-08,7.0879332270124e-06
1852,1.0859589565370698e-06,1.0416872697760482e-08,6.89206353854388e-06
1853,1.0868916433537379e-06,1.3138249821409431e-08,6.356524409056874e-06
1854,1.1378505178072373e-06,1.6626126086993764e-08,6.763716100977035e-06
1855,9.557793418935034e-07,1.1675261646360013e-08,6.15923136138008e-06
1856,1.0162822263737326e-06,1.5013848553291353e-08,6.26388145974488e-06
1857,9.553112931826035e-07,1.1227470564367792e-08,5.77921855438035e-06
1858,9.73352143773809e-07,1.0766087521485446e-08,5.983008122711908e-06
1859,1.043386305354943e-06,1.2730432930041502e-08,6.35605056231725e-06
1860,9.895871926346445e-07,8.238931037407582e-09,6.27211511528003e-06
1861,1.0667509968698141e-06,3.772771095533756e-09,6.5419849306636024e-06
1862,1.0282936955263722e-06,9.035972969861916e-09,6.459816631831927e-06
1863,1.1487627489259467e-06,8.990317823531768e-09,6.011026016494725e-06
