year,eût_VERB assez_ADV,eût_VERB passé_VERB
1800,3.20704771183955e-07,5.533729563467205e-07
1801,2.4288061695187935e-07,5.024295433031511e-07
1802,3.110597788236191e-07,5.840762469233596e-07
1803,2.6719646939454833e-07,5.070882025393075e-07
1804,2.694317515761213e-07,5.981879098726495e-07
1805,4.09374393939288e-07,4.662319383896829e-07
1806,4.553037342702737e-07,4.2072369410561805e-07
1807,3.7295112065294234e-07,5.750849254582135e-07
1808,2.900574713748938e-07,4.804076638720289e-07
1809,4.179206598564633e-07,4.811735152543406e-07
1810,4.376037168185576e-07,5.078074991615722e-07
1811,3.334412213007454e-07,5.615851819129603e-07
1812,3.0939614248381986e-07,6.107906642682792e-07
1813,3.6521919355436694e-07,5.693968319064879e-07
1814,2.0768068509369186e-07,3.555745138328348e-07
1815,4.180696464572975e-07,4.3155577600373363e-07
1816,3.1287652291212e-07,4.565679603274475e-07
1817,3.26943421669057e-07,7.426286288136907e-07
1818,2.9564520787062065e-07,4.899603709418443e-07
1819,3.7884842640778515e-07,6.500459335256892e-07
1820,3.9871378021416604e-07,7.108022259671998e-07
1821,3.2444296493849833e-07,5.463264756144781e-07
1822,3.478888856989215e-07,7.76985245920514e-07
1823,4.36814758586479e-07,9.536793186271098e-07
1824,3.915817501365382e-07,6.164254386931134e-07
1825,3.7247025375108933e-07,6.665720206910919e-07
1826,3.1884903251011565e-07,5.496182211572886e-07
1827,3.7145611031519365e-07,6.212442258402007e-07
1828,3.182788645972323e-07,6.108752472755441e-07
1829,2.717696929721569e-07,6.687077416245302e-07
1830,2.776198471110547e-07,5.81331732973922e-07
1831,1.9956743813054345e-07,6.189708869897004e-07
1832,3.396022236756835e-07,5.411988013293012e-07
1833,2.617900065615686e-07,5.652810841638711e-07
1834,2.5016544213940506e-07,4.909963422505825e-07
1835,2.805905694458488e-07,5.604248372037546e-07
1836,2.4799567199806916e-07,5.517735530702339e-07
1837,2.497882860552636e-07,4.877481387666194e-07
1838,3.3075727401410404e-07,5.781940330962243e-07
1839,2.9993427119734406e-07,4.5794160996592836e-07
1840,2.6561602339825185e-07,4.7390483359777136e-07
1841,1.9646878968160308e-07,4.3210292233197833e-07
1842,2.851012652627105e-07,5.90998126881459e-07
1843,2.2209985672816401e-07,4.814132239516766e-07
1844,2.0143019696661213e-07,5.26353005625424e-07
1845,2.382757315899653e-07,4.503243928866141e-07
1846,2.2305650304588198e-07,5.473958708535065e-07
1847,1.8768417930914438e-07,4.2336804995102284e-07
1848,1.5768634398227732e-07,3.8858419770804176e-07
1849,1.3909829021940823e-07,3.8461513440779527e-07
1850,1.6633040900160267e-07,5.471930535350111e-07
1851,1.857438292063307e-07,4.334022776220081e-07
1852,2.3112436053907004e-07,4.876398520536895e-07
1853,1.8035234461422078e-07,4.664078687710571e-07
1854,2.182179059673217e-07,4.608554320384428e-07
1855,2.000715255690011e-07,4.2614703943399945e-07
1856,2.226191355703122e-07,3.92948663829884e-07
1857,1.923314556506739e-07,6.633970883740403e-07
1858,1.3017178446261823e-07,5.099210511616548e-07
1859,1.6855094031598128e-07,5.102357931718871e-07
1860,2.0276924317386147e-07,5.336996196092514e-07
1861,1.6788830237146612e-07,4.428289912539185e-07
1862,1.7077988445635128e-07,4.843281544708589e-07
1863,1.8979558547016495e-07,4.669970508075494e-07
1864,1.7980229927161417e-07,4.540607392300444e-07
1865,1.812135081991073e-07,4.838635732085095e-07
1866,1.6591739893101476e-07,5.546799002331682e-07
1867,1.514077183628615e-07,3.945335720345611e-07
1868,1.541240663982535e-07,4.2433518387952063e-07
1869,1.2404139226873667e-07,5.054442340224341e-07
1870,1.7259486639886745e-07,5.063164962848532e-07
1871,1.1895718898813357e-07,3.1438685255125165e-07
1872,1.3364619633193797e-07,3.9065812984517834e-07
1873,1.0834668273673742e-07,3.2982885045385046e-07
1874,1.3383125008203933e-07,3.5369686202102457e-07
1875,1.7107366545587865e-07,3.461524045178521e-07
1876,1.2152489148320456e-07,4.087106049155409e-07
1877,1.4781710433453554e-07,3.8964341797509405e-07
1878,1.1715832215486444e-07,3.641570458512433e-07
1879,1.1241158404118323e-07,4.245981131134613e-07
1880,1.3413298916020722e-07,3.26026594166251e-07
1881,9.064260098057275e-08,2.998178274538077e-07
1882,1.3776647733720893e-07,2.9084031893944484e-07
1883,1.2133131122027407e-07,3.05224062913112e-07
1884,1.1024833668216161e-07,3.294246653240407e-07
1885,1.2182250941350503e-07,3.1003509093352477e-07
1886,1.0390076710109497e-07,2.7943499958382745e-07
1887,1.1164461000134906e-07,3.486445621092571e-07
1888,1.0398608196737769e-07,3.3732069937286724e-07
1889,9.58565919972898e-08,2.9822049896210956e-07
1890,1.1470176275452104e-07,3.290302004188561e-07
1891,8.796423855983448e-08,3.340091438985837e-07
1892,8.337121215618026e-08,2.6954603526974097e-07
1893,7.143763269823467e-08,2.7836043159368273e-07
1894,6.994708456886656e-08,2.3063633136644057e-07
1895,5.657497581523785e-08,2.6722648271970684e-07
1896,9.199365536005644e-08,2.6654569751372037e-07
1897,7.225124676324413e-08,2.1092702695568732e-07
1898,1.0185038945564884e-07,2.433092731735087e-07
1899,1.0281296169978305e-07,2.802482299557596e-07
1900,9.863001082521805e-08,2.450177021273703e-07
1901,7.433023085923196e-08,2.537287571158231e-07
1902,5.155797921929661e-08,2.3176539798441809e-07
1903,1.0530429506161454e-07,2.376096972511732e-07
1904,4.83716249277677e-08,2.2519679987453856e-07
1905,7.121847289681682e-08,2.415235371699964e-07
1906,8.847997179373124e-08,2.5566598083059944e-07
1907,1.0337114986214146e-07,2.0622802310299448e-07
1908,8.152905905944863e-08,2.303441419826413e-07
1909,7.536347368386487e-08,2.480943521732115e-07
1910,8.817848851094823e-08,2.4529651909688255e-07
1911,6.969690247160543e-08,2.410129411600792e-07
1912,8.387168293211289e-08,2.870391142550943e-07
1913,7.636305099367746e-08,2.9113414257153636e-07
1914,8.170027143705738e-08,2.2568026736280444e-07
1915,3.534228554258334e-08,2.2147833078633994e-07
1916,2.966614687238689e-08,2.7248904643784044e-07
1917,6.68951898319392e-08,2.1274863115650078e-07
1918,7.810736235569493e-08,1.9871430367857101e-07
1919,8.102906434714896e-08,2.1914678427492618e-07
1920,6.587841738792122e-08,2.165658230524059e-07
1921,7.042655170153012e-08,2.499006654943514e-07
1922,6.123686802084194e-08,2.2650262110346375e-07
1923,5.095655097875351e-08,2.3885883138063946e-07
1924,7.477142105472012e-08,2.3076007948930055e-07
1925,5.939016034517408e-08,2.1226483681857644e-07
1926,9.028372005559504e-08,2.764242310604459e-07
1927,6.243566019747959e-08,2.620067789393943e-07
1928,5.484499610020066e-08,1.8167405357871758e-07
1929,1.0583386256257654e-07,2.5511531021038536e-07
1930,5.882018072611572e-08,1.848634241241598e-07
1931,8.097803316786667e-08,1.8362624132350902e-07
1932,6.685317543997371e-08,1.9946357099343004e-07
1933,4.588265056781893e-08,1.915600620350233e-07
1934,5.391711255242626e-08,1.7612923386423063e-07
1935,5.984141893122796e-08,1.7354011561110383e-07
1936,7.63857030960935e-08,1.600462269379932e-07
1937,5.162358363008934e-08,1.6620275289369602e-07
1938,3.241303758727554e-08,1.4780344770315423e-07
1939,7.647025057622159e-08,1.8352861275161558e-07
1940,4.564409294971483e-08,1.52146981236001e-07
1941,6.198155233505531e-08,1.3872062254449702e-07
1942,3.034211815133858e-08,1.608132293995368e-07
1943,5.8064703267746154e-08,1.7129087837020052e-07
1944,4.819779064746399e-08,2.4420214117526484e-07
1945,4.7927088075994106e-08,1.6774481537140673e-07
1946,5.8468636154884734e-08,1.600926964329119e-07
1947,6.318061451793255e-08,2.1457567811467015e-07
1948,5.544662684542345e-08,1.9678117268995265e-07
1949,5.3011845579931105e-08,1.1584069881109826e-07
1950,6.593923984610228e-08,1.2975141316928784e-07
1951,5.970385075215745e-08,1.6098717026125087e-07
1952,5.377849987553418e-08,1.613355067320299e-07
1953,3.663101466599983e-08,1.8100030274581513e-07
1954,5.570345606997762e-08,1.3877001947548706e-07
1955,4.974372203037092e-08,8.72861534162439e-08
1956,5.843164885277474e-08,1.30817127796945e-07
1957,6.096176008441034e-08,1.2369052626581833e-07
1958,6.700517474200751e-08,9.926692001727133e-08
1959,2.6352543258667538e-08,1.2091166468053416e-07
1960,4.6369581951921646e-08,1.4326124642138893e-07
1961,4.168895628708924e-08,1.5772322115026327e-07
1962,4.693047728210331e-08,1.4459661201726703e-07
1963,5.1728427763464424e-08,1.2932106585594738e-07
1964,5.2322128851756133e-08,1.5270759945451573e-07
