year,ait_VERB osé_VERB,ait_VERB posé_VERB
1800,6.539862056342827e-07,3.144164395507687e-08
1801,8.667504403092607e-07,2.6193008650921e-08
1802,5.773627549388038e-07,4.699464284385613e-08
1803,3.666637837795861e-07,5.070882025393075e-08
1804,6.723434466948675e-07,3.9549615138412264e-08
1805,8.01691498963919e-07,6.822906328807221e-08
1806,4.927654231323686e-07,6.916005901302924e-08
1807,5.181458391234628e-07,1.9928686256776018e-08
1808,5.982435595797142e-07,3.852325747288887e-08
1809,4.743964154840796e-07,5.873479480555943e-08
1810,5.756712084803439e-07,8.424456154898508e-08
1811,6.142337838355161e-07,7.521229861140455e-09
1812,5.601137331723294e-07,3.7340914360584065e-08
1813,5.722725973100751e-07,4.3136125782439194e-08
1814,4.7200157382576435e-07,2.2026739543434815e-08
1815,5.960864086773654e-07,3.776112933451259e-08
1816,4.936496225127485e-07,4.1716869958463576e-08
1817,6.834674195488333e-07,7.7843672841027e-08
1818,6.055958010620088e-07,6.199012148044858e-08
1819,8.632775916339597e-07,3.415846627774499e-08
1820,7.748812436148e-07,3.20394981656591e-08
1821,8.352680538337154e-07,4.043210211079895e-08
1822,6.125651452748571e-07,5.3135764233047666e-08
1823,6.344685061776545e-07,2.2730179738417178e-08
1824,5.389512125475449e-07,3.115811608722652e-08
1825,5.987701001686219e-07,7.220463515977826e-08
1826,5.223134849074995e-07,3.8755130660206305e-08
1827,4.1662073613224493e-07,3.2260455640198415e-08
1828,4.7512520495729405e-07,2.2013523448549677e-08
1829,5.88119860367442e-07,5.4868325438661714e-08
1830,5.729822873945523e-07,4.4878394334091354e-08
1831,5.940249252489593e-07,6.080570358335535e-08
1832,5.790826662632753e-07,4.7354892895867806e-08
1833,5.189465355215361e-07,7.761031284303499e-08
1834,4.4805747734244505e-07,4.387229601832132e-08
1835,4.273144611488533e-07,4.61348363955949e-08
1836,4.113099123514985e-07,5.981467721127842e-08
1837,3.743345189377578e-07,3.131051051763478e-08
1838,3.780984911827545e-07,4.039783663145613e-08
1839,4.4395866893864877e-07,7.480878361221244e-08
1840,4.732678746677266e-07,5.987507467608566e-08
1841,4.6356359462151886e-07,6.741575653279597e-08
1842,5.104989782012126e-07,4.360372329870188e-08
1843,4.737342749194795e-07,5.316219997553162e-08
1844,4.319497861615673e-07,7.025358167433993e-08
1845,3.8726781781406316e-07,7.086889741714231e-08
1846,4.812400220544077e-07,6.381406270072887e-08
1847,4.7460366658924613e-07,6.040410482910374e-08
1848,3.7410279674077174e-07,7.321152128980657e-08
1849,4.1310516962766997e-07,8.965974052088654e-08
1850,3.5981679502583575e-07,6.992665735339187e-08
1851,4.5920003799437836e-07,5.482022946701193e-08
1852,3.444078515713045e-07,6.836072619087474e-08
1853,4.437145264546416e-07,6.927441242865484e-08
1854,3.7668567642867856e-07,4.728054703306839e-08
1855,3.7466975300048944e-07,5.306937111981824e-08
1856,4.374724937861174e-07,5.177189388305692e-08
1857,4.2420313661750697e-07,5.5161053724717135e-08
1858,4.237923292293999e-07,6.557525988881707e-08
1859,4.4760204787053226e-07,7.434573134901257e-08
1860,4.137774283208273e-07,4.348324789127389e-08
1861,4.2160715452155273e-07,5.70631621954476e-08
1862,3.9216121194840525e-07,9.487771368554831e-08
1863,3.626094837727578e-07,6.293222387654396e-08
1864,4.094697771961364e-07,6.712618993987007e-08
1865,3.610149690302933e-07,7.625087605767078e-08
1866,3.4497196566007915e-07,4.670988440480528e-08
1867,3.275647770806245e-07,6.939520602600169e-08
1868,3.734544691269548e-07,5.335063857359046e-08
1869,4.0533208789383934e-07,5.078859866003427e-08
1870,3.744333980648662e-07,7.683625113941162e-08
1871,3.494367319945013e-07,5.8416475656741795e-08
1872,3.573977664927952e-07,5.624025689598966e-08
1873,2.993002112816612e-07,5.5071240456783244e-08
1874,3.2621366585772194e-07,4.241972462182275e-08
1875,3.547346807408758e-07,7.380769773135398e-08
1876,2.883949150600529e-07,6.348315606530264e-08
1877,3.717074434916867e-07,7.421779324445765e-08
1878,3.291303301011794e-07,5.1936163369958877e-08
1879,4.0688107105779636e-07,6.720257905712401e-08
1880,3.3308623414995964e-07,5.005920056255775e-08
1881,3.444418723574927e-07,7.1119573785694e-08
1882,3.3143817290692823e-07,5.3243080166964774e-08
1883,2.5846097173598537e-07,6.129758745032632e-08
1884,2.48883964104607e-07,5.545425540987026e-08
1885,2.894090300742391e-07,6.574548416793391e-08
1886,2.7362688115317724e-07,4.969167233248584e-08
1887,2.6899169824901037e-07,8.161156017649773e-08
1888,2.7581674544308044e-07,5.326116303550066e-08
1889,2.3243657665261708e-07,5.7012744747453326e-08
1890,2.1367300462316052e-07,3.998175612807131e-08
1891,3.002257642492623e-07,4.206985160237764e-08
1892,2.8772473115168395e-07,6.393882490129954e-08
1893,2.290930893877885e-07,3.6334658393144537e-08
1894,2.886104937260825e-07,5.923446866340498e-08
1895,2.485687673470238e-07,4.694519439851774e-08
