year,auraient_VERB uni_VERB,auraient_VERB puni_VERB
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,6.713520406265161e-09
1803,0.0,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,5.693910232196231e-09,2.562259560079383e-08
1808,4.5321479902327155e-09,2.4926814390369145e-08
1809,6.7770917766551975e-09,0.0
1810,0.0,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,1.8670457180292033e-08
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,1.0788894222457657e-08
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,4.140420006848444e-09,9.315945348475907e-09
1820,0.0,9.493184904840746e-09
1821,0.0,1.2819934447350079e-08
1822,0.0,3.0076847679083585e-09
1823,0.0,1.8777104315859106e-08
1824,2.5263338088166165e-09,5.894778887238772e-09
1825,0.0,6.163809906922779e-09
1826,0.0,8.807984341885344e-10
1827,0.0,8.295545583791863e-09
1828,3.668920500743411e-09,5.503380862137419e-09
1829,1.714635211591542e-09,1.0287811491593857e-08
1830,0.0,7.305785310052215e-09
1831,1.4032085715598441e-08,1.5591206548037917e-08
1832,0.0,1.2176972319366541e-08
1833,0.0,1.9692167896323554e-08
1834,1.6802156110884425e-08,9.334530925997342e-10
1835,4.5378527602224494e-09,3.025235173481633e-09
1836,6.720750067579218e-10,1.0753200108126748e-08
1837,0.0,0.0
1838,0.0,6.312161904276081e-09
1839,3.4957374772659477e-09,9.088918062616358e-09
1840,1.9109065441114126e-09,1.3376346252869098e-08
1841,1.926164561183441e-09,8.988767952189392e-09
1842,0.0,6.708265054555795e-09
1843,7.678984559333912e-09,2.953455480181333e-09
1844,3.2931368743049916e-09,1.0428266250528395e-08
1845,1.674068439427856e-09,4.464182357111213e-09
1846,0.0,1.7563503984519002e-09
1847,0.0,1.0786447290911383e-08
1848,8.04522137798358e-09,7.24069959545659e-09
1849,8.379414939696517e-10,0.0
1850,6.1100964288129944e-09,6.1100964288129944e-09
1851,1.9348316282474798e-09,7.739326512989919e-09
1852,5.859490670445666e-09,3.2552727180501506e-09
1853,0.0,5.971931837933653e-10
1854,1.558699391779328e-09,3.117398783558656e-09
1855,5.306937111981824e-10,3.1841622671890946e-09
1856,3.1063134287023786e-09,1.0354378465748937e-09
1857,4.881509085841174e-10,4.881509085841174e-10
1858,8.808616946964776e-09,9.787352261980686e-09
1859,5.092173349652285e-09,4.582956236731661e-09
1860,5.034902272882391e-09,5.950338888283113e-09
1861,9.431927461278633e-10,5.659156698811785e-09
1862,2.2589932147099034e-09,1.1746764450037972e-08
1863,1.4983863039219614e-09,3.496234635136375e-09
1864,1.9178911792039344e-09,8.63051052846231e-09
1865,7.530950973944073e-09,1.882737743486018e-09
1866,3.4059290943133647e-09,9.244664589402873e-09
1867,0.0,3.88224918879132e-09
1868,3.457911734727759e-09,3.457911734727759e-09
1869,0.0,0.0
1870,7.454262984651905e-09,5.160643912205387e-09
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,6.047339518033823e-09,9.071008832961525e-09
1873,2.9930022904522957e-09,0.0
1874,0.0,9.559374625212058e-09
1875,1.716458086775674e-09,2.8607636259891933e-09
1876,6.04601479992084e-10,5.441413541973361e-09
1877,1.2369631985365004e-09,1.2369631985365004e-09
1878,3.6234530931267273e-09,0.0
1879,1.221865053580018e-09,8.55305515301552e-09
1880,3.2089231272180996e-09,3.8507077526617195e-09
1881,4.183504653809678e-09,6.972507571312292e-10
1882,1.9966155395678697e-09,3.9932310791357395e-09
1883,8.21514056781325e-09,6.319338941018771e-10
1884,4.621187876807653e-09,1.3203393933736152e-09
1885,1.2891271383708158e-09,1.2891271383708158e-09
1886,1.2906927748801422e-09,1.097088819790315e-08
1887,0.0,5.876032105334161e-09
1888,6.340614699951175e-10,7.60873763994141e-09
1889,3.132568426877924e-09,2.5060546970934183e-09
1890,1.3108772956016423e-09,1.9663159989136147e-09
1891,3.1871101313640793e-09,6.374220040683554e-10
1892,6.268512375839919e-10,3.761107425503951e-09
1893,6.158416554491453e-10,3.079208221734575e-09
1894,6.301539290376468e-10,5.041231432301174e-09
1895,3.0093072478365457e-09,0.0
1896,0.0,0.0
1897,1.1653427112179315e-09,1.1653427112179315e-09
1898,1.6975064687230201e-09,1.0185038590293516e-08
1899,5.527578395003729e-10,2.7637891975018647e-09
1900,4.15284251431558e-09,1.038210628578895e-09
1901,5.029864968975062e-09,0.0
1902,1.9641135384773634e-09,4.910283846193408e-10
1903,2.1600881083827517e-09,2.1600881083827517e-09
1904,5.374625189347171e-10,1.6123875568041512e-09
1905,2.580379465655369e-09,5.160758931310738e-09
1906,5.144184633820714e-09,0.0
1907,5.142843373384665e-10,5.142843373384665e-10
1908,9.822778146428846e-10,9.822778146428846e-10
