year,grand_ADJ art_NOUN,grand_ADJ part_NOUN
1800,2.1443201436710524e-06,0.0
1801,2.7169294298801105e-06,2.3811825400343878e-08
1802,1.6067691888110858e-06,2.2378401354217203e-08
1803,1.7475039264525094e-06,1.5602713787643552e-08
1804,2.311180542946545e-06,1.2359254952798437e-08
1805,2.3141024030337576e-06,2.842877711017877e-09
1806,2.077683348034043e-06,8.645007376628655e-09
1807,1.6028356792929799e-06,8.540865792383556e-09
1808,2.3476526123111796e-06,0.0
1809,1.6016526762641092e-06,1.581321384946932e-08
1810,1.8931625049845024e-06,2.3401267590372754e-09
1811,1.4616257146826683e-06,2.5070768572277302e-08
1812,1.5363119851841134e-06,1.600324850414836e-08
1813,1.6477999906783225e-06,0.0
1814,1.3939779819338582e-06,5.664018942752591e-08
1815,1.3540062582251267e-06,2.1577788444915313e-08
1816,1.29090537015486e-06,6.952811659743929e-09
1817,2.4333931382125584e-06,6.227493631882908e-09
1818,1.6475066737520194e-06,1.1921176934492905e-08
1819,2.1312811533391596e-06,1.2110729130654363e-07
1820,1.5782419655607782e-06,4.50926265216367e-08
1821,2.1083862353776794e-06,1.203101618330038e-07
1822,1.7725288472547618e-06,3.32850447648525e-07
1823,1.3578811604020302e-06,3.320582777632808e-07
1824,1.4905369578599448e-06,4.0421340941065864e-07
1825,1.6113960668029392e-06,1.6025906290906278e-07
1826,1.3837342959233112e-06,6.077509340229881e-08
1827,1.3374263740928427e-06,5.069500019772022e-08
1828,1.0841660108562579e-06,1.7427371545863934e-08
1829,1.7712181269446958e-06,5.572564276690173e-08
1830,1.3755749250776717e-06,3.339787468803479e-08
1831,1.0851479146367637e-06,7.171954763407484e-08
1832,1.4355297253132449e-06,1.0823975493678972e-08
1833,1.2406066011161343e-06,4.170106393530659e-08
1834,1.0650700232872623e-06,2.14694217959277e-08
1835,8.531163331326752e-07,1.1722786297241328e-07
1836,7.701979296004247e-07,3.5956011856796977e-07
1837,9.810625795081407e-07,2.859693211121339e-07
1838,1.0276199149394927e-06,3.667366001991468e-07
1839,8.564557334445055e-07,1.2724484577120165e-07
1840,1.098771315266589e-06,8.280595409360103e-08
1841,9.7849163527286e-07,4.3017674755674307e-08
1842,1.1296718156472707e-06,8.787826999423487e-08
1843,1.0526114970765832e-06,4.666459574309556e-08
1844,1.0949679982164007e-06,1.2239492264143337e-07
1845,8.822340512582016e-07,5.9150416120701266e-08
1846,1.0145851290221941e-06,1.7563504428608212e-08
1847,9.1469074448014e-07,3.235934187273415e-08
1848,6.556855789430216e-07,1.0941501216166216e-07
1849,8.924077159466748e-07,4.1897074254393374e-08
1850,8.099272195138951e-07,1.3917441776811756e-07
1851,8.203685837315788e-07,6.965393595237401e-08
1852,8.672046449831328e-07,6.510545347282459e-08
1853,1.0014929292534447e-06,2.006569133072844e-07
1854,1.2313724249146674e-06,1.3560683953528496e-07
1855,1.1754865951729698e-06,6.04990830765928e-08
1856,1.044756734458474e-06,6.005539177067476e-08
1857,1.082230612015067e-06,1.1276286215888831e-07
1858,1.2204828485629093e-06,6.753273140702731e-08
1859,1.5164491704577898e-06,1.2475824462399032e-07
1860,1.1360570930096792e-06,9.154367575092692e-08
1861,1.3935672475984262e-06,7.498382359472089e-08
1862,1.461568566396565e-06,7.273958146924997e-08
1863,1.390002991819017e-06,9.09020982930997e-08
1864,1.7107589163067871e-06,8.966141251676163e-08
1865,1.353217737865009e-06,3.530133341200781e-08
1866,1.1623948781291915e-06,9.828538338751969e-08
1867,1.8013636200464589e-06,5.82337378318698e-08
1868,1.7195701657035656e-06,5.433861360870651e-08
1869,1.5822602552617582e-06,4.0044856319809696e-08
1870,1.53385802237338e-06,4.300536460277726e-08
1871,8.114579264084654e-07,5.098165090089424e-08
1872,1.4628513453907033e-06,3.084143074261192e-08
1873,1.341463593984571e-06,4.968383748860106e-08
1874,1.4351010939606113e-06,3.883495836021211e-08
1875,1.5007566254165994e-06,8.181783783811625e-08
1876,1.6451206201750779e-06,4.836811839936672e-08
1877,1.887605875605658e-06,1.0328642474632943e-07
1878,1.6704119223387437e-06,9.904105269242791e-08
1879,1.626913315178058e-06,1.1241158404118323e-07
1880,1.66799826573083e-06,5.776061584583658e-08
