year,auront_VERB eu_VERB,auront_VERB pu_VERB
1800,6.005354293847631e-07,4.904896400148573e-07
1801,3.881327472754492e-07,5.857709197698568e-07
1802,4.3637882640723547e-07,6.221195576472383e-07
1803,6.631153155467473e-07,5.773003977083135e-07
1804,6.995338139859086e-07,4.993138986719714e-07
1805,4.918178433399589e-07,4.5201755938251154e-07
1806,9.912942005030345e-07,5.907421609663288e-07
1807,1.0135159982382902e-06,8.59780470818805e-07
1808,8.089884317996621e-07,8.837688483254169e-07
1809,5.489443992701126e-07,8.177690347110911e-07
1810,7.605411838085274e-07,5.241884082352044e-07
1811,7.01981491602055e-07,6.894460966577753e-07
1812,8.375033644369978e-07,6.854725143057294e-07
1813,5.722725973100751e-07,9.087343642022461e-07
1814,5.066150379207102e-07,8.716295951671782e-07
1815,5.36747506885149e-07,3.182723844474822e-07
1816,6.929635674168821e-07,7.230923984025139e-07
1817,6.38318113033165e-07,4.732895035886031e-07
1818,7.832213668734767e-07,6.449357101701025e-07
1819,6.728182597726118e-07,4.782185101248615e-07
1820,6.348567467284738e-07,5.648445267070201e-07
1821,6.715673634971608e-07,4.339054839874734e-07
1822,7.248520432767691e-07,5.925139134888013e-07
1823,3.9728402612126956e-07,3.8740131458325777e-07
1824,4.875824402006401e-07,4.867403049502173e-07
1825,5.697121423509088e-07,5.221627930040995e-07
1826,6.500292215605441e-07,5.416910653366358e-07
1827,9.927002793119755e-07,6.387570010701893e-07
1828,8.025763804653252e-07,5.457519023366331e-07
1829,6.849967917332833e-07,5.315368980518542e-07
1830,6.658701181549986e-07,6.032491342011781e-07
1831,6.111752668402914e-07,6.657444941993163e-07
1832,6.318495593404805e-07,7.292653663171222e-07
1833,5.096796371617529e-07,6.394162710421369e-07
1834,7.402283017654554e-07,6.394153615474352e-07
1835,4.7042408368724864e-07,5.717694193663192e-07
1836,6.619939085794613e-07,5.289230102789588e-07
1837,6.199480822033365e-07,5.886375902264263e-07
1838,5.529453801500495e-07,5.34008904651273e-07
1839,5.607163302556728e-07,4.467552514597628e-07
1840,6.407906880667724e-07,5.121229946780659e-07
1841,5.05939226513874e-07,4.988766022506752e-07
1842,5.554443305300083e-07,4.387205478906253e-07
1843,4.4951593736186624e-07,4.914550117973704e-07
1844,4.2371692643428105e-07,4.2701006464085367e-07
1845,4.519984599937743e-07,5.736474122386426e-07
1846,3.9283705177695083e-07,4.7362917143800587e-07
1847,5.743783049183548e-07,4.821541779165273e-07
1848,4.545550211787486e-07,5.044353770244925e-07
1849,5.178478659217944e-07,5.354445988814405e-07
1850,3.849360723506834e-07,4.541838336535875e-07
1851,4.4630115780819324e-07,5.456225267153059e-07
1852,4.908951041215914e-07,5.73579029605753e-07
1853,3.3920574082912935e-07,4.2161838109677774e-07
1854,4.0058571926238074e-07,4.4994453674007673e-07
1855,3.7360837268352043e-07,4.500282670960587e-07
1856,4.995987410438829e-07,4.6801790176687064e-07
1857,3.592790562834125e-07,4.0711785231906106e-07
1858,3.5870644410351815e-07,3.890472441980819e-07
1859,3.5696135114449135e-07,4.1552135598976747e-07
1860,4.5405664650388644e-07,4.5726068265139475e-07
1861,4.234935317981581e-07,4.4895975293002266e-07
1862,4.350820859144733e-07,4.359856689006847e-07
1863,3.995696715719532e-07,3.3613798677833984e-07
1864,3.950855784751184e-07,3.8022193393771886e-07
1865,3.101810364114499e-07,3.86431935339715e-07
1866,3.960608978559321e-07,3.6151504900772125e-07
1867,3.542552349244943e-07,3.1785916121407354e-07
1868,3.6110478163209336e-07,3.4628516232260154e-07
1869,3.652872351267433e-07,3.7017073850620363e-07
1870,3.0734500455764646e-07,3.2856098641786957e-07
1871,4.790151137967769e-07,4.715802788268775e-07
1872,3.5497882322488294e-07,5.055575797996426e-07
1873,2.9630723474838305e-07,3.25638637832526e-07
1874,2.778193390895467e-07,4.134429616442503e-07
1875,3.472966909612296e-07,3.965018322560354e-07
1876,3.367630370121333e-07,3.5731946468331444e-07
1877,2.92541784574496e-07,3.475866492408386e-07
1878,3.104091490513383e-07,4.179049426511483e-07
1879,3.2929261806202703e-07,4.1787785676206113e-07
1880,3.3501157759019407e-07,3.8635434407297e-07
1881,3.256160994169477e-07,3.8000166568963323e-07
1882,3.4075571875291644e-07,3.3609694582992233e-07
