year,ait_VERB assez_ADV,ait_VERB passé_VERB
1800,6.854278353785048e-07,5.69093799640541e-07
1801,7.024488581919286e-07,6.714934670526418e-07
1802,6.444979590014555e-07,5.303680836732383e-07
1803,6.065554885026359e-07,5.577970227932383e-07
1804,7.390834184661799e-07,5.413353392214049e-07
1805,4.491746778967354e-07,5.543611791836156e-07
1806,6.195588753143966e-07,5.907421609663288e-07
1807,4.98217161748471e-07,5.181458391234628e-07
1808,4.3961836126982234e-07,5.574542001340888e-07
1809,6.076792260500952e-07,5.57980513349321e-07
1810,5.358890007300943e-07,5.265285381028662e-07
1811,3.785685862567334e-07,6.19247941813228e-07
1812,5.307744572746742e-07,5.147712158759532e-07
1813,5.924027846049285e-07,6.642962944169994e-07
1814,3.776012533762696e-07,6.733889108545554e-07
1815,4.045835453325708e-07,3.317584855722089e-07
1816,4.936496225127485e-07,5.77083369535103e-07
1817,4.32810793427052e-07,5.651450578625372e-07
1818,4.23201782950855e-07,4.6611802417828585e-07
1819,5.175525075173937e-07,6.210630090208724e-07
1820,4.153268378104258e-07,4.888990474682942e-07
1821,3.609304712881567e-07,6.054953587408818e-07
1822,4.992756430510781e-07,5.875010629097233e-07
1823,3.3403480870219937e-07,4.911695441478514e-07
1824,3.494761813271907e-07,4.6063485115155345e-07
1825,4.781355755767436e-07,4.887020850219415e-07
1826,3.9724008615849016e-07,5.954197490609658e-07
1827,3.594736597278825e-07,5.272279963719484e-07
1828,3.3020285172824515e-07,5.063110393166426e-07
1829,3.8064902696532954e-07,5.966930416434479e-07
1830,4.2269184064025467e-07,5.41671795417642e-07
1831,4.022531072678248e-07,6.470350513154699e-07
1832,4.0725208805270086e-07,4.816669161300524e-07
1833,4.042686327920819e-07,5.560141858040879e-07
1834,3.761815889902209e-07,3.687139837893483e-07
1835,3.4714574326244474e-07,4.7344929043902084e-07
1836,3.4141410765187175e-07,4.603713819051336e-07
1837,4.0355766373068036e-07,5.29495480350306e-07
1838,3.6168688666293747e-07,5.17597300131456e-07
1839,3.6215840282238787e-07,5.033862180425785e-07
1840,3.7899647509220813e-07,5.19766615525441e-07
1841,3.287320851086406e-07,4.3274496874801116e-07
1842,3.3608407079555036e-07,3.5419640198597335e-07
1843,3.733167659447645e-07,4.955898589287244e-07
1844,3.7596643664983276e-07,4.923239202980767e-07
1845,3.627148146279069e-07,5.40166070095438e-07
1846,3.518555331538664e-07,5.257342081677052e-07
1847,3.0525646366186265e-07,3.845368325983145e-07
1848,3.990429888744984e-07,4.26396752573055e-07
1849,2.9998304285072663e-07,4.005360381142964e-07
1850,3.645690753728559e-07,4.4807373456023925e-07
1851,3.8180678529897705e-07,5.185348754821462e-07
1852,3.320378141324909e-07,4.674571698615182e-07
1853,3.218871142962598e-07,5.171692691874341e-07
1854,3.673334845188947e-07,4.2812274614334456e-07
1855,3.348677353187668e-07,5.391848389990628e-07
1856,2.4384561925216985e-07,4.56110370805618e-07
1857,2.67018549493514e-07,4.613026192146208e-07
