year,veut_VERB unir_VERB,veut_VERB punir_VERB
1800,2.5153315874604232e-08,1.760732146749433e-07
1801,9.048493865293494e-08,2.45261805531527e-07
1802,1.1412984690650774e-07,1.2979472785445978e-07
1803,1.170203560718619e-07,1.9893459923814305e-07
1804,9.145848167690929e-08,1.656140113936999e-07
1805,3.695740935505398e-08,1.1087222873129576e-07
1806,3.458002950651462e-08,1.0374009207225754e-07
1807,3.131650672116848e-08,1.8789904254745693e-07
1808,5.891792298484688e-08,2.49268151453208e-07
1809,9.036122250449807e-08,2.3042110797177884e-07
1810,6.552354792077608e-08,1.7316938460965048e-07
1811,3.760615285841595e-08,1.4290337224664995e-07
1812,4.000812481308458e-08,1.1468995353425271e-07
1813,7.764502152340924e-08,1.4666282277531195e-07
1814,9.440031512042424e-08,1.4160046646338742e-07
1815,4.045835311217161e-08,1.6453063267363177e-07
1816,8.57513455798653e-08,1.5759707139295642e-07
1817,1.1676550837336208e-07,1.9305229992383488e-07
1818,3.5763530803478716e-08,2.1338906930346013e-07
1819,4.9685038860936004e-08,1.904593229795637e-07
1820,4.50926265216367e-08,2.7411571945634705e-07
1821,1.2228245394041437e-07,2.1793888471677292e-07
1822,9.223566621585633e-08,2.0552512580707116e-07
1823,6.522573414713406e-08,1.8184143435462374e-07
1824,9.010590673597108e-08,1.818960306820827e-07
1825,5.371320099811783e-08,1.4793143621183447e-07
1826,1.136229959008972e-07,2.695243139783088e-07
1827,1.2258972503786936e-07,1.8065855655891028e-07
1828,5.7785497831197574e-08,1.9537001572089707e-07
1829,7.287199821348622e-08,1.8089401176979436e-07
1830,8.140732177253085e-08,2.0038724546367348e-07
1831,7.016043013230444e-08,9.354723751187066e-08
1832,4.058990932254147e-08,1.9347855717555262e-07
1833,3.8225974052785716e-08,1.9576332788151518e-07
1834,3.733812548034621e-08,1.941582468134584e-07
1835,3.7059130875150004e-08,1.6865686092160104e-07
1836,6.183090411893133e-08,1.5659347241125943e-07
1837,5.4967336904354624e-08,2.1012830897504386e-07
1838,4.292270205930038e-08,1.9125850148071777e-07
1839,4.334714465148437e-08,1.6919369727474987e-07
1840,5.095750948980182e-08,1.5159859428903744e-07
1841,5.200644181968528e-08,1.483146689906789e-07
