year,tant_ADV osé_VERB,tant_ADV posé_VERB
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,2.4616241489638924e-08,0.0
1803,9.751696339321825e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672083208723052e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,6.608021863030444e-08,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-08,0.0
1817,9.341240669868967e-09,0.0
1818,1.3113295338484932e-08,0.0
1819,1.5526575580793178e-08,0.0
1820,3.9159388620646496e-08,0.0
1821,1.7750679148775816e-08,0.0
1822,1.7043547018147365e-08,0.0
1823,5.929612356680991e-09,0.0
1824,5.052667617633233e-08,0.0
1825,9.245714949202011e-08,0.0
1826,1.5854372037438225e-08,0.0
1827,9.217273166939322e-09,0.0
1828,5.503380862137419e-08,9.172301251858528e-10
1829,2.3147574523818548e-08,0.0
1830,1.0436835395921662e-08,0.0
1831,1.7150327380477393e-08,0.0
1832,4.058990921151917e-09,0.0
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,1.9602515166639023e-08,0.0
1835,1.663879345414898e-08,0.0
1836,3.427582484505365e-08,0.0
1837,3.409366655660051e-08,0.0
1838,1.8936486156917454e-08,0.0
1839,1.5381244722334486e-08,0.0
1840,4.0129037870428874e-08,0.0
1841,3.723918240439161e-08,4.494383976094696e-09
1842,1.9453969102301016e-08,0.0
1843,2.5990408047960045e-08,0.0
1844,3.2931367854871496e-08,0.0
1845,1.2834524554250493e-08,0.0
1846,9.952652035849496e-09,0.0
1847,9.707802561820245e-09,3.775256551818984e-09
1848,1.930853166243196e-08,0.0
1849,1.508294644736452e-08,1.6758829879393033e-09
1850,2.1045888587423178e-08,0.0
1851,1.096404567135778e-08,2.579775504329973e-09
1852,2.7344290387532055e-08,0.0
1853,1.1943863675867306e-08,0.0
1854,2.8056588163849483e-08,0.0
1855,2.812676669350367e-08,0.0
1856,1.501384794266869e-08,1.0354378465748937e-09
1857,1.757343248698362e-08,4.881509085841174e-10
1858,1.9085335978274998e-08,0.0
1859,2.2914779407301467e-08,5.092173349652285e-10
1860,1.327383358784573e-08,0.0
1861,3.914249901981748e-08,0.0
1862,1.9879140111811466e-08,0.0
1863,2.6471489888990618e-08,4.994620828036034e-10
1864,1.4863656971897399e-08,3.835782358407869e-09
1865,2.8241066374334878e-08,3.294791106611683e-09
1866,2.092213513549268e-08,4.865612912574591e-10
1867,7.279217228983725e-09,4.85281148598915e-10
1868,1.6301584082611953e-08,0.0
1869,1.4162205630441349e-08,0.0
1870,1.548193218070537e-08,2.8670243956696595e-09
1871,1.1683295220166201e-08,0.0
1872,1.9351485747165498e-08,6.047339295989218e-10
1873,1.1373408881354408e-08,5.986004469882289e-10
1874,1.7326366119618797e-08,1.1949218281515073e-09
1875,3.94785359958405e-08,5.721527140956084e-10
1876,2.1765654167893445e-08,6.04601479992084e-10
1877,1.4225077116236662e-08,0.0
1878,9.662541877730746e-09,0.0
1879,2.5659165459046562e-08,0.0
1880,5.134277003548959e-09,0.0
1881,8.367009307619355e-09,0.0
1882,1.1979693681496428e-08,0.0
1883,1.0742875922176154e-08,1.2638677882037541e-09
1884,1.9144920315739e-08,6.601696966868076e-10
1885,1.4180398189012067e-08,0.0
1886,1.1616235084943582e-08,0.0
1887,5.876032105334161e-09,0.0
1888,2.53624587998047e-09,0.0
1889,1.8168895721260014e-08,0.0
1890,1.3108772733971819e-08,0.0
1891,7.649063604731055e-09,0.0
1892,1.191017329205124e-08,0.0
1893,6.774258043407144e-09,1.2316833108982905e-09
1894,5.041231432301174e-09,6.301539290376468e-10
1895,1.3240951446391591e-08,0.0
1896,1.179405795248556e-09,0.0
1897,5.2440420894583895e-09,2.330685422435863e-09
1898,1.0750873968845553e-08,5.6583548957434e-10
1899,7.738609753005221e-09,0.0
1900,8.824790675987515e-09,0.0
1901,8.941982265753268e-09,0.0
1902,4.419255628107521e-09,0.0
1903,9.1803746826713e-09,0.0
1904,6.987012746151322e-09,0.0
1905,4.64468330463319e-09,0.0
1906,1.0288369045596824e-09,0.0
1907,2.5714217422034835e-09,0.0
1908,5.893666887857307e-09,0.0
1909,1.1001967337165297e-08,5.500983557560346e-10
1910,9.085056262847502e-09,0.0
1911,2.6601871816467337e-09,5.320374141248863e-10
1912,7.293189607793238e-09,1.0418842455450772e-09
1913,1.0075680734189518e-08,0.0
1914,3.3483718020477227e-09,0.0
1915,1.295883844676382e-08,0.0
1916,1.2086208478478966e-08,0.0
1917,6.57985488317081e-09,1.0966424435210342e-09
1918,9.189101035644853e-09,0.0
1919,3.6831393490643904e-09,0.0
1920,7.572231730534895e-09,0.0
1921,1.2873671018098776e-08,5.300923255902035e-09
1922,1.2542490601674672e-08,1.4755870969551665e-09
1923,1.5923921736771263e-08,1.0615948120573648e-09
1924,1.675911143195208e-08,0.0
1925,9.898360353588487e-09,0.0
1926,2.229227691330493e-09,0.0
1927,1.6723836537835268e-08,1.1149224876660924e-09
1928,1.0283437212876834e-08,1.1426041224282812e-09
1929,7.798284684668033e-09,0.0
1930,3.1510811737689437e-09,0.0
1931,4.5621426636444085e-09,1.1405356659111021e-09
1932,7.6716757391182e-09,3.287861094491973e-09
1933,3.4411986593596566e-09,0.0
