year,grand_ADJ are_NOUN,grand_ADJ part_NOUN
1800,3.144164484325529e-09,0.0
1801,2.3811825844433088e-09,2.3811825400343878e-08
1802,2.2378401354217203e-09,2.2378401354217203e-08
1803,5.851017448321727e-09,1.5602713787643552e-08
1804,9.887403784603066e-09,1.2359254952798437e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,5.76333825108577e-09,8.645007376628655e-09
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,0.0,0.0
1809,0.0,1.581321384946932e-08
1810,0.0,2.3401267590372754e-09
1811,1.0028307073639553e-08,2.5070768572277302e-08
1812,1.600324850414836e-08,1.600324850414836e-08
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,5.664018942752591e-08
1815,8.091670444798638e-09,2.1577788444915313e-08
1816,6.952811659743929e-09,6.952811659743929e-09
1817,4.670620334934483e-09,6.227493631882908e-09
1818,0.0,1.1921176934492905e-08
1819,4.140420006848444e-09,1.2110729130654363e-07
1820,2.3732962262101864e-09,4.50926265216367e-08
1821,1.97229765852569e-09,1.203101618330038e-07
1822,3.0076847679083585e-09,3.32850447648525e-07
1823,9.882686891060644e-10,3.320582777632808e-07
1824,2.5263338088166165e-09,4.0421340941065864e-07
1825,1.7610886082763955e-09,1.6025906290906278e-07
1826,3.5231937367541377e-09,6.077509340229881e-08
1827,9.217273055917019e-10,5.069500019772022e-08
1828,3.668920500743411e-09,1.7427371545863934e-08
1829,3.429270423183084e-09,5.572564276690173e-08
1830,2.0873671680021744e-09,3.339787468803479e-08
1831,1.5591206103948707e-09,7.171954763407484e-08
1832,6.764984572527055e-09,1.0823975493678972e-08
1833,3.4750886612755494e-09,4.170106393530659e-08
1834,1.8669061851994684e-09,2.14694217959277e-08
1835,5.294161553592858e-09,1.1722786297241328e-07
1836,6.720750067579218e-10,3.5956011856796977e-07
1837,3.478945576063097e-09,2.859693211121339e-07
1838,3.1560809521380406e-09,3.667366001991468e-07
1839,2.7965900706306e-09,1.2724484577120165e-07
1840,3.1848443882154243e-09,8.280595409360103e-08
1841,2.5682194149112547e-09,4.3017674755674307e-08
1842,2.683306021822318e-09,8.787826999423487e-08
1843,2.953455480181333e-09,4.666459574309556e-08
1844,3.2931368743049916e-09,1.2239492264143337e-07
1845,3.348136878855712e-09,5.9150416120701266e-08
1846,5.854501328173001e-09,1.7563504428608212e-08
1847,5.3932236454556914e-09,3.235934187273415e-08
1848,5.63165514222419e-09,1.0941501216166216e-07
