year,étant_VERB heureux_ADJ,étant_VERB peureux_ADJ
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,2.0171682990621775e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,9.064295980465431e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,1.8880061958270744e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,8.344824387052086e-09,0.0
1819,5.175524897538253e-09,0.0
1820,3.085285271708926e-08,0.0
1821,3.94459531705138e-09,0.0
1822,0.0,0.0
1823,4.15072847204101e-08,0.0
1824,4.210556348027694e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,7.0463874735082754e-09,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,1.714635211591542e-09,0.0
1830,1.461157062010443e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,2.705993873419743e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,9.334530925997342e-10,0.0
1835,4.5378527602224494e-09,0.0
1836,6.72075017860152e-09,0.0
1837,4.174734336004349e-09,1.3915781860163179e-09
1838,1.8936486156917454e-08,0.0
1839,6.9914751765765e-10,0.0
1840,8.917564464638872e-09,0.0
1841,9.630822361827995e-09,0.0
1842,1.0733224087289273e-08,0.0
1843,6.497602011990011e-09,0.0
1844,1.5916826967554698e-08,0.0
1845,1.897277535078956e-08,0.0
1846,2.3418005312692003e-09,0.0
1847,1.0786447290911383e-08,0.0
1848,1.367687652020777e-08,0.0
1849,1.3407063903514427e-08,0.0
1850,4.752297222410107e-09,0.0
1851,1.6768540334055615e-08,0.0
1852,8.463708844885787e-09,0.0
1853,8.957897534855874e-09,0.0
1854,7.79349651480743e-09,0.0
1855,6.368324534378189e-09,0.0
1856,2.5885946719483854e-09,5.177189232874468e-10
1857,2.4407546206361985e-08,0.0
1858,3.4255731584664773e-09,0.0
1859,1.018434669930457e-08,0.0
1860,4.119465657481669e-09,0.0
1861,5.187560159214399e-09,0.0
1862,4.066187830886747e-09,0.0
