year,seraient_VERB heureux_ADJ
1800,5.0306631749208464e-08
1801,4.524246932646747e-08
1802,3.8043282302169246e-08
1803,2.9255089017965474e-08
1804,4.2021465418429216e-08
1805,1.421438877713399e-08
1806,1.152667650217154e-08
1807,5.693910054560547e-08
1808,3.3991110370834576e-08
1809,4.743964154840796e-08
1810,6.552355102940055e-08
1811,2.5070768572277302e-08
1812,6.401299401659344e-08
1813,6.039057609541487e-08
1814,1.1013369771717407e-07
1815,7.552225866902518e-08
1816,3.9399267848239106e-08
1817,8.251429051142622e-08
1818,6.318224166079744e-08
1819,1.1282644862831148e-07
1820,9.611849804969097e-08
1821,6.212737702071536e-08
1822,7.017931125119503e-08
1823,6.226093063332883e-08
1824,5.4737231636181605e-08
1825,7.396572243578703e-08
1826,7.134467239211517e-08
1827,7.005127855563842e-08
1828,7.06267186956211e-08
1829,5.401101077495696e-08
1830,9.393152566872232e-08
1831,5.456922025359745e-08
1832,6.764985016616265e-08
1833,8.80355770505048e-08
1834,8.027696907220161e-08
1835,1.096647750387092e-07
1836,9.341842854837523e-08
1837,8.836521203647862e-08
1838,9.973215497893761e-08
1839,9.57832071435405e-08
1840,1.0064108124652194e-07
1841,9.630822717099363e-08
1842,7.513256861102491e-08
1843,9.74640315121178e-08
1844,9.989181393166291e-08
1845,1.166267651342423e-07
1846,8.54757189472366e-08
1847,8.25163226636505e-08
1848,1.2389641312893218e-07
1849,9.971503800443315e-08
1850,9.708264059327121e-08
1851,9.287191460316535e-08
1852,1.23049304079359e-07
1853,1.6124215562740574e-07
1854,9.092412511790826e-08
1855,1.2577440600125556e-07
1856,1.4340814402657998e-07
1857,9.177237103585867e-08
1858,1.0961834107092727e-07
1859,1.2985042019408866e-07
1860,1.6706721339687647e-07
1861,1.7637704274875432e-07
1862,1.2379283020891307e-07
1863,1.4634238709732017e-07
1864,1.6829494597914163e-07
1865,1.6756365539549734e-07
1866,1.8927234179955121e-07
1867,1.3976097079648753e-07
1868,1.4473830844963231e-07
1869,1.4357546262999676e-07
1870,1.2041502372994728e-07
1871,2.0392660360357695e-07
1872,1.8928172096366325e-07
1873,1.2690328787812177e-07
1874,1.5175507428466517e-07
1875,1.104254749861866e-07
1876,1.451043516453865e-07
1877,1.261702493593475e-07
1878,1.1655441056745985e-07
1879,1.405144871569064e-07
1880,1.2643157276670536e-07
1881,1.6803743108084745e-07
1882,1.6505354949458706e-07
1883,1.2638678015264304e-07
1884,1.7956615749881166e-07
1885,1.837006209370884e-07
1886,1.8715044802775083e-07
1887,1.6909915245832963e-07
1888,1.5851536261379806e-07
1889,1.8920712818726315e-07
1890,2.1891651158512104e-07
1891,1.4087025590470148e-07
1892,1.8366741016961896e-07
1893,1.9583764299113682e-07
1894,1.6320986162554618e-07
1895,1.6972492744571355e-07
1896,1.8044909211312188e-07
1897,1.8412414704016555e-07
1898,2.0483244611568807e-07
1899,2.1115349113642878e-07
1900,2.0608480610917468e-07
1901,1.9001711848432024e-07
