year,soient_VERB à_ADP,soient_VERB a_ADP,soient_VERB pas_ADV
1800,1.8299036810276448e-06,1.7607320756951594e-07,7.555427146144211e-06
1801,2.0168615719740046e-06,3.333655596016172e-08,8.074590368778445e-06
1802,1.9290182535769418e-06,2.6854081625060644e-08,8.441133104497567e-06
1803,1.6714407138351817e-06,1.7553053011098996e-08,8.00029192760121e-06
1804,1.92309994417883e-06,2.471850879537385e-08,9.296631105826236e-06
1805,1.8649277535587316e-06,1.421438877713399e-08,8.16758802102413e-06
1806,1.939363301062258e-06,2.0171683878800195e-08,7.864075087127276e-06
1807,2.0697364107036265e-06,2.2775641372874134e-08,8.97644986252999e-06
1808,1.423094431629579e-06,3.852325791697808e-08,7.269565230672015e-06
1809,2.259030452478328e-06,2.2590304959990704e-08,7.978896064742003e-06
1810,1.4602391047446872e-06,4.212228255084938e-08,7.359698884101817e-06
1811,1.7323900465271436e-06,4.262030373070047e-08,6.372988991643069e-06
1812,1.7310181874563568e-06,8.00162469616339e-09,6.918738108652178e-06
1813,1.345847067568684e-06,6.039057254270119e-08,7.097330581018468e-06
1814,1.4915249266778119e-06,4.720015622794449e-08,6.4349546846642625e-06
1815,1.542811901344976e-06,3.236668177919455e-08,7.422759153996594e-06
1816,1.8193190953752492e-06,3.9399266071882266e-08,8.3433742474881e-06
1817,1.5631009091521264e-06,2.9580594862466114e-08,7.033954261714825e-06
1818,1.44961518344644e-06,1.549753014806754e-08,7.022765657893615e-06
1819,1.68411588674644e-06,3.105315027340794e-08,7.683584044571035e-06
1820,1.5094163927642512e-06,2.4919610375206958e-08,7.125821866793558e-06
1821,1.7494280655228067e-06,3.94459531705138e-09,7.063783868943574e-06
1822,1.7845595721155405e-06,2.0051231786055723e-08,7.128212928364519e-06
1823,1.3420689128906815e-06,1.9765373782121287e-09,6.142090114735765e-06
1824,1.466957883167197e-06,7.57900142644985e-09,6.1373070820991416e-06
1825,1.6457372566947015e-06,2.0252518773133943e-08,6.733522241120227e-06
1826,1.6338810837623896e-06,3.170874396385415e-08,6.718730674037943e-06
1827,1.7899943713928224e-06,3.5025638112085034e-08,7.3203582360292785e-06
1828,1.6904550648177974e-06,9.17230136288083e-09,7.250704129546648e-06
1829,1.4128594330031774e-06,3.343538718114658e-08,6.902263976371614e-06
1830,1.658413225413824e-06,3.1310507520032616e-09,7.449813438142883e-06
1831,1.5404111763928086e-06,6.236482441579483e-09,7.421414011332672e-06
1832,1.6574211940678651e-06,1.4882966303808587e-08,6.932756150490604e-06
1833,1.5394642787214252e-06,1.0425265983826648e-08,7.121614999050507e-06
1834,1.666213734097255e-06,3.360431177767964e-08,7.198790171969449e-06
1835,1.6215260529861553e-06,1.2100940693926532e-08,6.650979685218772e-06
1836,1.6795154351711972e-06,1.478564976009622e-08,6.940518687770236e-06
1837,1.5759623011035728e-06,2.9223141906342676e-08,6.831953214714304e-06
1838,1.5647849522792967e-06,9.468243078458727e-09,6.091867362556513e-06
