year,devait_VERB unir_VERB,devait_VERB punir_VERB
1800,0.0,1.5720821977538435e-08
1801,2.8574191901498125e-08,4.286128785224719e-08
1802,4.475680270843441e-09,4.475680270843441e-09
1803,1.3652374342143503e-08,9.751696339321825e-09
1804,2.4718509905596875e-08,1.730295728918918e-08
1805,1.1371510844071508e-08,2.2743021688143017e-08
1806,8.645007376628655e-09,2.0171682990621775e-08
1807,2.8469550272802735e-08,3.131650672116848e-08
1808,4.305540457494317e-08,2.2660739062985158e-08
1809,2.25903047379461e-08,1.129515236897305e-08
1810,4.680253518074551e-09,3.2761775514700275e-08
1811,7.521229861140455e-09,1.2535384286138651e-08
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,1.4378708002027452e-08,2.300593315851529e-08
1814,6.293354282149721e-09,6.293354282149721e-09
1815,1.0788894222457657e-08,3.776112933451259e-08
1816,1.1588019432906549e-08,6.952811659743929e-09
1817,3.269434145636296e-08,7.005930058312515e-08
1818,3.695565098382758e-08,5.364529798157491e-08
1819,3.2088255608186955e-08,5.796588098405664e-08
1820,1.542642635854463e-08,7.831877724129299e-08
1821,3.648750634965836e-08,5.719663320746804e-08
1822,3.5089655625597516e-08,7.118187284049782e-08
1823,6.917880934764753e-09,2.9648060007048116e-08
1824,3.2000230021367315e-08,5.9789897477458e-08
1825,1.8491430608946757e-08,3.610231757988913e-08
1826,3.699353356978463e-08,4.580151724553616e-08
1827,2.2121454890111636e-08,2.3043183361437514e-08
1828,2.8434133270138773e-08,4.953042775923677e-08
1829,4.8009784592295546e-08,3.600733933240008e-08
1830,5.218418053232199e-08,3.652892388572582e-08
1831,3.274153215215847e-08,4.365537620287796e-08
1832,4.8707889277466165e-08,1.488296597074168e-08
1833,6.370995464521911e-08,5.90765054653275e-08
1834,3.9205030333278046e-08,6.627517024071494e-08
1835,3.857174846189082e-08,3.025235173481633e-08
1836,4.5701099793404865e-08,3.2259599436201825e-08
1837,4.800944708449606e-08,6.818733311320102e-08
1838,2.7142295522253335e-08,5.5547026533986354e-08
1839,5.2436064379435265e-08,3.146163862766116e-08
1840,5.032054062326097e-08,3.05745047057826e-08
1841,5.714288064950779e-08,4.237562123421412e-08
1842,6.909512961783548e-08,4.494537719779146e-08
1843,4.371114314949409e-08,4.0757687003178944e-08
1844,4.39084892889241e-08,5.982531803283564e-08
1845,5.022205229465726e-08,5.5802278353667134e-08
1846,4.27378594736183e-08,5.034871009002018e-08
1847,3.4516631330916425e-08,4.853901458545806e-08
1848,2.333114323960217e-08,4.263967667839097e-08
1849,3.9383248662261394e-08,2.5976186535103807e-08
1850,2.647708541303473e-08,3.394497838371535e-08
1851,3.611685883697646e-08,5.804495017969202e-08
1852,2.2135854038651814e-08,3.7761164861649377e-08
1853,2.9859659633757474e-08,3.2248433257109355e-08
1854,4.9358813924982314e-08,2.7537021551893304e-08
1855,6.633671034705912e-08,1.4328730202350926e-08
1856,5.021873406008126e-08,4.0899795550330964e-08
1857,3.8075771868761876e-08,3.9540225316159194e-08
1858,2.2510910469009104e-08,3.76813069635773e-08
1859,2.036869339860914e-08,4.124660435422811e-08
1860,5.034902272882391e-08,3.020941363729435e-08
1861,3.254015012998934e-08,5.0932406736592384e-08
1862,4.563166200455271e-08,1.9879140111811466e-08
1863,4.694943456229339e-08,3.1965573299430616e-08
1864,5.274200631788517e-08,3.5960461275408306e-08
1865,2.58876440284439e-08,2.871175119878444e-08
1866,4.4277076227672296e-08,5.303517980337347e-08
1867,3.008743121313273e-08,4.270474107670452e-08
1868,4.4952855660085334e-08,4.347089088696521e-08
1869,3.027781758646597e-08,4.0533208789383934e-08
1870,2.752343419842873e-08,2.1789386295267832e-08
1871,3.080141297573391e-08,2.3366590440332402e-08
1872,1.3304146229131675e-08,3.749350341308855e-08
1873,4.309923085088485e-08,2.5141218884527916e-08
1874,3.345781252050983e-08,1.7326366119618797e-08
1875,4.863298030954866e-08,2.8607635371713513e-08
1876,1.9951848173604958e-08,3.567148709748835e-08
1877,2.2265338017746217e-08,2.783167118991514e-08
1878,2.0532901601200138e-08,1.2078177569208037e-08
1879,2.443730195977878e-08,1.5273313280772527e-08
1880,1.8611753915820373e-08,3.5939940801199555e-08
1881,1.324776466304911e-08,1.8825771164188154e-08
1882,2.1962771157291172e-08,3.261138559196297e-08
1883,2.9068958795619437e-08,1.7062214752172622e-08
1884,2.5086448474098688e-08,7.922036360241691e-09
1885,1.2891271161663553e-08,2.513797880965285e-08
1886,2.1296431285122708e-08,2.0005737511041843e-08
1887,2.2198344495905076e-08,2.546280519766242e-08
1888,3.7409627395845746e-08,8.876860135842435e-09
1889,1.566284169030041e-08,2.5060547415023393e-08
1890,2.5562107097698572e-08,2.5562107097698572e-08
1891,2.6134301833735663e-08,2.8683990294098294e-08
1892,1.3163876211308434e-08,2.0686091062316336e-08
1893,2.0938616174248637e-08,9.23762488724833e-09
1894,2.7726773765834878e-08,1.449354058991048e-08
1895,9.027921521465032e-09,2.2870734639468537e-08
1896,1.8280790214930676e-08,6.486732040400511e-09
1897,1.4566784223291052e-08,1.2236098356765979e-08
1898,1.3014216371232123e-08,1.6975064909274806e-08
1899,7.185851913504848e-09,9.949641111006713e-09
1900,3.114631752509922e-08,2.387884379118077e-08
1901,1.4530721514915967e-08,1.900171220370339e-08
1902,1.718599307309887e-08,1.0802624572647801e-08
1903,1.7820726228023887e-08,1.3500550899436803e-08
1904,2.8485512615361586e-08,1.6123875568041512e-08
