year,tout_DET âge_NOUN,tout_DET age_NOUN,tout_DET page_NOUN
1800,2.788873871395481e-06,3.772997381190635e-08,0.0
1801,2.9764782993879635e-06,1.6668277424969347e-08,1.1905912700171939e-08
1802,2.7503056116984226e-06,1.3427040812530322e-08,0.0
1803,2.6875675303017488e-06,2.5354410126965377e-08,0.0
1804,2.3754487301630434e-06,2.2246659181490713e-08,9.887403784603066e-09
1805,4.818677552975714e-06,2.842877666608956e-08,2.842877711017877e-09
1806,2.7202956971450476e-06,2.305335300434308e-08,0.0
1807,2.5366371119162068e-06,1.99286853685976e-08,1.4234775136401367e-08
1808,2.5991869279096136e-06,1.8128591960930862e-08,2.2660739951163578e-09
1809,2.8802639917557826e-06,3.388545843918678e-08,9.036122072814123e-09
1810,2.5811598334257724e-06,2.106114083133548e-08,0.0
1811,2.461949407006614e-06,2.757784356433035e-08,0.0
1812,2.4805035536701325e-06,8.00162469616339e-09,8.00162469616339e-09
1813,2.222948296548566e-06,2.8757416226099508e-08,0.0
1814,2.7376090656616725e-06,9.440030979135372e-09,2.8320092937406116e-08
1815,2.6648567654774524e-06,1.3486118000116676e-08,2.697223555614414e-09
1816,1.944469659065362e-06,1.622322720606917e-08,4.6352077731626196e-09
1817,2.333753172933939e-06,1.401186056071424e-08,0.0
1818,2.17680690184352e-06,1.5497530370112145e-08,1.1921177378582115e-09
1819,2.2948277091927594e-06,7.2457350119847774e-09,7.24573512300708e-09
1820,2.2593781068280805e-06,1.3053129244156025e-08,1.3053129244156025e-08
1821,2.513693289074581e-06,7.889190412058156e-09,3.94459531705138e-09
1822,2.375068334004027e-06,6.015369535816717e-09,2.0051231786055723e-09
1823,2.275982751598349e-06,6.917880934764753e-09,9.882686891060644e-10
1824,2.0741199477924965e-06,1.0947446504872005e-08,4.210556348027694e-09
1825,2.8406359433574835e-06,1.6730341556581152e-08,8.805443041381977e-10
1826,2.1887840375711676e-06,8.807984452907647e-09,4.40399205992037e-09
1827,2.0619040697056334e-06,7.373818333711313e-09,6.452091083630762e-09
1828,2.1967662178212777e-06,1.83446022261613e-08,7.337841112509125e-09
1829,2.2050207917345688e-06,6.858540846366168e-09,1.714635211591542e-09
1830,2.1760802155768033e-06,1.2524203008013046e-08,1.2524203230057651e-08
1831,1.8101389969160664e-06,7.795602829929749e-09,6.236482441579483e-09
1832,2.168854052797542e-06,1.352996958914332e-08,0.0
1833,2.4163448415492894e-06,3.9384337569003947e-08,0.0
1834,2.3018953925202368e-06,1.680215633292903e-08,2.520323283405901e-08
1835,2.1539674435189227e-06,1.2100940693926532e-08,3.025235173481633e-09
1836,1.983293259399943e-06,3.29316747205155e-08,6.0486752273547495e-09
1837,2.364987039982225e-06,2.296104073540306e-08,4.870523651057113e-09
1838,2.088063183691702e-06,2.335499948991071e-08,3.1560809521380406e-09
1839,2.124010052284575e-06,1.67795404237836e-08,3.4957375882882502e-09
1840,2.1771595584141323e-06,2.930056863803543e-08,2.5478754661634184e-09
1841,2.2690219338983297e-06,2.24719207686519e-08,6.420548537278137e-10
1842,2.0520583348115906e-06,2.3478927690945284e-08,0.0
1843,2.3444529233529465e-06,3.071593740466838e-08,5.906911071384968e-10
1844,2.032963038800517e-06,3.018708716329144e-08,5.488561272137815e-10
1845,2.1489456685230834e-06,3.069125381616189e-08,3.3481367678334095e-09
1846,2.3617058104719035e-06,2.86870562860031e-08,0.0
1847,2.1211549210420344e-06,2.8584085320915165e-08,1.0786447290911383e-09
1848,2.272775191158871e-06,1.850401032399418e-08,0.0
1849,2.0973675418645144e-06,2.5976186535103807e-08,0.0
1850,1.9939282083214493e-06,2.3761486112050534e-08,6.788996032014438e-10
1851,1.9780429738602834e-06,2.644269869733762e-08,4.514607354622058e-09
1852,1.9147514649375807e-06,2.79953455972759e-08,0.0
1853,2.007763441724819e-06,2.9262465783830294e-08,1.1943863675867306e-09
1854,2.0491700070124352e-06,2.6497888327980945e-08,0.0
1855,1.9832023099297658e-06,2.9188154115900034e-08,1.5920811335945473e-09
1856,2.1423209091153694e-06,3.209857402097782e-08,2.0708756931497874e-09
1857,1.9750584669964155e-06,2.6360148841497733e-08,9.763017949637742e-09
1858,1.6804883671284188e-06,2.495774786837046e-08,9.787352039936081e-10
1859,2.0246482108632335e-06,1.9350259172767892e-08,0.0
1860,1.8789339719660347e-06,3.2040287312185e-08,4.1194655464593666e-09
1861,1.9137380604661303e-06,2.3108222557688407e-08,9.431927461278633e-10
