year,tout_ADV été_VERB,tout_ADV pété_VERB
1800,8.489244018861086e-08,0.0
1801,9.524730160137551e-08,0.0
1802,1.0294064622939914e-07,0.0
1803,6.241085404035118e-08,0.0
1804,1.211206934748077e-07,0.0
1805,1.2224374379421477e-07,0.0
1806,8.06867319624871e-08,0.0
1807,9.679647172688988e-08,0.0
1808,4.078933102391602e-08,0.0
1809,5.1957702140725814e-08,0.0
1810,9.126494493472137e-08,0.0
1811,7.270522672797597e-08,0.0
1812,2.9339290996688305e-08,0.0
1813,3.7384642270765767e-08,0.0
1814,4.720015578385528e-08,0.0
1815,3.2366683333506785e-08,0.0
1816,9.270415723960923e-08,0.0
1817,1.1365176089128681e-07,0.0
1818,1.0252212678807382e-07,0.0
1819,1.1489665219244216e-07,0.0
1820,5.577245953958254e-08,0.0
1821,1.0157332908100614e-07,0.0
1822,1.1228689800191205e-07,0.0
1823,6.32491954366543e-08,0.0
1824,6.14741209048475e-08,0.0
1825,4.8429936283511665e-08,0.0
1826,7.398706758365847e-08,0.0
1827,2.5808364056967292e-08,0.0
1828,5.4116576109208836e-08,0.0
1829,7.030004089969566e-08,0.0
1830,8.975678689182587e-08,0.0
1831,7.0160428133903e-08,0.0
1832,1.5018266008581804e-07,0.0
1833,4.6334514891555045e-08,0.0
1834,7.094243303917835e-08,0.0
1835,5.8235777089521434e-08,0.0
1836,5.24218506381402e-08,0.0
1837,7.166627546961735e-08,0.0
1838,4.9234863741531854e-08,0.0
1839,2.2372720787089406e-08,0.0
1840,4.012903714878391e-08,0.0
1841,5.072233388858649e-08,0.0
1842,4.360372107825583e-08,0.0
1843,3.544146776057744e-08,0.0
1844,3.128480063896433e-08,0.0
1845,2.511102570323942e-08,0.0
1846,3.5712459434122934e-08,0.0
1847,3.613460020090997e-08,0.0
1848,3.700802053696606e-08,0.0
1849,3.100383505483251e-08,0.0
1850,3.394498193642903e-08,0.0
1851,2.06382047007736e-08,0.0
1852,3.5156944022674e-08,0.0
1853,2.9262465783830294e-08,0.0
1854,4.052618107763806e-08,0.0
1855,4.086341576226005e-08,0.0
1856,2.3297352269580074e-08,0.0
1857,4.0028375503098346e-08,0.0
1858,4.355371774344974e-08,0.0
1859,3.6663649227719475e-08,0.0
1860,3.0667131389883195e-08,0.0
1861,3.961409444919184e-08,0.0
1862,3.885468324860142e-08,0.0
1863,3.1965574187609036e-08,0.0
1864,4.171413348075248e-08,0.0
1865,3.153585792503577e-08,0.0
1866,3.3086167805507216e-08,0.0
1867,3.833721073931429e-08,0.0
1868,3.013323202072371e-08,0.0
1869,3.41846340123908e-08,0.0
1870,5.390005819450039e-08,0.0
1871,4.779529860776677e-08,0.0
1872,5.5635520634922386e-08,0.0
1873,2.095101558907686e-08,0.0
1874,4.241972317853282e-08,0.0
1875,3.432916173551348e-08,0.0
1876,2.3579457275602067e-08,0.0
1877,3.834586048689914e-08,0.0
1878,4.710489148740393e-08,0.0
1879,5.009646786291455e-08,0.0
1880,4.556670862854162e-08,0.0
1881,4.2532294630692746e-08,0.0
1882,3.7270158070867865e-08,0.0
1883,3.728410047365571e-08,0.0
1884,3.6969504790818064e-08,0.0
1885,3.0939050654765765e-08,0.0
1886,3.2912664815754056e-08,0.0
1887,4.1785116811077216e-08,0.0
