year,avait_VERB uni_VERB,avait_VERB puni_VERB
1800,8.803660733747165e-08,9.432493186523061e-08
1801,4.286128785224719e-08,2.1430643926123594e-08
1802,5.818384352096473e-08,1.5664880947952042e-08
1803,1.0531832117521844e-07,3.315576790896557e-08
1804,1.087614407424553e-07,4.2021465418429216e-08
1805,6.254330742194725e-08,5.685755510853596e-08
1806,1.0374009207225754e-07,5.4751712497136396e-08
1807,7.117387923472052e-08,6.547996633798903e-08
1808,1.0197332755979005e-07,5.6651849433819734e-08
1809,7.00299480627109e-08,8.132509776714869e-08
1810,8.190443878675069e-08,5.148278958699848e-08
1811,7.52123057168319e-08,1.2535383575595915e-07
1812,8.268345785822362e-08,1.4136203674297576e-07
1813,5.176335093892703e-08,2.5881675469463516e-08
1814,1.7306724942045548e-07,7.866692897096073e-08
1815,1.1058616422587875e-07,1.1058616422587875e-07
1816,5.5622493277951435e-08,3.244645441213834e-08
1817,8.095742032310227e-08,1.0898114055635233e-07
1818,8.583247534943439e-08,1.4066989706407185e-07
1819,1.1800197086131448e-07,1.40774275791955e-07
1820,1.5663755448258598e-07,1.1273156985680544e-07
1821,9.467028405651945e-08,1.5088076565916708e-07
1822,1.523893615740235e-07,1.0627152846609533e-07
1823,7.906149335212831e-08,9.78386012207011e-08
1824,9.684279689281539e-08,9.768490372152883e-08
1825,1.320816522820678e-07,1.0478477463493618e-07
1826,1.611861176753493e-07,1.523781349987985e-07
1827,1.3918082686359412e-07,9.032927295038462e-08
1828,1.302466803854152e-07,1.3575005652910477e-07
1829,1.5174521195149282e-07,1.4745862131348986e-07
1830,1.3880991933667985e-07,1.2211097555336892e-07
1831,1.200522896649403e-07,9.354723573551382e-08
1832,1.8400758527992167e-07,1.0959275442701255e-07
1833,1.2973663388038403e-07,1.6796261093077192e-07
1834,1.754891758576349e-07,8.961149688957448e-08
1835,1.4445497242832062e-07,1.6790055212823063e-07
1836,1.28366325902185e-07,8.938597773067158e-08
1837,1.2106730062910742e-07,1.5724833701824537e-07
1838,1.533855393809347e-07,1.3192418180096865e-07
1839,1.4052864494296102e-07,1.307405881334489e-07
1840,1.764403818604876e-07,1.4968767914069758e-07
1841,2.0417344881451527e-07,7.383631128732304e-08
1842,1.388610884056618e-07,8.586579269831418e-08
1843,2.291881512350713e-07,7.560846171372759e-08
1844,1.7673166796683404e-07,1.245903433755302e-07
1845,2.1204865596757827e-07,9.374782905524626e-08
1846,1.791477437507183e-07,1.1240642550092161e-07
1847,1.6826858129093125e-07,1.493922923145874e-07
1848,1.3355067496334527e-07,8.527935335678194e-08
1849,1.2820504924349052e-07,5.614208120618969e-08
1850,1.7040380217991924e-07,8.078905011643656e-08
1851,1.7284496189873266e-07,1.0899551483589676e-07
1852,1.5104465811432988e-07,8.333498158208386e-08
1853,1.6721409590303438e-07,6.5094056367343e-08
1854,1.4703730588649933e-07,9.45610949543152e-08
1855,1.7300614274518011e-07,1.215288563116701e-07
1856,1.9103828297062364e-07,8.69767760036666e-08
1857,1.235021731549324e-07,7.859229356199648e-08
1858,1.4974648765431198e-07,7.634134391309999e-08
1859,1.6600485097661988e-07,1.0388033899744187e-07
1860,1.9269943640765064e-07,8.696649445028015e-08
1861,1.5374041817395323e-07,9.148969581929123e-08
1862,1.599367114302197e-07,1.138532539357584e-07
1863,1.3335637571998404e-07,9.789457067199692e-08
1864,1.591849749793539e-07,8.34282687378618e-08
1865,1.270847915790796e-07,8.754730629334517e-08
1866,1.644577221071586e-07,9.779881793292589e-08
1867,1.2229085122328343e-07,7.570385918143074e-08
1868,1.1460507665095321e-07,4.9398739321304674e-08
1869,1.3429677858667333e-07,4.150991372853241e-08
1870,1.2786928982322365e-07,8.830435405116077e-08
1871,7.222400855155797e-08,4.779529660936532e-08
1872,7.801068024892999e-08,6.410179764770874e-08
1873,1.0954388396378079e-07,5.028243776905583e-08
1874,1.1530995935871147e-07,6.930546447847519e-08
1875,1.1328623372719449e-07,3.661777370211894e-08
1876,1.0580526010883773e-07,3.9903696347209916e-08
1877,1.3049962177547059e-07,6.184816214727107e-08
1878,1.153465967185241e-07,8.092379033541874e-08
1879,1.3257235464969597e-07,3.726688291294522e-08
1880,9.755126573196549e-08,7.637237331437063e-08
1881,1.199271318363948e-07,5.2293806618308736e-08
1882,1.3843200785679244e-07,6.189507928411331e-08
1883,1.1311616754383635e-07,2.7173157945981075e-08
1884,1.128890181334441e-07,3.895001299270007e-08
1885,8.830520892288973e-08,2.320428826863008e-08
1886,1.1938908350828115e-07,3.9366128135043255e-08
1887,9.793386923639957e-08,3.656197833379338e-08
1888,1.1096075835936858e-07,3.360525724360741e-08
1889,1.0212172973922407e-07,4.8868066926388565e-08
1890,7.537544188807033e-08,6.030035848425541e-08
1891,7.457837147839541e-08,3.378336543846672e-08
1892,1.2662395465490306e-07,3.57305189879753e-08
1893,1.3117427544173665e-07,3.387129154930335e-08
1894,1.4556555427702733e-07,3.654892921645114e-08
1895,1.0713133735684721e-07,5.055636265183239e-08
1896,9.907008635678949e-08,5.071444775239797e-08
1897,1.0255016191784705e-07,3.4960280004270317e-08
1898,1.0920624615717855e-07,3.960848360406999e-08
1899,9.286331525970581e-08,4.532614283903058e-08
1900,9.291984826020894e-08,3.73755817406618e-08
1901,1.0674491024431632e-07,3.576792906301307e-08
1902,9.182230753523868e-08,3.535404502486017e-08
1903,9.180374416217774e-08,3.0241231741001684e-08
1904,9.136862555436664e-08,3.3860139581065596e-08
1905,1.2953505157398126e-07,4.438252787508645e-08
1906,8.745113344588162e-08,3.858138342138773e-08
1907,7.354266129411258e-08,2.0057088434555226e-08
1908,8.889614555585013e-08,3.437972395659017e-08
1909,8.031436005140336e-08,3.4106097501762633e-08
1910,7.695577108890461e-08,3.20649036211762e-08
1911,8.406191120968742e-08,3.085817112946643e-08
1912,9.37695799896332e-08,2.0837685354990754e-08
1913,9.068112549748264e-08,2.6514948459066545e-08
1914,9.040603909937772e-08,2.8126324380650658e-08
1915,8.48214827264826e-08,2.3561524287174507e-08
1916,5.823354731759878e-08,2.197492321442951e-08
1917,7.237840127238826e-08,3.289927263949721e-08
1918,1.1601240146319469e-07,4.9391417178412667e-08
1919,1.0036554620729277e-07,4.1435317399418636e-08
1920,9.238122444799046e-08,2.2716694303426266e-08
1921,8.935842110702197e-08,3.483463828501954e-08
1922,8.410846719097975e-08,3.24629176873259e-08
1923,8.598918066482497e-08,2.0170300985000722e-08
1924,8.25063994902564e-08,1.675911143195208e-08
1925,9.348451301960381e-08,2.969508017258704e-08
1926,1.0588831822477829e-07,3.009457216762712e-08
1927,8.919379568261832e-08,3.5677519605314956e-08
1928,7.312666383541e-08,2.399468712610542e-08
1929,1.0137769779205996e-07,4.567566591617833e-08
1930,9.768351327821279e-08,3.361153133596417e-08
1931,8.097802872697457e-08,1.710803587684495e-08
1932,1.0082773749253704e-07,1.6439305028370654e-08
1933,1.0094182556485976e-07,2.408838994938378e-08
1934,8.147474517272713e-08,4.073737258636356e-08
1935,8.01875064126989e-08,2.992070946561398e-08
1936,8.123558492556526e-08,1.9399543305098632e-08
1937,1.0198806044137143e-07,3.903246792447135e-08
1938,7.130868118210287e-08,2.7226949583791793e-08
1939,7.799965828780842e-08,2.141167065872196e-08
1940,5.832300686847702e-08,1.2678914806940611e-08
