year,était_VERB à_ADP,était_VERB a_ADP,était_VERB pas_ADV,etait_VERB à_ADP,etait_VERB a_ADP,etait_VERB pas_ADV
1800,1.3790305274596903e-05,1.1633408547595536e-07,5.602901183010545e-06,8.174827570428533e-08,0.0,8.174827570428533e-08
1801,1.3953729649074376e-05,1.0715321963061797e-07,3.7908425838395488e-06,4.524246932646747e-08,2.3811825844433088e-09,4.0480102825313224e-08
1802,9.645091267884709e-06,7.161088433349505e-08,3.1128356567933224e-06,2.9091921760482364e-08,0.0,2.2378401354217203e-08
1803,1.107402567868121e-05,1.2092103318650516e-07,3.709545126184821e-06,2.730474935042082e-08,3.900678446910888e-09,2.9255089017965474e-08
1804,1.6410618627560325e-05,2.0763548569391332e-07,7.0497189881280065e-06,4.2021465418429216e-08,0.0,2.4718509905596875e-08
1805,1.1965672456426546e-05,9.665784173051861e-08,4.596933194989106e-06,4.264316633140197e-08,5.685755422035754e-09,3.980028751016107e-08
1806,1.3143292562745046e-05,2.1324351884288717e-07,4.034336598124355e-06,4.8988376022407465e-08,8.645007376628655e-09,2.0171682990621775e-08
1807,1.5279607396223582e-05,1.9643990789575128e-07,6.747283805452753e-06,5.4092147649953404e-08,5.693910232196231e-09,2.8469550272802735e-08
1808,1.1264653949183412e-05,2.4246992325061e-07,5.184777364775073e-06,5.891792298484688e-08,4.5321479902327155e-09,5.6651849433819734e-08
1809,1.3676170965482015e-05,1.8749952968022399e-07,6.304954240476945e-06,7.002994295568499e-08,6.7770917766551975e-09,6.777091243748146e-08
1810,1.213121686305385e-05,2.0125090038902727e-07,7.036760962364497e-06,4.9142660607515154e-08,9.360507036149102e-09,3.978215445954447e-08
1811,1.7958191165234894e-05,3.560048993378473e-07,6.217550435394514e-06,5.264861391296449e-08,1.2535384286138651e-08,5.0141537144554604e-08
1812,1.6520687495358288e-05,2.3471432797350644e-07,7.95094729255652e-06,5.067695596494559e-08,5.3344164641089264e-09,5.601137331723294e-08
1813,2.138976560672745e-05,2.904499041278541e-07,7.597709554829635e-06,5.7514832008109806e-08,2.8757416448144113e-09,4.601186631703058e-08
1814,1.9927905668737367e-05,3.3354778317118416e-07,5.777299065812258e-06,9.44003133440674e-08,9.440030979135372e-09,4.405347908686963e-08
1815,2.0221084923832677e-05,3.10180708673613e-07,6.378933903761208e-06,4.315557688983063e-08,8.091670444798638e-09,5.1247248222807684e-08
1816,1.8777227523969486e-05,1.9004351692331056e-07,6.0558991208381485e-06,8.1116134253989e-08,9.270415546325239e-09,4.8669683394564345e-08
