year,voulut_VERB unir_VERB,voulut_VERB punir_VERB
1800,1.8864987794131594e-08,6.60274537267469e-08
1801,7.143547975374531e-09,4.524246932646747e-08
1802,1.5664880947952042e-08,4.2518962573012686e-08
1803,1.1702034896643454e-08,4.290746247193056e-08
1804,1.4831105232815389e-08,2.7190360185613827e-08
1805,8.528632911009026e-09,2.2743021688143017e-08
1806,3.7461699520235925e-08,3.7461699520235925e-08
1807,5.97860605466849e-08,5.4092147649953404e-08
1808,0.0,4.305540457494317e-08
1809,4.518061036407062e-09,3.388545621874073e-08
1810,4.680253518074551e-09,7.956430891908894e-08
1811,1.0028307073639553e-08,8.524060746140094e-08
1812,2.6672082320544632e-09,3.7340914360584065e-08
1813,5.751483289628823e-09,1.3803560250380542e-07
1814,3.1466771410748606e-09,1.9824065589091333e-07
1815,5.394447111228828e-09,6.203614333344376e-08
1816,4.6352077731626196e-09,9.733936678912869e-08
1817,1.401186100480345e-08,3.7364962679475866e-08
1818,3.5763532135746345e-09,7.987188865854478e-08
1819,2.3807414706311647e-08,3.519356894798875e-08
1820,1.6613073583471305e-08,8.899861114741725e-08
1821,2.7612166775270452e-08,3.8459806006585495e-08
1822,6.015369535816717e-09,7.418955760840618e-08
1823,2.668325471688604e-08,6.81905376609393e-08
1824,2.2737005167527968e-08,7.831634718513669e-08
1825,3.522177216552791e-09,1.0214314016820936e-07
1826,1.9377566218281572e-08,5.108631029315802e-08
1827,1.1060727445055818e-08,7.742509211539073e-08
1828,3.668920500743411e-09,2.8434133270138773e-08
1829,1.3717081692732336e-08,5.572564276690173e-08
1830,1.0436835840010872e-09,2.6092090266160994e-08
1831,4.677361609140007e-09,3.741889287312006e-08
1832,1.8941957335982806e-08,3.2471927369215337e-08
1833,6.950177322551099e-09,9.03523016404506e-08
1834,1.4001796166951408e-08,4.573920264761e-08
1835,1.0588323107185715e-08,5.142899794918776e-08
1836,6.048674894287842e-09,7.930485423912614e-08
1837,9.045257876039159e-09,9.114837240531415e-08
1838,8.2058102535143e-09,8.079567237473384e-08
1839,1.1885507689157748e-08,4.9639474752893875e-08
1840,1.9109065441114126e-09,6.369688776430849e-08
1841,1.8619591202195807e-08,6.22793194793303e-08
1842,1.475818312002275e-08,5.2995293486901573e-08
1843,1.3585895075607368e-08,5.434358030242947e-08
1844,3.0187088384536764e-08,7.025358428336403e-08
1845,1.0602432709561072e-08,4.1293688468613254e-08
1846,1.6978054517835517e-08,4.507965911670908e-08
1847,3.775256551818984e-09,5.3392913201832926e-08
1848,1.287235473768078e-08,3.781254065415851e-08
1849,1.508294644736452e-08,6.954914510970411e-08
1850,1.8330290174617403e-08,4.616517301769818e-08
1851,1.483370937194195e-08,5.224045551699419e-08
1852,2.6042181744401205e-09,2.3437962681782665e-08
1853,6.569124799682413e-09,2.5679307569248522e-08
1854,5.7152309551611324e-09,6.442623856628416e-08
1855,6.368324534378189e-09,5.5722839675809155e-08
1856,1.0354378687793542e-08,4.866558001026533e-08
1857,9.274867096564776e-09,4.29572786231347e-08
1858,9.787352261980686e-09,4.5511185930990905e-08
1859,8.147477359443656e-09,6.110607841947058e-08
1860,2.746310290291376e-09,5.126446112058147e-08
1861,2.0278644541349422e-08,4.1500481273715195e-08
1862,1.0843167252971853e-08,3.162590545002786e-08
1863,5.9935452156878455e-09,4.195481650981492e-08
1864,1.2945765348604255e-08,3.5960461275408306e-08
1865,6.118897832863013e-09,5.45993934508715e-08
1866,7.298419202328432e-09,5.838735361862746e-08
1867,8.249779526181555e-09,6.017486242626546e-08
1868,1.975949626142892e-09,3.556709415875048e-08
1869,3.4184632902167778e-09,2.9789466893248573e-08
1870,1.6628741050794815e-08,4.0711746862598375e-08
1871,4.248470908407853e-09,7.434824311758348e-09
1872,5.442605477412599e-09,3.9912439575573444e-08
1873,1.1972009161809183e-08,3.6514627765882324e-08
1874,8.961913877669758e-09,4.002988163165355e-08
1875,1.1443054281912168e-09,3.089624556196213e-08
1876,2.418405919968336e-09,4.292670396921494e-08
1877,3.0924081073635534e-09,2.783167118991514e-08
1878,1.4493812372506909e-08,1.7513357875031943e-08
1879,7.94212251520321e-09,3.665595116331133e-08
