year,eurent_VERB eu_VERB,eurent_VERB pu_VERB
1800,6.60274537267469e-08,0.0
1801,3.095537337571841e-08,0.0
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,2.3404069793286908e-08,3.900678446910888e-09
1804,7.4155526164076946e-09,7.4155526164076946e-09
1805,1.9900143755080535e-08,0.0
1806,3.458002950651462e-08,2.5935023018064385e-08
1807,2.562259560079383e-08,0.0
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,1.581321384946932e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,4.5342538612658245e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,2.6972236000233352e-08,1.0788894222457657e-08
1816,1.1588019432906549e-08,0.0
1817,1.0898113522728181e-08,4.670620334934483e-09
1818,1.0729059418679299e-08,2.384235386898581e-08
1819,3.3123360054787554e-08,4.140420006848444e-09
1820,7.119888678630559e-09,7.119888678630559e-09
1821,7.396116075142345e-08,0.0
1822,8.02049271442229e-09,0.0
1823,3.854247765389118e-08,2.9648061783404955e-09
1824,8.336901657912676e-08,5.052667617633233e-09
1825,4.402721387464226e-08,2.641632912414593e-09
1826,1.4885493726524146e-07,0.0
1827,2.488663675137559e-08,9.217273055917019e-10
1828,2.2930752408001354e-08,1.8344602503717056e-09
1829,4.372319750700626e-08,8.57317605795771e-10
1830,2.400472176589119e-08,0.0
1831,2.3386808933878456e-08,1.5591206103948707e-09
1832,2.841293600397421e-08,0.0
1833,2.4325620628928846e-08,5.791814139399776e-09
1834,1.5868701908061666e-08,4.667265685043276e-09
1835,3.2521278114927554e-08,1.5126175867408165e-09
1836,6.72075017860152e-08,9.409050427677812e-09
1837,4.0355768504696243e-08,6.957890930081589e-10
1838,6.817134590164642e-08,5.680945491803868e-09
1839,4.264799713382672e-08,1.3982950353153e-09
1840,3.3759349093998026e-08,8.917564464638872e-09
1841,2.118781061710706e-08,1.2841097074556274e-09
1842,1.0062397137744483e-08,6.037438549100216e-09
1843,1.1223130869097986e-08,1.2404512972352677e-08
1844,8.232841963717874e-09,1.6465684371524958e-09
1845,2.4553003186156275e-08,0.0
1846,6.439951683034906e-09,5.854501328173001e-09
1847,1.6718992412734224e-08,5.393223645455691e-10
1848,8.04522137798358e-09,8.045221711050488e-10
1849,2.513824526317876e-08,2.513824481908955e-09
1850,2.2403686017469226e-08,1.0183494048021657e-08
1851,2.3217978650791338e-08,8.384270167027807e-09
1852,1.2370036550635177e-08,0.0
1853,1.970737528722566e-08,1.1943863675867306e-09
1854,2.338049043260071e-08,1.9743524148907454e-08
1855,1.751289246954002e-08,1.6982198758341838e-08
1856,1.0872097000458325e-08,1.0872097000458325e-08
1857,1.8061584228235006e-08,1.4644527812635033e-09
1858,2.495774786837046e-08,3.9149408159744326e-09
1859,2.64793023063703e-08,9.165912473463322e-09
1860,9.15436793036406e-09,4.57718396518203e-09
1861,1.226150558863992e-08,1.4147891747029462e-09
1862,2.1686334505943705e-08,7.228778020618165e-09
1863,1.6482248454963155e-08,1.4983863039219614e-09
1864,7.671564716815737e-09,4.794728170054441e-09
1865,9.413688495385486e-09,2.3534221238463715e-09
1866,9.731225603104576e-09,7.298419202328432e-09
1867,9.7056229719783e-09,0.0
1868,3.951899252285784e-09,8.397785578040384e-09
1869,2.8324411260882698e-08,5.860222973552709e-09
1870,1.2614907340946502e-08,6.880858549607183e-09
1871,1.4869648623516696e-08,1.4869648623516696e-08
1872,2.7817760539505798e-08,2.4189357183956872e-09
1873,1.3169209722718733e-08,5.387403856360606e-09
1874,8.364453130127458e-09,5.974609251779839e-09
1875,1.4875970677508121e-08,5.149374260327022e-09
1876,1.3905833817773328e-08,1.269663130187837e-08
1877,1.7317484335421796e-08,1.8554447978047506e-09
1878,1.0870359723469392e-08,6.039088784604019e-09
1879,2.3826368433788048e-08,6.109325489944695e-09
1880,1.0268554007097919e-08,6.417846254436199e-09
1881,1.3945014920579979e-08,0.0
1882,1.7969540522244642e-08,1.9966155395678697e-09
1883,1.516641390253426e-08,9.479008689083912e-09
1884,3.9610181801208455e-09,3.300848483434038e-09
1885,5.80107206715752e-09,7.090199094506033e-09
1886,2.2587123282846733e-08,6.4534639854230136e-09
1887,1.3710741875172516e-08,6.528924512139156e-09
1888,5.706553452000662e-09,5.07249175996094e-09
1889,6.891650361495749e-09,1.2530273485467092e-09
1890,9.831579994568074e-09,1.3108772956016423e-09
1891,1.0836173736095134e-08,3.824531802365527e-09
1892,1.8805536683430546e-08,4.387958441043338e-09
1893,9.23762488724833e-09,1.2316833108982905e-09
1894,1.5753848003896564e-08,6.9316934414587195e-09
1895,6.018614495673091e-09,1.8055843487019274e-09
1896,1.4152869098893461e-08,7.66613794667137e-09
1897,1.2236098356765979e-08,1.1653427112179315e-09
1898,1.0750873968845553e-08,7.355861253444118e-09
1899,3.8693048765026106e-09,1.0502398950507086e-08
1900,9.34389543516545e-09,2.595526460424935e-09
1901,1.676621685930968e-08,7.824234593556412e-09
1902,1.0311596021495006e-08,2.9461704187383475e-09
1903,1.296052865029651e-08,4.860198465905796e-09
1904,3.7622376325430196e-09,4.837162670412454e-09
1905,7.2250627702885595e-09,2.0643036169332163e-09
