year,eut_VERB assez_ADV,eut_VERB passé_VERB
1800,6.571303856617305e-07,2.86118961412285e-07
1801,5.905332614020153e-07,3.262220218402945e-07
1802,7.116331630641071e-07,3.6924362234458386e-07
1803,7.879370400587504e-07,2.925508795215137e-07
1804,7.934641530482622e-07,3.386435878383054e-07
1805,8.130630249070236e-07,3.951600149321166e-07
1806,5.965055152046261e-07,3.054569219784753e-07
1807,6.491057433777314e-07,5.039110533289204e-07
1808,8.611081057097181e-07,3.104521510977065e-07
1809,8.019558208616218e-07,2.6656559271032165e-07
1810,9.945538295141887e-07,3.556992567155248e-07
1811,1.0680147397579276e-06,6.643753636126348e-07
1812,7.121445833035978e-07,3.440698606027581e-07
1813,8.771012289798819e-07,2.0705340375570813e-07
1814,7.552025067525392e-07,3.5242783269495703e-07
1815,4.855002657677687e-07,4.4504187712846033e-07
1816,7.184572154983471e-07,2.3407798721564177e-07
1817,7.426286288136907e-07,2.8646471150750585e-07
1818,8.16600675079826e-07,5.054579332863796e-07
1819,1.0268241794619826e-06,3.9333988866019354e-07
1820,9.303321348852478e-07,3.5124784858453495e-07
1821,8.441434147243854e-07,3.4811054661076923e-07
1822,7.880133807702805e-07,3.5791447317023994e-07
1823,8.093920769169927e-07,6.552221520905732e-07
1824,8.008478289411869e-07,6.172675739435363e-07
1825,1.1367826573405182e-06,5.565040055444115e-07
1826,5.945389602857176e-07,5.971813266114623e-07
1827,8.461456673103385e-07,4.083252065356646e-07
1828,7.291979500223533e-07,3.43044064265996e-07
1829,6.584199354620068e-07,3.0349042390298564e-07
1830,7.61888998113136e-07,3.475466314739606e-07
1831,6.23648247710662e-07,3.398882881811005e-07
1832,5.655527388626069e-07,3.4907321833088645e-07
1833,5.455888754113403e-07,4.1816898033175676e-07
1834,7.8876786346882e-07,3.6031289596394345e-07
1835,7.010982585597958e-07,4.5529787939813104e-07
1836,7.708700309194683e-07,5.148094714968465e-07
1837,7.584101240354357e-07,3.2702087082725484e-07
1838,8.060630989348283e-07,5.359025294637831e-07
1839,7.019440886324446e-07,4.117978846807091e-07
1840,6.42064605926862e-07,4.3696064722098527e-07
1841,5.232747071204358e-07,2.940611238955171e-07
1842,5.748983085140935e-07,4.6085781946203497e-07
1843,5.836027980876679e-07,3.2665218441252364e-07
1844,6.536876639984257e-07,3.073594427860371e-07
1845,5.2454140586633e-07,3.6327284647086344e-07
1846,5.754974949923053e-07,3.120449321158958e-07
1847,5.857040719092765e-07,2.5671744197097723e-07
1848,5.639700475512655e-07,2.1883002432332432e-07
1849,2.765206943422527e-07,1.8267124346493802e-07
1850,4.650462415156653e-07,3.8289937265290064e-07
1851,4.985416239833285e-07,3.534292432050279e-07
1852,4.1016437535290606e-07,3.6589264595932036e-07
1853,5.90624040341936e-07,2.711257138798828e-07
1854,5.226838197813777e-07,3.278464362210798e-07
1855,5.397155291575473e-07,2.6693894028539944e-07
1856,4.897621010968578e-07,2.189950976116961e-07
1857,6.131175496193464e-07,3.1046397452882957e-07
1858,5.970284746581456e-07,2.8089701231692743e-07
1859,5.468994004331762e-07,2.535902297040593e-07
1860,4.833506181967095e-07,3.4191563713648065e-07
1861,4.7678392434136185e-07,2.702247172692296e-07
1862,5.362849719858787e-07,2.918619088632113e-07
1863,5.389196076066582e-07,2.836944759110338e-07
1864,4.847469767810253e-07,3.0206786050257506e-07
1865,5.234010700405634e-07,2.692314922114747e-07
1866,3.950877669467445e-07,2.525252966734115e-07
1867,4.5567898609988333e-07,2.712721709485777e-07
1868,4.060576372921787e-07,2.1290857432632038e-07
1869,4.0142526813724544e-07,2.5345462972836685e-07
1870,4.2833343627535214e-07,2.3566940399177838e-07
1871,3.6218213494976226e-07,2.8570966037477774e-07
1872,4.402463105179777e-07,2.8180602384964004e-07
1873,3.160610333452496e-07,2.400387870693521e-07
1874,3.632562481925561e-07,2.0731893357606168e-07
1875,3.8219801012928656e-07,2.2027879253982974e-07
1876,3.724344992406259e-07,2.1644733294579055e-07
1877,3.46349708024718e-07,2.919233281772904e-07
1878,4.215283979647211e-07,2.1257592663914693e-07
1879,4.362058234619326e-07,2.8652735295509046e-07
1880,4.075332356023864e-07,2.0408751311151718e-07
1881,3.297996045148466e-07,1.5967042088504968e-07
1882,4.2794127352863143e-07,2.296107908250633e-07
1883,3.0775180448472383e-07,1.9463564626676089e-07
1884,4.0798488498694496e-07,2.2181701808676735e-07
1885,2.778068903808162e-07,1.9788102179063571e-07
1886,3.2396388860433945e-07,1.7811559871461213e-07
1887,2.7552061965252506e-07,1.4951237403693085e-07
1888,3.4112505886696454e-07,1.864140699581185e-07
1889,3.4520903113843815e-07,1.6477309827678255e-07
1890,2.1760563129191723e-07,1.389529984408e-07
1891,3.1743616091262084e-07,1.2365987345219764e-07
1892,2.758145569714543e-07,1.410415251257291e-07
1893,2.1369704938933864e-07,1.7428318699330703e-07
1894,2.9491204145415395e-07,1.770732609429615e-07
1895,2.9250466582197987e-07,1.6671562264036766e-07
1896,2.4826491085150337e-07,1.3681106736385118e-07
1897,2.4763531314420106e-07,1.474158466407971e-07
1898,2.2576836045118398e-07,1.2561547180212074e-07
1899,2.2607795813200937e-07,1.956762787358457e-07
