year,devaient_VERB unir_VERB,devaient_VERB punir_VERB
1800,3.144164395507687e-08,0.0
1801,2.6193008650921e-08,0.0
1802,6.713520406265161e-09,0.0
1803,1.950339223455444e-09,3.900678446910888e-09
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,1.729001475325731e-08,0.0
1807,8.540865792383556e-09,8.540865792383556e-09
1808,2.2660739951163578e-09,0.0
1809,1.3554183553310395e-08,2.25903047379461e-08
1810,0.0,1.8721014072298203e-08
1811,1.504245972228091e-08,0.0
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,3.1466772298927026e-08,6.293354282149721e-09
1815,2.1577788444915313e-08,8.091670444798638e-09
1816,1.8540831092650478e-08,6.952811659743929e-09
1817,2.1796227045456362e-08,1.2454987263765815e-08
1818,1.7881765401739358e-08,1.5497530370112145e-08
1819,1.035105001712111e-09,2.6912729822470283e-08
1820,4.390598107306687e-08,1.0679833017945839e-08
1821,2.070912508145284e-08,1.8736827200882544e-08
1822,1.4035862250239006e-08,8.02049271442229e-09
1823,4.941343334508019e-09,9.882686669016039e-09
1824,2.0210670470532932e-08,1.1789557774477544e-08
1825,1.0566531649658373e-08,1.1447076175841175e-08
1826,1.7615968683770689e-09,1.4092774947016551e-08
1827,1.3825909306319772e-08,1.1060727445055818e-08
1828,3.3020285172824515e-08,1.0089530988466322e-08
1829,8.573175946935407e-09,2.914879893012312e-08
1830,1.0436835840010872e-09,2.6092090266160994e-08
1831,9.354723218280014e-09,2.8064171431196883e-08
1832,2.0294953273491956e-08,2.705993829010822e-08
1833,1.50587169400751e-08,1.1583628500844156e-09
1834,4.1071935186209885e-08,5.600718555598405e-09
1835,2.2689263801112247e-08,1.1344631900556124e-08
1836,1.2769425516978572e-08,4.704525213838906e-09
1837,3.061472142462662e-08,3.478945576063097e-09
1838,1.3255539776935166e-08,1.4517972601879592e-08
1839,3.775396706373613e-08,4.894032734625853e-09
1840,2.8026629905752998e-08,1.592422194107712e-08
1841,1.7977535904378783e-08,1.0914932957462042e-08
1842,2.2808102073668124e-08,1.2745703159566801e-08
1843,2.3036953678001737e-08,5.906910960362666e-09
1844,3.841993034825464e-08,1.5916826967554698e-08
1845,5.524425716885162e-08,1.674068350610014e-08
1846,4.3323311160747835e-08,1.5807152919933287e-08
1847,3.235934187273415e-08,2.3190860787281053e-08
1848,3.700802153616678e-08,1.609044275596716e-08
1849,4.8600607982507427e-08,1.9272654583346593e-08
1850,4.820187271548093e-08,1.1541293254424545e-08
1851,1.9348316726564008e-08,1.3543821175687754e-08
1852,2.6042181744401205e-08,5.208436348880241e-09
1853,1.4332636411040767e-08,4.777545470346922e-09
1854,4.312401458150816e-08,1.2989160858012383e-08
1855,2.4942604426314574e-08,8.491099379170919e-09
1856,1.0354378687793542e-08,6.212626857404757e-09
1857,2.001418764052687e-08,3.4170564155999728e-09
1858,9.787352261980686e-09,1.2723557318849998e-08
1859,9.675129142294736e-09,9.165912473463322e-09
1860,1.6477862629926676e-08,1.9681891672007623e-08
1861,1.5091083938045813e-08,1.6034276129062164e-08
1862,1.536115412648087e-08,2.710791813242963e-09
1863,1.7980635647063536e-08,2.9967726078439227e-09
1864,1.6781548595190543e-08,1.1507347075223606e-08
1865,2.871175119878444e-08,8.001635798393636e-09
1866,1.556996132023869e-08,3.8924903300596725e-09
1867,1.2132028714972876e-08,3.396968040192405e-09
1868,6.915823469455518e-09,5.433861360870651e-09
1869,9.278686263769487e-09,1.8557372527538973e-08
1870,2.695002976338401e-08,5.734048791339319e-09
1871,8.496941816815706e-09,9.559059321873065e-09
1872,1.9351485747165498e-08,4.23313739617015e-09
1873,1.3767810003173508e-08,2.9930022904522957e-09
1874,1.4339061493728877e-08,0.0
1875,0.0,1.716458086775674e-09
1876,9.069021977836655e-09,9.069021977836655e-09
1877,2.783167118991514e-08,8.658742167710898e-09
1878,1.3889904337816006e-08,4.831270938865373e-09
1879,9.163987790827832e-09,1.8938909107646396e-08
1880,2.9522093214495726e-08,3.8507077526617195e-09
1881,1.4642266066289267e-08,1.045876096839038e-08
1882,1.5972924316542958e-08,9.317538740560849e-09
1883,1.7694148368718743e-08,4.423537092179686e-09
1884,1.7824582698722224e-08,4.621187876807653e-09
1885,1.8692343672910283e-08,6.445635691854079e-10
1886,1.4197620856748472e-08,8.38950331427668e-09
1887,9.140494583448344e-09,1.1099172247952538e-08
1888,1.6485598663962264e-08,3.804368819970705e-09
1889,1.2530273707511697e-08,1.2530273485467092e-09
1890,7.865263995654459e-09,1.3108772956016423e-09
1891,4.461953917456185e-09,1.2748440081367107e-09
1892,1.2537024751679837e-08,5.641661360300532e-09
1893,1.23168328869383e-08,1.847525021858587e-09
1894,1.5123694296903523e-08,5.041231432301174e-09
1895,1.023164486468886e-08,4.814891596538473e-09
1896,1.2383760683576384e-08,0.0
1897,9.322741689743452e-09,4.661370844871726e-09
1898,7.921697076085366e-09,3.3950129374460403e-09
1899,3.3165470370022376e-09,5.527578395003729e-09
1900,1.557315876254961e-08,2.07642125715779e-09
1901,1.900171220370339e-08,1.2295225282343836e-08
1902,1.0802624572647801e-08,2.455141867585553e-09
1903,8.640352433531007e-09,4.320176216765503e-09
1904,1.5048950530172078e-08,1.0749250378694342e-09
1905,9.28936660926638e-09,2.0643036169332163e-09
1906,1.4918134283448126e-08,2.0576738091193647e-09
1907,6.1714118260169926e-09,2.057137349353866e-09
1908,8.349361202419914e-09,1.964555629285769e-09
1909,1.980354014108343e-08,6.0510818578052294e-09
1910,6.412980813053082e-09,5.344150677544235e-10
1911,7.448523575703803e-09,4.25629931299909e-09
1912,8.335073964360618e-09,3.646594803896619e-09
1913,1.2727175757731857e-08,3.181793939432964e-09
1914,8.036092680185902e-09,8.036092680185902e-09
1915,8.246533234057551e-09,3.534228465440492e-09
1916,3.186363883855847e-08,4.394984820521586e-09
1917,6.57985488317081e-09,2.1932848870420685e-09
1918,8.040463406189247e-09,8.040463406189247e-09
1919,1.4732557396257562e-08,1.8415696745321952e-09
1920,1.590168707821249e-08,7.572231730534895e-10
1921,9.844571380313027e-09,7.572747429129834e-10
1922,1.623145884366295e-08,2.2133805899215986e-09
1923,3.1847844361720945e-09,7.431163684401554e-09
1924,1.5469948877466777e-08,0.0
1925,2.0896537833436923e-08,0.0
1926,1.2260752413340015e-08,2.229227691330493e-09
1927,5.574612327308159e-09,0.0
1928,5.713020723163709e-09,0.0
1929,1.0026365515614089e-08,2.2280812750352652e-09
1930,1.3654684494213143e-08,4.201441416995522e-09
1931,1.2545892325022123e-08,1.1405356659111021e-09
1932,5.4797681947604815e-09,1.0959536611565568e-09
1933,1.1470662197865522e-09,6.882397318719313e-09
1934,1.0783422155213884e-08,1.1981580172459871e-09
1935,5.98414207075848e-09,1.196828414151696e-09
1936,8.487299751891442e-09,0.0
1937,2.0145789036973838e-08,6.295559185076627e-09
1938,9.075650453382877e-09,1.2965214457594243e-09
1939,7.647025235257843e-09,0.0
1940,2.028626333583361e-08,2.5357829169792012e-09
1941,0.0,0.0
1942,3.034211770724937e-09,9.102635090130207e-09
1943,1.4516175816936538e-08,0.0
1944,1.2852744646352221e-08,6.4263723231761105e-09
1945,1.089252066321933e-08,0.0
1946,6.960552134671616e-09,8.352662561605939e-09
1947,8.344609447874518e-09,2.3841741914054637e-09
1948,1.848220954059343e-08,4.348755133776194e-09
1949,1.2762110479513922e-08,0.0
1950,6.381216888229346e-09,2.1270722960764488e-09
