year,aient_VERB eu_VERB,aient_VERB pu_VERB
1800,1.7292904885835014e-06,1.75129957824538e-06
1801,1.4263283674154081e-06,1.7882681504488573e-06
1802,1.6403367908424116e-06,1.9334938770043664e-06
1803,1.6948447409959044e-06,1.81576581326226e-06
1804,1.3273839840621804e-06,1.8093949165631784e-06
1805,1.7682699535725988e-06,1.975799932552036e-06
1806,1.685776396698202e-06,1.7635815083849593e-06
1807,1.4889575368215446e-06,1.5743661379019613e-06
1808,1.5658571328458493e-06,2.123311332979938e-06
1809,1.6061707128756098e-06,2.1370428839873057e-06
1810,1.4110964912106283e-06,1.5515040558966575e-06
1811,1.4290337730926694e-06,1.5217956388369203e-06
1812,1.6803411426735693e-06,1.7950311530512408e-06
1813,1.6794331259006867e-06,2.3494808374380227e-06
1814,1.5922186094030621e-06,1.7998993371293182e-06
1815,2.0121287889196537e-06,2.656765218489454e-06
1816,1.5018073327155435e-06,1.8888471231548465e-06
1817,1.7795063058656524e-06,2.0348336420283886e-06
1818,1.633201350159652e-06,2.0766690340678906e-06
1819,1.928400706674438e-06,2.165439582313411e-06
1820,1.561628891977307e-06,2.0944339667039458e-06
1821,1.9308793071104446e-06,1.9831452391372295e-06
1822,1.6191369240914355e-06,2.0001102711830754e-06
1823,1.298585061704216e-06,1.5743120229672058e-06
1824,1.5292740727090859e-06,1.7111700572058908e-06
1825,1.6369318700526492e-06,1.8597095277073095e-06
1826,1.4709333981954842e-06,1.8690542447075131e-06
1827,1.6286921891150996e-06,2.046234612862463e-06
1828,1.709716912046133e-06,2.2866547624289524e-06
1829,1.7334962194581749e-06,2.4210648916778155e-06
1830,1.974649421754293e-06,2.3274144496099325e-06
1831,1.7165917824968346e-06,1.920836666613468e-06
1832,1.6168313550224411e-06,1.9902583971997956e-06
1833,1.4583788470190484e-06,2.028293238254264e-06
1834,1.7511580381324166e-06,2.1077371457067784e-06
1835,1.5723659316790872e-06,2.1274966002238216e-06
1836,1.5256102869898314e-06,2.129133690687013e-06
1837,1.723469608805317e-06,1.982998810490244e-06
1838,1.6329562413375243e-06,2.033778628174332e-06
1839,1.6548822259210283e-06,2.144984591723187e-06
1840,1.546560383758333e-06,2.208371142842225e-06
1841,1.8401292436465155e-06,2.384591653026291e-06
1842,1.6750537952248123e-06,2.113774371537147e-06
1843,1.8606770026963204e-06,2.5116185042861616e-06
1844,1.6624852605673368e-06,2.217378778368584e-06
1845,1.6629079482299858e-06,2.2979379536991473e-06
1846,1.8359716023041983e-06,2.4097128061839612e-06
1847,1.5386866607514094e-06,2.4673997813806636e-06
1848,1.6380071201638202e-06,2.167382717743749e-06
1849,1.6767208990131621e-06,2.0856364244536962e-06
1850,1.7176159872178687e-06,2.078111720038578e-06
1851,1.6555709407839458e-06,2.19022945202596e-06
1852,1.7265966789636877e-06,2.169964773202082e-06
1853,1.7324574628219125e-06,2.116452606060193e-06
1854,1.6407908560722717e-06,2.105283329001395e-06
1855,1.5406038755827467e-06,1.937562728926423e-06
1856,1.5697237358835991e-06,2.026869651672314e-06
1857,1.6118742678372655e-06,1.9687126950884704e-06
1858,1.6095300452434458e-06,2.0631737243093085e-06
1859,1.4522878473144374e-06,2.2140770852274727e-06
1860,1.5837056253076298e-06,2.1004696009185864e-06
