year,tout_DET or_NOUN,tout_DET porc_NOUN
1800,9.432493452976587e-09,0.0
1801,4.286128785224719e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,4.290746380419819e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,2.842877755426798e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,8.35841271751292e-08,0.0
1810,1.8721014516387413e-08,0.0
1811,4.512738271955641e-08,1.0028307073639553e-08
1812,1.8670456736202823e-08,0.0
1813,5.7514832008109806e-08,0.0
1814,2.2026739543434815e-08,1.5733386149463513e-08
1815,2.6972236000233352e-08,0.0
1816,3.476405829871965e-08,0.0
1817,3.89218364205135e-08,0.0
1818,3.21871784780825e-08,0.0
1819,3.415846616672269e-08,0.0
1820,2.0173017922786585e-08,0.0
1821,1.6764530097468366e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,6.819054299000982e-08,1.9765373782121287e-09
1824,1.7684337549894735e-08,3.3684450784221553e-09
1825,7.132408930132783e-08,0.0
1826,2.6423953580767545e-08,0.0
1827,1.4747637222534138e-08,0.0
1828,2.5682442839070063e-08,0.0
1829,9.430493719264632e-09,0.0
1830,2.5048406016026092e-08,0.0
1831,7.951515157422762e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,4.865124036967927e-08,2.3167257001688313e-09
1834,4.013848342587778e-08,0.0
1835,2.7227116561334697e-08,7.563087933704082e-10
1836,2.0834324654384062e-08,0.0
1837,4.3834712526447106e-08,0.0
1838,4.418513199766494e-08,0.0
1839,1.1466019300687691e-07,0.0
1840,3.7581163736533085e-08,6.369688665408546e-10
1841,3.467096254539115e-08,0.0
1842,5.2324466537356784e-08,0.0
1843,3.3078700778510495e-08,1.1813822142769936e-09
1844,2.1405388628270572e-08,5.488561272137815e-10
1845,3.459741143574391e-08,0.0
1846,2.868705673009231e-08,0.0
1847,3.289866423727972e-08,0.0
1848,1.850401076808339e-08,4.02261068899179e-09
1849,1.5920888163378777e-08,6.703531951757213e-09
1850,2.5798185809833285e-08,1.3577992064028876e-09
1851,2.257303544084266e-08,9.029214709244116e-09
1852,3.711010876372711e-08,6.510545436100301e-10
1853,3.1054045557254994e-08,3.5831591027601917e-09
1854,3.1693553004252806e-08,3.117398783558656e-09
1855,2.812676669350367e-08,2.653468555990912e-09
1856,2.174419438949471e-08,4.141751386299575e-09
1857,2.4407545762272775e-08,0.0
1858,8.808616835942473e-09,4.893676019968041e-10
1859,1.9859475397510096e-08,5.092173349652285e-10
1860,3.249800462068464e-08,9.154367819341758e-10
1861,4.527325092595902e-08,0.0
1862,3.433669720775967e-08,0.0
1863,5.494082988555249e-08,1.4983862484108101e-09
1864,1.726102105692462e-08,4.315255153208852e-09
1865,4.0008176604988677e-08,1.4120533631256649e-09
1866,4.4763639239775443e-08,1.3623715933164249e-08
1867,2.7661025470138156e-08,4.85281148598915e-10
1868,2.2723420589620957e-08,2.9639244392143382e-09
1869,3.5161337064160136e-08,0.0
1870,2.5803219116937726e-08,5.734048791339319e-10
1871,4.991953339583688e-08,1.0621177271019633e-09
1872,2.9027229508926666e-08,3.023669647994609e-09
1873,2.7535620672480832e-08,1.7958012854535355e-09
1874,3.405527093658378e-08,0.0
1875,2.059749715233039e-08,5.721527251978387e-09
1876,1.8138044177717916e-08,6.04601479992084e-10
1877,4.329371305900054e-08,4.9478527941460015e-09
1878,2.596808079680102e-08,7.2469061862534545e-09
1879,5.437299632760073e-08,4.27652757650776e-09
1880,1.8611755026043397e-08,2.5671385017744797e-09
1881,2.8587281097891548e-08,2.789003084036068e-09
1882,5.257754431831074e-08,3.3276925659464496e-09
1883,2.0853819060473455e-08,6.319339052041073e-09
1884,2.77271263726675e-08,9.242375753615306e-09
1885,2.7716233141905633e-08,1.933690763067375e-09
1886,6.51799884066051e-08,5.162771044009418e-09
1887,2.415702088365279e-08,8.48760173255414e-09
1888,2.4728396885720372e-08,8.87686080197625e-09
1889,2.8193114509633688e-08,6.891650583540354e-09
1890,3.9981758626073116e-08,1.9663159434024635e-09
1891,1.8485237118781583e-08,1.211101796627645e-08
