year,long_ADJ épi_NOUN,long_ADJ dépit_NOUN
1800,1.194782499602809e-07,0.0
1801,2.6193008650921e-08,0.0
1802,1.4545960880241182e-07,0.0
1803,2.5354410126965377e-07,0.0
1804,1.507829097135982e-07,0.0
1805,1.5635826855486812e-07,0.0
1806,9.797675204481493e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,7.704651494577774e-08,2.039466551195801e-08
1809,1.4683698168482806e-07,0.0
1810,2.3401267590372754e-09,9.360507036149102e-09
1811,8.273353557797236e-08,0.0
1812,2.1337665856435706e-08,1.3336041604361526e-08
1813,5.751483289628823e-09,0.0
1814,9.440030979135372e-09,0.0
1815,4.5852800667489646e-08,0.0
1816,1.7382029682266875e-07,0.0
1817,1.6969920579867903e-07,0.0
1818,7.867976847819591e-08,0.0
1819,9.00541365922436e-08,8.280840013696888e-09
1820,2.3732962262101864e-09,0.0
1821,4.141825016290568e-08,0.0
1822,7.418955760840618e-08,0.0
1823,9.38855251320092e-08,0.0
1824,3.3684450784221553e-08,0.0
1825,5.107157008410468e-08,0.0
1826,8.807984386294265e-08,0.0
1827,1.7881509961625852e-07,0.0
1828,3.210305266065916e-08,0.0
1829,7.630126930280312e-08,0.0
1830,2.1917355041978226e-08,2.0873671680021744e-09
1831,6.548306430431694e-08,0.0
1832,2.976593194148336e-08,0.0
1833,1.50587169400751e-08,0.0
1834,2.5203233278148218e-08,0.0
1835,6.277362984974388e-08,0.0
1836,3.965242711956307e-08,0.0
1837,3.6181031504156635e-08,0.0
1838,3.28232410140572e-08,0.0
1839,2.027527834513876e-08,0.0
1840,1.3376346252869098e-08,0.0
1841,1.6051371787284552e-08,0.0
1842,1.2074877098200432e-08,0.0
1843,6.497602011990011e-09,0.0
1844,1.4270259640625227e-08,1.6465684371524958e-09
1845,3.459741293454499e-08,0.0
1846,1.9905304071698993e-08,0.0
1847,1.77976389181822e-08,0.0
1848,8.84974404868899e-09,0.0
1849,3.5193544078993e-08,0.0
1850,2.7834882843080777e-08,8.82569484161877e-09
1851,1.2253933334704925e-07,0.0
1852,4.687592625174375e-08,9.114764054629632e-09
1853,2.329053394589664e-08,0.0
1854,3.16935526711859e-08,3.63696517347023e-09
1855,5.094659627502551e-08,0.0
1856,1.0872097000458325e-08,0.0
1857,3.514686497396724e-08,0.0
1858,1.8106600663259087e-08,0.0
1859,2.3933214521321133e-08,0.0
1860,3.524431502199832e-08,4.577183909670879e-10
1861,2.4994607272788016e-08,9.431927461278633e-10
1862,3.027050965442868e-08,2.710791813242963e-09
1863,2.4973104473247076e-08,0.0
1864,3.643993196078554e-08,9.589455896019672e-10
