year,long_ADJ deuil_NOUN
1800,3.144164395507687e-08
1801,1.142967676059925e-07
1802,4.0281122437590966e-08
1803,2.7304748684287006e-08
1804,9.88740396223875e-08
1805,6.822906328807221e-08
1806,5.4751712497136396e-08
1807,4.27043254092041e-08
1808,7.024829073998262e-08
1809,5.421673421324158e-08
1810,4.212228077449254e-08
1811,6.016983888912364e-08
1812,4.800974906515876e-08
1813,1.1790540810352468e-07
1814,8.810695817373926e-08
1815,4.8550024445148665e-08
1816,3.244645441213834e-08
1817,3.113746771532533e-08
1818,5.0068944545955674e-08
1819,7.03871378959775e-08
1820,4.865257352548724e-08
1821,5.5224333550540905e-08
1822,5.6143449000956025e-08
1823,3.360113609574e-08
1824,4.5474010335055937e-08
1825,4.6668848341369085e-08
1826,5.813269510213104e-08
1827,5.2538457140371975e-08
1828,2.2930752408001354e-08
1829,2.3147574523818548e-08
1830,4.800944353178238e-08
1831,6.236482619215167e-08
1832,9.065079353831607e-08
1833,7.645194699534841e-08
1834,6.067445212920575e-08
1835,4.764745398233572e-08
1836,4.637317374545091e-08
1837,3.2006298056330706e-08
1838,4.102905393210676e-08
1839,3.8453112694014635e-08
1840,3.567025785855549e-08
1841,4.687000298986277e-08
1842,3.219967226186782e-08
1843,3.485077471054865e-08
1844,3.1833653935109396e-08
1845,2.9575208060350633e-08
1846,3.8639708321852595e-08
1847,2.9662729161827883e-08
1848,2.252662056889676e-08
1849,3.6869426622843093e-08
1850,4.073397619208663e-08
1851,3.031236062156495e-08
1852,3.2552726736412296e-08
1853,5.3747385209135246e-08
1854,3.844791862661623e-08
1855,4.4578271740647324e-08
1856,6.005539177067476e-08
1857,4.637433548282388e-08
1858,4.306435030798639e-08
1859,7.027199444564758e-08
1860,4.165237399433863e-08
1861,2.4994607272788016e-08
1862,2.981871105589562e-08
1863,3.096664968893492e-08
1864,3.5960461275408306e-08
1865,3.153585836912498e-08
1866,3.065336073859726e-08
1867,3.688136729351754e-08
1868,5.977247496957716e-08
1869,3.90681549333749e-08
1870,3.2110673231500186e-08
1871,1.4869648623516696e-08
1872,2.237515595027162e-08
1873,4.549363552541763e-08
1874,1.9716210886144836e-08
1875,2.1169650921137873e-08
1876,3.9903696347209916e-08
1877,3.030559980743419e-08
