sesDETailesNOUN_count,sesDETbellesADJ_count
2195.0001033398476,557.9999954833461
1661.9999718839522,816.0000032378747
2122.9999241835326,1007.000019560171
3920.0001472394497,1005.0000516896112
1721.9999733024642,827.0000407762947
1309.0000107267786,568.000029265508
1626.0000540328813,740.9999956855947
945.0000244147377,568.0000011511459
1578.9999255659848,778.9999910750921
1609.0000241014477,808.0000247509906
1660.9999372487498,840.9999638678634
1160.9999768022678,816.9999362824136
977.0000554782988,738.9999939844621
879.0000205326328,690.9999633067122
628.999953495256,575.9999892404055
669.999988535366,617.9999812822689
2831.000153317749,762.0000307486814
3770.9998931466525,1142.9999479626129
3907.0000188725226,1588.0000636845114
2734.999865515689,1727.9999137953823
2140.0001072944638,1345.0000969264527
2835.000091212378,1952.9999866198916
3379.000110765894,2079.99999403486
2670.9999030879726,1828.9999742951065
2913.999847787443,2402.999907184732
3268.000015046911,2180.9998939054867
3668.000067647535,1884.0000232479613
2690.9999315160694,1942.0000930460137
3222.999904365014,1778.9999145506151
2868.000026854706,2252.0000012742107
3473.9999661447787,1767.000029824799
1899.0000070392646,989.0000418483912
3820.99981164971,1529.9999959280185
3679.000100711101,1720.000084790455
4384.000075714133,2019.0000345324158
4349.999900028595,2432.9998937673004
5787.999838585466,2832.000017283702
4276.00000435904,2845.0000348451204
5199.000215938891,3384.0001693480303
3841.0000962776644,2648.0000381686564
4289.999705204654,2885.999887881337
5239.999769463231,2923.999966631941
4511.999827667053,3003.9999248434788
5221.999798726091,3121.999998473935
4652.000196938066,3319.000083485875
4936.000098933091,3277.999852270452
4626.999848755704,3228.9999310502158
4191.999935797439,2921.0000359586643
2661.000094740247,1987.9999702185246
3133.999820654285,1890.9999729728133
4183.000173162516,2661.000037615874
3825.9998499918506,2591.9999144821413
4917.000070977711,2466.999930328665
5450.000330877902,3032.000122729361
5421.999865302973,3999.9999612139163
6110.000000869931,4119.99995728619
5534.000095631931,3460.999975157962
6455.999591697755,4420.999640892197
5342.000241923748,4266.000329676991
5903.00006102458,3812.999952049265
7228.999981758734,4369.000053144209
6375.999790157574,3997.9997550891485
5891.000101255957,4237.999907382144
5044.00021799149,3717.0001387223965
5651.000097866469,4008.000216104772
5246.0002300988035,3718.0001515416875
5478.000266975953,3633.000180328944
6531.9998597268395,4192.000005037916
5316.999983821635,3750.999818813132
5892.999788854501,3942.9998242012325
4378.999993355781,3132.9999842724087
2298.000114686772,1409.0000361479501
3881.0002348517273,2488.9999670108855
3652.000099205725,2624.9999332806033
7140.000154174215,3082.000095108864
4153.999894364952,2938.00004604304
3775.000030407308,3176.9999634327446
3898.000035565036,2792.99983414561
4071.999973507083,2880.0001033462518
3410.999721379156,2856.9998863612077
3000.999859700342,2790.9998991793964
2847.0000167520316,2572.9999519753974
3404.0000804041993,2774.0001567948225
3108.0000302057197,2721.000114355706
3683.9997879352395,2714.9998770816383
2914.00004321157,2455.000063733382
3269.9997613553273,2784.999808333289
3307.999885566831,2478.999964734444
3143.9998674478447,2761.9999518311506
2898.999934469193,2610.9999639532107
2978.000036059457,2509.000106766101
3126.9998336365293,2523.0000666507863
2479.000092694833,2495.999991399101
2689.0000121667695,2622.000016607011
2834.9999892655255,2727.0000063195407
2884.999948624841,2505.9999905518207
2719.0001471641754,2637.000186364871
2709.000105476341,2547.00006051888
2566.000184899769,2420.0001137798313
2957.999931269888,2468.0000208860192
2922.000160591874,2944.0001173600244
2686.999862440499,2594.0000075174016
3252.0001258909974,2716.000142127542
2993.0001114190095,2663.0002089279806
2711.9998910462446,2393.0000064169535
2932.999885013074,2761.000013214814
2840.0000350295068,2494.9998562692117
3160.999880484083,2738.0000088161933
3978.000174348524,2750.0001167415885
3724.9997883116994,2575.000040869851
4093.999761592347,2700.9998749115493
3655.0002392075717,2781.0000845695604
3802.9998324982753,2439.000001553638
3369.999778933453,2713.999863844537
2333.9999790661404,2095.0000164818616
1236.0000046123241,974.0000087290992
2125.000081072853,1058.0000404773423
1938.999992621064,1305.0000022030597
2066.9999965889583,1173.999983592799
2148.9999520024985,1585.0000550309555
2262.000099175781,1752.00008618628
2401.0001102254837,1807.000090773813
2817.999843949132,1833.9999289616717
1929.0000097779725,1265.9999496138628
1418.999962611525,1080.99998187255
1714.9999763760497,1341.999956059899
1658.000004185744,1280.0000026008968
1767.0000018193723,1356.0000228361682
1434.0000118117603,1183.0000611195073
1391.0000061634412,1192.999939302224
1517.0000549189226,1245.0000879391048
1434.0000430076134,1039.0000386638458
1331.0000161791975,1149.9999541750665
1293.9999958604294,1040.9999217597301
1266.0000191268186,1053.0000544416475
1394.0000152051655,988.0000501883778
1445.9999758847,907.9999434419542
1057.9999634793699,858.9999440207134
1280.9999869463422,868.999954784264
1047.9999529579081,702.9999931053637
595.0000002504069,405.0000004588929
610.0000081571975,408.0000036563365
645.9999882797939,362.9999907860398
737.9999483268825,399.9999955418172
602.999978804481,445.9999935314389
817.0000116980962,586.0000087418678
1378.9999927866809,728.9999959757494
1368.9999465643273,898.000015695614
1592.9999695338906,955.9999239136109
1516.9998735550885,855.9999539737457
1556.000038686352,875.0000011409618
1212.0000732409133,882.0000264096167
1432.9999135611126,768.9999998368382
1150.999933594403,736.9999864441471
1504.9998994184618,885.9999875909517
1328.0000317772863,877.0000429560278
1546.0000746414732,976.9999775880079
1357.999947899945,841.9999847138317
1837.0000458614986,917.0000247706427
1502.0000195915807,855.9999957724287
1787.9999867396562,1146.999955186747
2051.0000134771176,1140.0000316507405
2014.0000177279635,1221.9999886686796
2108.9999985782865,1133.9999872619617
